Team A,Team B,Score A,Score B,Date,Competition,Event,Venue
15B Garza/Bernal 2,SASC 2015B Cardinals Jimenez,0.0,8.0,2025-03-08,PCJSL League Play 2024/25,PCJSL 2024/25 - Winter Session U9 - U15,Himmel
Empire 15B,SASC 2015B Cardinals Jimenez,4.0,2.0,2025-02-08,PCJSL League Play 2024/25,PCJSL 2024/25 - Winter Session U9 - U15,Himmel
RSLAZ Southern 15B Rayados White,SASC 2015B Cardinals Jimenez,2.0,1.0,2025-01-25,PCJSL League Play 2024/25,PCJSL 2024/25 - Winter Session U9 - U15,Himmel
Empire 15B,SASC 2015B Cardinals Jimenez,4.0,1.0,2025-01-19,Fort Lowell Shootout,Fort Lowell Shootout 2025,Tucson Kino Main Complex (ASA)
2015/16B Valenzuela Nogales,SASC 2015B Cardinals Jimenez,3.0,2.0,2025-01-18,Fort Lowell Shootout,Fort Lowell Shootout 2025,Tucson Kino Main Complex (ASA)
15B Garza/Bernal-3,SASC 2015B Cardinals Jimenez,1.0,12.0,2025-01-11,PCJSL League Play 2024/25,PCJSL 2024/25 - Winter Session U9 - U15,Himmel
15B Garza/Bernal-3,SASC 2015B Cardinals Jimenez,10.0,1.0,2024-11-23,PCJSL League Play 2024/25,PCJSL 2024/25 - Fall Session U9 - U19,Himmel
RSLAZ Southern 15B Rayados White,SASC 2015B Cardinals Jimenez,1.0,5.0,2024-10-19,PCJSL League Play 2024/25,PCJSL 2024/25 - Fall Session U9 - U19,Himmel
Challenge 10B,Verde Valley United FC - U10 Boys,3.0,6.0,2025-05-25,Flagstaff Soccer United Cup,FSC Kickin in the Pines (Boys - 2025),F- Thorpe Multipurpose Fields (FSC)
Sun Warriors 15/16 Boys Sixtos,Verde Valley United FC - U10 Boys,6.0,5.0,2025-05-25,Flagstaff Soccer United Cup,FSC Kickin in the Pines (Boys - 2025),F- Thorpe Multipurpose Fields (FSC)
Verde Valley United FC - U10 Boys,WMFC Highlanders 10U Coed (2015-17),1.0,13.0,2025-05-24,Flagstaff Soccer United Cup,FSC Kickin in the Pines (Boys - 2025),F- Thorpe Multipurpose Fields (FSC)
PRFC North Valley 16B Predator,Verde Valley United FC - U10 Boys,3.0,5.0,2025-04-27,Schools Out,Schools Out For Summer 2025,Scottsdale Sports Complex (ASA)
Prescott Predators 15B Leick,Verde Valley United FC - U10 Boys,2.0,4.0,2025-04-06,Yavapai,Yavapai All Boys Tournament 2025,P- Mountain Valley Park Yavapai Soccer
Rayitos Elite,Verde Valley United FC - U10 Boys,1.0,1.0,2025-04-06,Yavapai,Yavapai All Boys Tournament 2025,P- Mountain Valley Park Yavapai Soccer
Flagstaff SC United 15 Boys,Verde Valley United FC - U10 Boys,15.0,1.0,2025-04-05,Yavapai,Yavapai All Boys Tournament 2025,P- Mountain Valley Park Yavapai Soccer
Select 15B,Verde Valley United FC - U10 Boys,3.0,5.0,2025-04-04,Yavapai,Yavapai All Boys Tournament 2025,P- Mountain Valley Park Yavapai Soccer
AYSO 1079 2015 Boys,AZ Arsenal 15 Boys Teal 2 CC,10.0,0.0,2025-02-22,Phoenix Rising FC Tournaments - Max Shacknai Invitational,2025 Max Shacknai Invitational,Arizona Athletic Grounds
AYSO 1079 2015 Boys,PRFC West Valley 15B Samba,4.0,2.0,2025-02-21,Phoenix Rising FC Tournaments - Max Shacknai Invitational,2025 Max Shacknai Invitational,Arizona Athletic Grounds
AYSO 1079 2015 Boys,Next Level Soccer Southeast 2015 Boys Green,8.0,2.0,2025-02-20,Phoenix Rising FC Tournaments - Max Shacknai Invitational,2025 Max Shacknai Invitational,Arizona Athletic Grounds
AYSO 1079 2015 Boys,U-10 (2015) Boys San Luis Blue,5.0,2.0,2025-02-08,Desert Classic,Desert Classic 2025,Arizona Athletic Grounds
AYSO 1079 2015 Boys,Next Level Soccer Northwest 2015 Boys Red,1.0,8.0,2025-02-08,Desert Classic,Desert Classic 2025,Arizona Athletic Grounds
AYSO 1079 2015 Boys,State 48 FC Verrado 15 White,1.0,1.0,2025-02-07,Desert Classic,Desert Classic 2025,Arizona Athletic Grounds
AYSO 1079 2015 Boys,Atletico Tuzos Mesa 2015,0.0,1.0,2025-02-06,Desert Classic,Desert Classic 2025,Arizona Athletic Grounds
AYSO 1079 2015 Boys,Phoenix Premier FC 15B SW,0.0,7.0,2025-01-25,AZ Soccer Clash,2025 AZ Soccer Clash hosted by Phoenix Premier FC,Arizona Athletic Grounds
AYSO 1079 2015 Boys,AZ Arsenal 15 Boys Teal 2 BD,3.0,2.0,2025-01-24,AZ Soccer Clash,2025 AZ Soccer Clash hosted by Phoenix Premier FC,Arizona Athletic Grounds
AYSO 1079 2015 Boys,Select 15B,13.0,2.0,2025-01-18,Sandsharks,North Scottsdale Sandsharks Invitational 2025,Rose Mofford Sports Complex
AYSO 1079 2015 Boys,Brazas 2015 Boys White Diego Lopez,4.0,1.0,2025-01-17,Sandsharks,North Scottsdale Sandsharks Invitational 2025,Rose Mofford Sports Complex
AZ Arsenal 15 Boys Flagstaff,Tuzos Legacy 2015,3.0,4.0,2025-10-11,Arsenal Challenge,Arsenal Challenge 2025,Arizona Athletic Grounds
AZ Arsenal 15 Boys Flagstaff,NOS Santos 15 Boys White,4.0,4.0,2025-09-20,OPEN League: Season 1,2025-26 MaxinMotion Open League Season 1,Cromer Elementary School
AZ Arsenal 15 Boys Flagstaff,PRFC North Valley 16B Predator,3.0,3.0,2025-09-06,Flagstaff Soccer United Cup,FSC Champions Cup (Boys - 2025),F- Thorpe Softball Complex
AZ Arsenal 15 Boys Flagstaff,Select 14/15B Red,4.0,3.0,2025-04-06,Yavapai,Yavapai All Boys Tournament 2025,Pioneer Park Prescott
AZ Arsenal 15 Boys Flagstaff,Select 14B,2.0,7.0,2025-04-05,Yavapai,Yavapai All Boys Tournament 2025,Pioneer Park Prescott
2014/15 Boys (Pena),AZ Arsenal 15 Boys Flagstaff,3.0,6.0,2025-04-05,Yavapai,Yavapai All Boys Tournament 2025,Pioneer Park Prescott
AZ Arsenal 15 Boys Flagstaff,PRFC North Valley 15B Copa,2.0,8.0,2025-02-23,Phoenix Rising FC Tournaments - Max Shacknai Invitational,2025 Max Shacknai Invitational,Arizona Athletic Grounds
AZ Arsenal 15 Boys Flagstaff,PRFC Scottsdale 15B Samba,5.0,1.0,2025-02-22,Phoenix Rising FC Tournaments - Max Shacknai Invitational,2025 Max Shacknai Invitational,Arizona Athletic Grounds
AZ Arsenal 15 Boys Flagstaff,CCV STARS 15 Boys Navy SUR,4.0,1.0,2025-01-12,CCV Stars Champions Cup,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
2015 Boys Blue,AZ Arsenal 15 Boys Flagstaff,2.0,6.0,2025-01-11,CCV Stars Champions Cup,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
AZ Arsenal 15 Boys Flagstaff,CCV STARS 15 Boys Navy EAV,2.0,6.0,2025-01-11,CCV Stars Champions Cup,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
15B Tesensky,AZ Arsenal 15 Boys Flagstaff,5.0,6.0,2024-12-15,Holiday Classic,RSL-AZ Holiday Classic 2024,
AZ Arsenal 15 Boys Flagstaff,State 48 FC Verrado 16 Black,3.0,4.0,2024-12-14,Holiday Classic,RSL-AZ Holiday Classic 2024,
15B Sanchez,AZ Arsenal 15 Boys Flagstaff,10.0,2.0,2024-12-14,Holiday Classic,RSL-AZ Holiday Classic 2024,
AZ Arsenal 15 Boys Flagstaff,Select 15B,7.0,1.0,2024-11-10,Kick for the Cure,Kick for the Cure 2024,Rose Mofford Sports Complex
AZ Arsenal 15 Boys Flagstaff,Synergy FC 15/16B,5.0,5.0,2024-11-09,Kick for the Cure,Kick for the Cure 2024,Rose Mofford Sports Complex
AZ Arsenal 15 Boys Flagstaff,AZ Arsenal 15 Boys Teal 2 BD,0.0,4.0,2024-10-13,Arsenal Challenge,Arsenal Challenge 2024,Arizona Athletic Grounds (AASC Tournaments)
EV-NSFC 15 Boys Smith,EV-NSFC 15 Boys Tiggs(2),4.0,3.0,2025-04-19,East Valley Spring Invitational,East Valley Spring Invitational 2025,Quail Run Soccer Complex (EV Tournament Series)
AZSC 16B White,EV-NSFC 15 Boys Smith,2.0,3.0,2025-04-16,East Valley Spring Invitational,East Valley Spring Invitational 2025,Quail Run Soccer Complex (EV Tournament Series)
EV-NSFC 15 Boys Smith,NOS Santos 15 Boys White,4.0,8.0,2025-04-15,East Valley Spring Invitational,East Valley Spring Invitational 2025,Quail Run Soccer Complex (EV Tournament Series)
EV-NSFC 15 Boys Smith,Phoenix Premier FC 15B SW,0.0,0.0,2025-03-29,Academy League,2024-25 Academy Event March 29 - BOYS & GIRLS 7v7,Arizona Athletic Grounds
EV-NSFC 15 Boys Smith,LAFC 15 BOYS,0.0,0.0,2025-03-29,Academy League,2024-25 Academy Event March 29 - BOYS & GIRLS 7v7,Arizona Athletic Grounds
15B Summers,EV-NSFC 15 Boys Smith,2.0,1.0,2025-03-08,Ostrich Festival,2025 Ostrich Festival,Reata Sports Complex
EV-NSFC 15 Boys Smith,WMFC Highlanders 10U Coed (2015-17),4.0,4.0,2025-03-08,Ostrich Festival,2025 Ostrich Festival,Reata Sports Complex
EV-NSFC 15 Boys Smith,EXCEL25WU9U10B4Elsaady,0.0,6.0,2025-03-08,Ostrich Festival,2025 Ostrich Festival,Reata Sports Complex
2015 Boys Blue,EV-NSFC 15 Boys Smith,0.0,0.0,2025-03-01,Academy League,2024-25 Boy's Academy Event March 1 - AZ Athletic Grounds,Arizona Athletic Grounds
Brazas 2015 Boys Gold Diego Rangel,EV-NSFC 15 Boys Smith,0.0,0.0,2025-03-01,Academy League,2024-25 Boy's Academy Event March 1 - AZ Athletic Grounds,Arizona Athletic Grounds
AYSO 1079 2015/16 Boys,EV-NSFC 15 Boys Smith,4.0,6.0,2025-01-25,AZ Soccer Clash,2025 AZ Soccer Clash hosted by Phoenix Premier FC,Arizona Athletic Grounds
EV-NSFC 15 Boys Smith,Phoenix Premier FC 15B White,1.0,1.0,2025-01-25,AZ Soccer Clash,2025 AZ Soccer Clash hosted by Phoenix Premier FC,Arizona Athletic Grounds
AZ Arsenal 15 Boys Teal 2 CC,EV-NSFC 15 Boys Smith,1.0,4.0,2025-01-24,AZ Soccer Clash,2025 AZ Soccer Clash hosted by Phoenix Premier FC,Arizona Athletic Grounds
2015B Locomotive EPPL Collopy,Northwest 2015 Boys Blue,0.0,0.0,2025-10-12,Arsenal Challenge,Arsenal Challenge 2025,Arizona Athletic Grounds
15B Simbron,Northwest 2015 Boys Blue,1.0,5.0,2025-09-13,Cactus Kick Off,2025 Cactus Kick Off,Reach 11 Sports Complex
NOS Santos 15 Boys Yellow,State 48 FC Buckeye 15 Black,4.0,2.0,2025-10-11,OPEN League: Season 1,2025-26 MaxinMotion Open League Season 1,EV- NOS Santos Soccer Complex (NOS)
Phoenix Premier FC 15B White,State 48 FC Buckeye 15 Black,1.0,4.0,2025-09-20,OPEN League: Season 1,2025-26 MaxinMotion Open League Season 1,Gateway Park
La Piedad FC 2015 Blue,State 48 FC Buckeye 15 Black,2.0,4.0,2025-09-06,Tuzos Challenge,Tuzos Challenge 2025,West Valley Events Complex - Field
CCV Stars 15 Boys South Orange,FC Deportivo AZ 2015B (Gallegos),0.0,0.0,2025-09-27,OPEN League: Season 1,2025-26 MaxinMotion Open League Season 1,
East Valley NSFC 15 Boys Klein,FC Deportivo AZ 2015B (Gallegos),1.0,2.0,2025-09-06,OPEN League: Season 1,2025-26 MaxinMotion Open League Season 1,EV- EVNSFC Soccer Complex
FC Deportivo AZ 2015B (Gallegos),State 48 FC 15 Copper,0.0,3.0,2025-04-27,AZFC Select Challenge,AZFC Select Challenge 2025,West Valley Events Complex - Field
FC Deportivo AZ 2015B (Gallegos),Madison FC 2015 Boys Blue,4.0,1.0,2025-04-26,AZFC Select Challenge,AZFC Select Challenge 2025,West Valley Events Complex - Field
CCV STARS 15 Boys Navy SUR,FC Deportivo AZ 2015B (Gallegos),5.0,1.0,2025-04-26,AZFC Select Challenge,AZFC Select Challenge 2025,West Valley Events Complex - Field
AZ Inferno 15 Boys Black,FC Deportivo AZ 2015B (Gallegos),9.0,1.0,2025-03-16,INFERNO CUP,INFERNO CUP 2025,West Valley Events Complex
FC Deportivo AZ 2015B (Gallegos),Prescott Predators 15B Leick,8.0,2.0,2025-03-15,INFERNO CUP,INFERNO CUP 2025,West Valley Events Complex
CCV STARS 15 Boys Navy SUR,FC Deportivo AZ 2015B (Gallegos),1.0,2.0,2025-03-15,INFERNO CUP,INFERNO CUP 2025,West Valley Events Complex
FC Deportivo AZ 2015B (Gallegos),Synergy FC 15/16B,3.0,0.0,2024-12-07,Salvation Army Christmas Angel,Christmas Angel 2024,Rose Mofford Sports Complex
FC Deportivo AZ 2015B (Gallegos),Sun Warriors 15/16 Boys,15.0,0.0,2024-12-06,Salvation Army Christmas Angel,Christmas Angel 2024,Rose Mofford Sports Complex
FC Deportivo AZ 2015B (Gallegos),Salsa 2015,1.0,1.0,2024-11-10,Kick for the Cure,Kick for the Cure 2024,Rose Mofford Sports Complex
FC Deportivo AZ 2015B (Gallegos),Phoenix Premier FC 15B SW,1.0,1.0,2024-11-09,Kick for the Cure,Kick for the Cure 2024,Rose Mofford Sports Complex
CCV STARS 15 Boys White PEO,FC Deportivo AZ 2015B (Gallegos),8.0,0.0,2024-11-09,Kick for the Cure,Kick for the Cure 2024,Rose Mofford Sports Complex
PRFC West Valley 15B Samba,Prescott Predators 15B Leick,5.0,5.0,2025-04-26,Schools Out,Schools Out For Summer 2025,Scottsdale Sports Complex (ASA)
PRFC West Valley 15B Samba,U-10 (2015) Girls Pre Academy,0.0,8.0,2025-04-26,Schools Out,Schools Out For Summer 2025,Scottsdale Sports Complex (ASA)
PRFC West Valley 15B Samba,West Valley 2015 Boys Valencia Pre-Elite 64,0.0,0.0,2025-03-29,Academy League,2024-25 Academy Event March 29 - BOYS & GIRLS 7v7,Arizona Athletic Grounds
15B Tesensky,PRFC West Valley 15B Samba,4.0,4.0,2025-02-22,Phoenix Rising FC Tournaments - Max Shacknai Invitational,2025 Max Shacknai Invitational,Arizona Athletic Grounds
Next Level Soccer Southeast 2015 Boys Green,PRFC West Valley 15B Samba,8.0,0.0,2025-02-22,Phoenix Rising FC Tournaments - Max Shacknai Invitational,2025 Max Shacknai Invitational,Arizona Athletic Grounds
Allen U9/U10,PRFC West Valley 15B Samba,0.0,5.0,2024-12-15,Holiday Classic,RSL-AZ Holiday Classic 2024,
CCV STARS 15 Boys Orange EAV,PRFC West Valley 15B Samba,6.0,1.0,2024-12-14,Holiday Classic,RSL-AZ Holiday Classic 2024,
PRFC West Valley 15B Samba,Synergy FC 15/16B,1.0,4.0,2024-11-10,Kick for the Cure,Kick for the Cure 2024,Rose Mofford Sports Complex
PRFC West Valley 15B Samba,Select 15B,1.0,6.0,2024-11-09,Kick for the Cure,Kick for the Cure 2024,Rose Mofford Sports Complex
PRFC West Valley 15B Samba,Playmaker Futbol Academy 15B Black,4.0,2.0,2024-11-08,Kick for the Cure,Kick for the Cure 2024,Rose Mofford Sports Complex
15B Tesensky,PRFC West Valley 15B Samba,3.0,2.0,2024-10-26,Phoenix Rising FC Tournaments - Fall Classic,Phoenix Rising Fall Classic 2024,Arizona Athletic Grounds
FC Elite Arizona 2015 Boys,PRFC West Valley 15B Samba,5.0,8.0,2024-10-26,Phoenix Rising FC Tournaments - Fall Classic,Phoenix Rising Fall Classic 2024,Arizona Athletic Grounds
CCV STARS 15 Boys LAV,PRFC West Valley 15B Samba,2.0,10.0,2024-10-25,Phoenix Rising FC Tournaments - Fall Classic,Phoenix Rising Fall Classic 2024,Arizona Athletic Grounds
PRFC Scottsdale 15B Samba,PRFC West Valley 15B Samba,0.0,11.0,2024-10-13,Arsenal Challenge,Arsenal Challenge 2024,Arizona Athletic Grounds (AASC Tournaments)
Brazas 2015 Boys White Diego Lopez,ESC - Boys Chandler 15/16,1.0,1.0,2025-04-05,Brazas Ginga Champions ,Brazas - 2025 Ginga Champions,Arizona Athletic Grounds
Brazas 2015 Boys White Diego Lopez,Next Level Soccer Southeast 2015 Boys Green,0.0,6.0,2025-04-05,Brazas Ginga Champions ,Brazas - 2025 Ginga Champions,Arizona Athletic Grounds
Brazas 2015 Boys White Diego Lopez,Select 15B,2.0,0.0,2025-04-04,Brazas Ginga Champions ,Brazas - 2025 Ginga Champions,Arizona Athletic Grounds
Brazas 2015 Boys White Diego Lopez,ESC 2016,0.0,0.0,2025-03-29,Academy League,2024-25 Academy Event March 29 - BOYS & GIRLS 7v7,Arizona Athletic Grounds
Brazas 2015 Boys White Diego Lopez,Synergy FC 15/16B,0.0,0.0,2025-03-01,Academy League,2024-25 Boy's Academy Event March 1 - AZ Athletic Grounds,Arizona Athletic Grounds
Brazas 2015 Boys White Diego Lopez,Playmaker Futbol Academy 15B Black,0.0,1.0,2025-02-09,Desert Classic,Desert Classic 2025,Arizona Athletic Grounds
AZ Inferno 15 Boys Black,Brazas 2015 Boys White Diego Lopez,0.0,1.0,2025-02-08,Desert Classic,Desert Classic 2025,Arizona Athletic Grounds
Brazas 2015 Boys White Diego Lopez,U-10 (2015) Boys Pre Academy,0.0,7.0,2025-02-07,Desert Classic,Desert Classic 2025,Arizona Athletic Grounds
Brazas 2015 Boys White Diego Lopez,Playmaker Futbol Academy 15B Black,6.0,3.0,2025-01-18,Sandsharks,North Scottsdale Sandsharks Invitational 2025,Rose Mofford Sports Complex
AYSO 1079 2015/16 Boys,Brazas 2015 Boys White Diego Lopez,5.0,3.0,2025-01-18,Sandsharks,North Scottsdale Sandsharks Invitational 2025,Rose Mofford Sports Complex
Brazas 2015 Boys White Diego Lopez,EXCEL24FallU9U10B2Komiskey,6.0,0.0,2024-12-14,Holiday Classic,RSL-AZ Holiday Classic 2024,
15B Summers,Brazas 2015 Boys White Diego Lopez,0.0,0.0,2024-12-14,Holiday Classic,RSL-AZ Holiday Classic 2024,
Brazas 2015 Boys White Diego Lopez,Excel U9/U10Kaufmann,8.0,0.0,2024-12-13,Holiday Classic,RSL-AZ Holiday Classic 2024,
Brazas 2015 Boys White Diego Lopez,PRFC Southeast Valley 15B Samba,5.0,1.0,2024-11-23,Heritage Cup,2024 Heritage Cup ,HC - Discovery Park 
2015 Locomotive Gold,Brazas 2015 Boys White Diego Lopez,5.0,0.0,2024-10-13,Arsenal Challenge,Arsenal Challenge 2024,Arizona Athletic Grounds (AASC Tournaments)
Playmaker Futbol Academy 15B Black,State 48 FC Verrado 15 White,2.0,2.0,2025-03-30,Tournaments Powered by Rated Sports ,2025 Arizona Academy Cup | Powered By Rated Sports,Reata Sports Complex
16B Mendez GSA,Playmaker Futbol Academy 15B Black,1.0,8.0,2025-03-29,Tournaments Powered by Rated Sports ,2025 Arizona Academy Cup | Powered By Rated Sports,Reata Sports Complex
Next Level Soccer Southeast 2016 Boys Black,Playmaker Futbol Academy 15B Black,0.0,4.0,2025-03-29,Tournaments Powered by Rated Sports ,2025 Arizona Academy Cup | Powered By Rated Sports,Reata Sports Complex
Desert xolos,Playmaker Futbol Academy 15B Black,0.0,2.0,2025-03-22,Tournaments Powered by Rated Sports ,2025 Phoenix Cup - Boys Weekend,Reata Sports Complex
Madison FC 2015 Boys Blue,Playmaker Futbol Academy 15B Black,0.0,1.0,2025-03-21,Tournaments Powered by Rated Sports ,2025 Phoenix Cup - Boys Weekend,Reata Sports Complex
Playmaker Futbol Academy 15B Black,U9/U10 Hakes Excel,1.0,7.0,2025-03-08,Ostrich Festival,2025 Ostrich Festival,Reata Sports Complex
EXCEL25WU9U10B3Klein,Playmaker Futbol Academy 15B Black,3.0,1.0,2025-03-08,Ostrich Festival,2025 Ostrich Festival,Reata Sports Complex
PRFC West Valley 14B Pre-Academy,Playmaker Futbol Academy 15B Black,0.0,14.0,2025-02-23,Phoenix Rising FC Tournaments - Max Shacknai Invitational,2025 Max Shacknai Invitational,Arizona Athletic Grounds
PRFC Scottsdale 14B Copa,Playmaker Futbol Academy 15B Black,5.0,0.0,2025-02-22,Phoenix Rising FC Tournaments - Max Shacknai Invitational,2025 Max Shacknai Invitational,Arizona Athletic Grounds
Amore 2014 Boys,Playmaker Futbol Academy 15B Black,1.0,11.0,2025-02-21,Phoenix Rising FC Tournaments - Max Shacknai Invitational,2025 Max Shacknai Invitational,Arizona Athletic Grounds
AZ Inferno 15 Boys Black,Playmaker Futbol Academy 15B Black,0.0,4.0,2025-02-08,Desert Classic,Desert Classic 2025,Arizona Athletic Grounds
Playmaker Futbol Academy 15B Black,U-10 (2015) Boys Pre Academy,5.0,0.0,2025-02-08,Desert Classic,Desert Classic 2025,Arizona Athletic Grounds
Playmaker Futbol Academy 15B Black,Select 15B,4.0,3.0,2025-01-19,Sandsharks,North Scottsdale Sandsharks Invitational 2025,Rose Mofford Sports Complex
AZ Inferno 15 Boys Black,Playmaker Futbol Academy 15B Black,4.0,1.0,2025-01-12,CCV Stars Champions Cup,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
PRFC Desert Foothills 15B Copa,Playmaker Futbol Academy 15B Black,4.0,1.0,2025-01-12,CCV Stars Champions Cup,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
15B Tesensky,Playmaker Futbol Academy 15B Black,0.0,1.0,2025-01-11,CCV Stars Champions Cup,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
EXCEL24FallU9U10B3Klein,Playmaker Futbol Academy 15B Black,6.0,7.0,2024-12-14,Holiday Classic,RSL-AZ Holiday Classic 2024,
FSC United 15 Boys,Playmaker Futbol Academy 15B Black,0.0,2.0,2024-12-08,Salvation Army Christmas Angel,Christmas Angel 2024,Rose Mofford Sports Complex
Phoenix Premier FC 15B White,Playmaker Futbol Academy 15B Black,1.0,3.0,2024-12-07,Salvation Army Christmas Angel,Christmas Angel 2024,Rose Mofford Sports Complex
Playmaker Futbol Academy 15B Black,Select 15B,4.0,0.0,2024-11-09,Kick for the Cure,Kick for the Cure 2024,Rose Mofford Sports Complex
CCV STARS 15 Boys Navy SUR,Playmaker Futbol Academy 15B Black,0.0,0.0,2024-11-03,2025 Rush Cup ,2024 Rush Cup ,Scottsdale Sport Complex ( Rush Cup)
Playmaker Futbol Academy 15B Black,South Valley Soccer Club Scorpions,7.0,0.0,2024-11-02,2025 Rush Cup ,2024 Rush Cup ,Scottsdale Sport Complex ( Rush Cup)
Playmaker Futbol Academy 15B Black,Synergy FC 15/16B,0.0,4.0,2024-11-02,2025 Rush Cup ,2024 Rush Cup ,Scottsdale Sport Complex ( Rush Cup)
FSC United 15 Boys,Phoenix Premier FC 15B White,0.0,4.0,2025-09-28,The Derby 2025,The Derby 2025,Reata Sports Complex
FSC United 15 Boys,Manchester United-Yellow,0.0,0.0,2025-09-28,Flagstaff Recreational League,Fall 2025 | Grassroots Recreational League,F- Thorpe Multipurpose Fields (FSC)
FSC United 15 Boys,Newcastle-Green,0.0,0.0,2025-09-14,Flagstaff Recreational League,Fall 2025 | Grassroots Recreational League,F- Thorpe Multipurpose Fields (FSC)
FSC United 15 Boys,NOS Santos 15 Boys White,3.0,1.0,2025-09-05,Flagstaff Soccer United Cup,FSC Champions Cup (Boys - 2025),F- Thorpe Softball Complex
FSC United 15 Boys,Manchester United-Yellow,0.0,0.0,2025-08-24,Flagstaff Recreational League,Fall 2025 | Grassroots Recreational League,F- Thorpe Multipurpose Fields (FSC)
FSC United 15 Boys,Manchester City-Neon Yellow,0.0,0.0,2025-06-01,Flagstaff Recreational League,Spring 2025 | Grassroots Recreational League,F- Thorpe Multipurpose Fields (FSC)
FSC United 15 Boys,Verde Valley United FC,5.0,0.0,2025-05-25,Flagstaff Soccer United Cup,FSC Kickin in the Pines (Boys - 2025),F-Northern Arizona University
FSC United 15 Boys,Kingman SC B14 McGill,0.0,8.0,2025-05-24,Flagstaff Soccer United Cup,FSC Kickin in the Pines (Boys - 2025),F-Northern Arizona University
FSC United 15 Boys,Tottenham-White,0.0,0.0,2025-04-27,Flagstaff Recreational League,Spring 2025 | Grassroots Recreational League,F- Thorpe Multipurpose Fields (FSC)
Brighton-Navy,FSC United 15 Boys,0.0,0.0,2025-04-27,Flagstaff Recreational League,Spring 2025 | Grassroots Recreational League,F- Thorpe Multipurpose Fields (FSC)
FSC United 15 Boys,PRFC Desert Foothills 15B Copa,8.0,1.0,2025-02-23,Phoenix Rising FC Tournaments - Max Shacknai Invitational,2025 Max Shacknai Invitational,Arizona Athletic Grounds
FSC United 15 Boys,PRFC Scottsdale 15B Stars,1.0,11.0,2025-02-22,Phoenix Rising FC Tournaments - Max Shacknai Invitational,2025 Max Shacknai Invitational,Arizona Athletic Grounds
FC Elite Arizona 2015 Boys,FSC United 15 Boys,6.0,2.0,2024-12-07,Salvation Army Christmas Angel,Christmas Angel 2024,Rose Mofford Sports Complex
FSC United 15 Boys,PRFC North Valley 15B Copa,5.0,2.0,2024-12-07,Salvation Army Christmas Angel,Christmas Angel 2024,Rose Mofford Sports Complex
FSC United 15 Boys,Madison FC 2015 Boys Blue,4.0,1.0,2024-11-10,Kick for the Cure,Kick for the Cure 2024,Rose Mofford Sports Complex
Cobre Mountain Roadrunners 5,FSC United 15 Boys,2.0,8.0,2024-11-09,Kick for the Cure,Kick for the Cure 2024,Rose Mofford Sports Complex
Arsenal-Forest Green,FSC United 15 Boys,0.0,0.0,2024-10-20,Flagstaff Recreational League,Fall 2024 | Grassroots Recreational League,F- Thorpe Multipurpose Fields (FSC)
EXCEL25WU9U10B3Klein,U9/U10 Hakes Excel,1.0,10.0,2025-03-09,Ostrich Festival,2025 Ostrich Festival,Scottsdale Sports Complex
GRP QC U10B T03 Aguirre White,PRFC Desert Foothills 16B Predator,0.0,6.0,2025-03-21,Copper State Challenge,2025 Copper State Challenge,Arizona Athletic Grounds
GRP QC U10B T03 Aguirre White,NOS Santos 15 Boys White,6.0,1.0,2025-03-20,Copper State Challenge,2025 Copper State Challenge,Nos Santos 
GRP QC U10B T03 Aguirre White,GRP QC U10B T05 Johnson Red,2.0,8.0,2024-11-09,In House Recreational,In House Recreational Fall 2024,Mansel Carter Oasis Park (AZSC)
GRP QC U10B T01 Speth Maroon,GRP QC U10B T03 Aguirre White,0.0,0.0,2024-11-02,In House Recreational,In House Recreational Fall 2024,Mansel Carter Oasis Park (AZSC)
GRP QC U10B T02 Evanson Orange,GRP QC U10B T03 Aguirre White,6.0,4.0,2024-10-26,In House Recreational,In House Recreational Fall 2024,Mansel Carter Oasis Park (AZSC)
GRP QC U10B T03 Aguirre White,GRP QC U10B T04 Escarcega Navy,0.0,6.0,2024-10-19,In House Recreational,In House Recreational Fall 2024,Mansel Carter Oasis Park (AZSC)
AZ Arsenal 15 Boys Select,Phoenix Premier FC 15B White,1.0,8.0,2025-10-04,OPEN League: Season 1,2025-26 MaxinMotion Open League Season 1,Pecos Park (PHX Premier SE/SW)
AZEV B2015 (NAVY),Phoenix Premier FC 15B White,1.0,0.0,2025-09-13,OPEN League: Season 1,2025-26 MaxinMotion Open League Season 1,Pecos Park (PHX Premier SE/SW)
AZVV B2015 (NAVY),Phoenix Premier FC 15B White,1.0,2.0,2025-09-06,OPEN League: Season 1,2025-26 MaxinMotion Open League Season 1,Mingus Union High School
Next Level Soccer Southeast 2016 Boys Blue,Phoenix Premier FC 15B White,0.0,7.0,2025-04-13,Rivalries Cup,Rivalries Cup 2025,Arizona Athletic Grounds (AASC Tournaments)
AZ Arsenal 15 Boys Teal 2 CC,Phoenix Premier FC 15B White,0.0,6.0,2025-04-12,Rivalries Cup,Rivalries Cup 2025,Arizona Athletic Grounds (AASC Tournaments)
