Team A,Team B,Score A,Score B,Date,Competition,Venue
Chelsea 15B,State 48 FC 15 Copper,3,2,2025-01-19,North Scottsdale Sandsharks Invitational 2025,Rose Mofford Sports Complex
State 48 FC 15 Copper,Chelsea 15B,2,3,2025-01-19,North Scottsdale Sandsharks Invitational 2025,Rose Mofford Sports Complex
2015 Boys Yellow,Chelsea 15B,2,6,2025-01-19,North Scottsdale Sandsharks Invitational 2025,Rose Mofford Sports Complex
Chelsea 15B,2015 Boys Yellow,6,2,2025-01-19,North Scottsdale Sandsharks Invitational 2025,Rose Mofford Sports Complex
FDI 2015,Chelsea 15B,2,5,2025-01-18,North Scottsdale Sandsharks Invitational 2025,Rose Mofford Sports Complex
Chelsea 15B,FDI 2015,5,2,2025-01-18,North Scottsdale Sandsharks Invitational 2025,Rose Mofford Sports Complex
Chelsea 15B,Scottsdale 15 Sandsharks Select,0,5,2025-01-18,North Scottsdale Sandsharks Invitational 2025,Rose Mofford Sports Complex
Scottsdale 15 Sandsharks Select,Chelsea 15B,5,0,2025-01-18,North Scottsdale Sandsharks Invitational 2025,Rose Mofford Sports Complex
Chelsea 15B,15B Blue Montoya #1,5,1,2025-01-11,PCJSL 2024/25 - Winter Session U9 - U15,Himmel
15B Blue Montoya #1,Chelsea 15B,1,5,2025-01-11,PCJSL 2024/25 - Winter Session U9 - U15,Himmel
15B Blue Arviso #1,Chelsea 15B,0,0,2024-12-28,PCJSL 2024/25 - Winter Session U9 - U15,
Chelsea 15B,15B Blue Arviso #1,0,0,2024-12-28,PCJSL 2024/25 - Winter Session U9 - U15,
15 Boys Navy,Chelsea 15B,7,2,2024-12-14,TFC Winter Festival 2024,Rose Mofford
Chelsea 15B,15 Boys Navy,2,7,2024-12-14,TFC Winter Festival 2024,Rose Mofford
2015 Boys Blue,Chelsea 15B,3,12,2024-12-14,TFC Winter Festival 2024,Rose Mofford
Chelsea 15B,2015 Boys Blue,12,3,2024-12-14,TFC Winter Festival 2024,Rose Mofford
Chelsea 15B,Synergy FC 15/16B,8,1,2024-12-14,TFC Winter Festival 2024,Rose Mofford
Synergy FC 15/16B,Chelsea 15B,1,8,2024-12-14,TFC Winter Festival 2024,Rose Mofford
15B Bernal/Garza 2,Chelsea 15B,3,4,2024-12-10,PCJSL 2024/25 - Fall Session U9 - U19,Silverlake
Chelsea 15B,15B Bernal/Garza 2,4,3,2024-12-10,PCJSL 2024/25 - Fall Session U9 - U19,Silverlake
Chelsea 15B,15 Boys Soul Warriors,3,2,2024-11-23,PCJSL 2024/25 - Fall Session U9 - U19,Himmel
15 Boys Soul Warriors,Chelsea 15B,2,3,2024-11-23,PCJSL 2024/25 - Fall Session U9 - U19,Himmel
CDO 15B Elite,Chelsea 15B,0,10,2024-11-16,PCJSL 2024/25 - Fall Session U9 - U19,Himmel
Chelsea 15B,CDO 15B Elite,10,0,2024-11-16,PCJSL 2024/25 - Fall Session U9 - U19,Himmel
Chelsea 15B,UAC 15B Academy,0,8,2024-11-11,Arizona Select Clubs Showcase 2024,Tucson Kino South Complex (ASA)
UAC 15B Academy,Chelsea 15B,8,0,2024-11-11,Arizona Select Clubs Showcase 2024,Tucson Kino South Complex (ASA)
15B Garza/Bernal 2,Chelsea 15B,3,6,2024-11-11,Arizona Select Clubs Showcase 2024,Tucson Kino South Complex (ASA)
Chelsea 15B,15B Garza/Bernal 2,6,3,2024-11-11,Arizona Select Clubs Showcase 2024,Tucson Kino South Complex (ASA)
Chelsea 15B,Pima Surf Academy Boys 15,2,2,2024-11-09,Arizona Select Clubs Showcase 2024,Tucson Kino South Complex (ASA)
Pima Surf Academy Boys 15,Chelsea 15B,2,2,2024-11-09,Arizona Select Clubs Showcase 2024,Tucson Kino South Complex (ASA)
RSLAZ Southern 15B Rayados White,Chelsea 15B,3,4,2024-11-09,Arizona Select Clubs Showcase 2024,Tucson Kino South Complex (ASA)
Chelsea 15B,RSLAZ Southern 15B Rayados White,4,3,2024-11-09,Arizona Select Clubs Showcase 2024,Tucson Kino South Complex (ASA)
Chelsea 15B,Pima Surf Academy Boys 15,5,1,2024-11-02,PCJSL 2024/25 - Fall Session U9 - U19,Himmel
Pima Surf Academy Boys 15,Chelsea 15B,1,5,2024-11-02,PCJSL 2024/25 - Fall Session U9 - U19,Himmel
Chelsea 15B,15B Blue West #1,7,3,2024-10-12,PCJSL 2024/25 - Fall Session U9 - U19,Himmel
15B Blue West #1,Chelsea 15B,3,7,2024-10-12,PCJSL 2024/25 - Fall Session U9 - U19,Himmel
Tuzos Academy Mesa 2015,Phoenix United 2015 Elite,2,8,2025-10-05,2025-2026 ASA Advanced Leagues,AZ Athletic Grounds (ASA)
Phoenix United 2015 Elite,Tuzos Academy Mesa 2015,8,2,2025-10-05,2025-2026 ASA Advanced Leagues,AZ Athletic Grounds (ASA)
Phoenix United 2015 Elite,AZ Arsenal Pre-ECNL B15,1,3,2025-09-28,The Derby 2025,Reata Sports Complex
AZ Arsenal Pre-ECNL B15,Phoenix United 2015 Elite,3,1,2025-09-28,The Derby 2025,Reata Sports Complex
Phoenix United 2015 Elite,Phoenix Premier FC 15B Black,6,0,2025-09-28,The Derby 2025,Reata Sports Complex
Phoenix Premier FC 15B Black,Phoenix United 2015 Elite,0,6,2025-09-28,The Derby 2025,Reata Sports Complex
Phoenix United 2015 Elite,CDO 15B Premier,0,0,2025-09-27,2025-2026 ASA Advanced Leagues,
CDO 15B Premier,Phoenix United 2015 Elite,0,0,2025-09-27,2025-2026 ASA Advanced Leagues,
Phoenix United 2015 Elite,BRAZAS FC 2015 Boys Black,8,3,2025-09-27,The Derby 2025,Reata Sports Complex
BRAZAS FC 2015 Boys Black,Phoenix United 2015 Elite,3,8,2025-09-27,The Derby 2025,Reata Sports Complex
15B AChacon Pre-MLS Next,Phoenix United 2015 Elite,0,0,2025-09-27,The Derby 2025,Reata Sports Complex
Phoenix United 2015 Elite,15B AChacon Pre-MLS Next,0,0,2025-09-27,The Derby 2025,Reata Sports Complex
PRFC West Valley 15B Pre-Academy,Phoenix United 2015 Elite,1,4,2025-09-21,2025-2026 ASA Advanced Leagues,AZ Athletic Grounds (ASA)
Phoenix United 2015 Elite,PRFC West Valley 15B Pre-Academy,4,1,2025-09-21,2025-2026 ASA Advanced Leagues,AZ Athletic Grounds (ASA)
14B GSA,Phoenix United 2015 Elite,4,3,2025-09-07,Tuzos Challenge 2025,West Valley Events Complex - Field
Phoenix United 2015 Elite,14B GSA,3,4,2025-09-07,Tuzos Challenge 2025,West Valley Events Complex - Field
Dynamos SC 14B SC,Phoenix United 2015 Elite,5,1,2025-09-06,Tuzos Challenge 2025,West Valley Events Complex - Field
Phoenix United 2015 Elite,Dynamos SC 14B SC,1,5,2025-09-06,Tuzos Challenge 2025,West Valley Events Complex - Field
Phoenix United 2015 Elite,Tuzos Royals 2014,0,1,2025-09-06,Tuzos Challenge 2025,West Valley Events Complex - Field
Tuzos Royals 2014,Phoenix United 2015 Elite,1,0,2025-09-06,Tuzos Challenge 2025,West Valley Events Complex - Field
14 Pre-MLSN #2,Phoenix United 2015 Elite,1,4,2025-09-01,Phoenix Rising Cup 2025,Reach 11 Sports Complex (PRC)
Phoenix United 2015 Elite,14 Pre-MLSN #2,4,1,2025-09-01,Phoenix Rising Cup 2025,Reach 11 Sports Complex (PRC)
14B GSA,Phoenix United 2015 Elite,4,2,2025-08-31,Phoenix Rising Cup 2025,Reach 11 Sports Complex (PRC)
Phoenix United 2015 Elite,14B GSA,2,4,2025-08-31,Phoenix Rising Cup 2025,Reach 11 Sports Complex (PRC)
Phoenix United 2015 Elite,PRFC Scottsdale 14B Pre-Academy,3,5,2025-08-30,Phoenix Rising Cup 2025,Reach 11 Sports Complex (PRC)
PRFC Scottsdale 14B Pre-Academy,Phoenix United 2015 Elite,5,3,2025-08-30,Phoenix Rising Cup 2025,Reach 11 Sports Complex (PRC)
Phoenix United 2015 Elite,Tuzos Academy GTA 2016,6,2,2025-05-24,2025 Copa Univision Arizona,West Valley Events Complex - Field
Tuzos Academy GTA 2016,Phoenix United 2015 Elite,2,6,2025-05-24,2025 Copa Univision Arizona,West Valley Events Complex - Field
Phoenix United 2015 Elite,Tuzos Mesa A,8,2,2025-05-24,2025 Copa Univision Arizona,West Valley Events Complex - Field
Tuzos Mesa A,Phoenix United 2015 Elite,2,8,2025-05-24,2025 Copa Univision Arizona,West Valley Events Complex - Field
Arizona Brown's A,Phoenix United 2015 Elite,0,4,2025-05-24,2025 Copa Univision Arizona,West Valley Events Complex - Field
Phoenix United 2015 Elite,Arizona Brown's A,4,0,2025-05-24,2025 Copa Univision Arizona,West Valley Events Complex - Field
Phoenix United 2015 Elite,Juaritos MX,9,0,2025-05-24,2025 Copa Univision Arizona,West Valley Events Complex - Field
Juaritos MX,Phoenix United 2015 Elite,0,9,2025-05-24,2025 Copa Univision Arizona,West Valley Events Complex - Field
Phoenix United 2015 Elite,Tuzos Legends,7,0,2025-05-24,2025 Copa Univision Arizona,West Valley Events Complex - Field
Tuzos Legends,Phoenix United 2015 Elite,0,7,2025-05-24,2025 Copa Univision Arizona,West Valley Events Complex - Field
Huracan,Phoenix United 2015 Elite,1,3,2025-05-24,2025 Copa Univision Arizona,West Valley Events Complex - Field
Phoenix United 2015 Elite,Huracan,3,1,2025-05-24,2025 Copa Univision Arizona,West Valley Events Complex - Field
Phoenix United 2015 Elite,Excel Soccer Academy 14 Red,1,2,2025-03-30,Tuzos Challenge 2025,West Valley Events Complex - Field
Excel Soccer Academy 14 Red,Phoenix United 2015 Elite,2,1,2025-03-30,Tuzos Challenge 2025,West Valley Events Complex - Field
Phoenix United 2015 Elite,Tuzos Academy Mesa 2014,0,1,2025-03-29,Tuzos Challenge 2025,West Valley Events Complex - Field
Tuzos Academy Mesa 2014,Phoenix United 2015 Elite,1,0,2025-03-29,Tuzos Challenge 2025,West Valley Events Complex - Field
2014 Tuzos Academy FV,Phoenix United 2015 Elite,3,0,2025-03-29,Tuzos Challenge 2025,West Valley Events Complex - Field
Phoenix United 2015 Elite,2014 Tuzos Academy FV,0,3,2025-03-29,Tuzos Challenge 2025,West Valley Events Complex - Field
Madison FC 14 Gold Boys Storm,Phoenix United 2015 Elite,4,0,2025-03-23,2025 Phoenix Cup - Boys Weekend,Bell94 Sports Complex
Phoenix United 2015 Elite,Madison FC 14 Gold Boys Storm,0,4,2025-03-23,2025 Phoenix Cup - Boys Weekend,Bell94 Sports Complex
2014 Boys Red,Phoenix United 2015 Elite,3,3,2025-03-22,2025 Phoenix Cup - Boys Weekend,Bell94 Sports Complex
Phoenix United 2015 Elite,2014 Boys Red,3,3,2025-03-22,2025 Phoenix Cup - Boys Weekend,Bell94 Sports Complex
Phoenix United 2015 Elite,Eastside FC B14 White,2,2,2025-03-21,2025 Phoenix Cup - Boys Weekend,Bell94 Sports Complex
Eastside FC B14 White,Phoenix United 2015 Elite,2,2,2025-03-21,2025 Phoenix Cup - Boys Weekend,Bell94 Sports Complex
Phoenix United 2015 Elite,Next Level Soccer Northwest 2015 Boys Black,4,3,2025-02-22,2025 Max Shacknai Invitational,Arizona Athletic Grounds
Next Level Soccer Northwest 2015 Boys Black,Phoenix United 2015 Elite,3,4,2025-02-22,2025 Max Shacknai Invitational,Arizona Athletic Grounds
Phoenix United 2015 Elite,CCV STARS 15 Boys Orange PEO,2,0,2025-02-22,2025 Max Shacknai Invitational,Arizona Athletic Grounds
CCV STARS 15 Boys Orange PEO,Phoenix United 2015 Elite,0,2,2025-02-22,2025 Max Shacknai Invitational,Arizona Athletic Grounds
PRFC North Valley 14B PreAcademy,Phoenix United 2015 Elite,3,3,2025-02-22,2025 Max Shacknai Invitational,Arizona Athletic Grounds
Phoenix United 2015 Elite,PRFC North Valley 14B PreAcademy,3,3,2025-02-22,2025 Max Shacknai Invitational,Arizona Athletic Grounds
AZ Inferno 14 Boys Black,Phoenix United 2015 Elite,0,9,2025-02-09,Desert Classic 2025,Arizona Athletic Grounds
Phoenix United 2015 Elite,AZ Inferno 14 Boys Black,9,0,2025-02-09,Desert Classic 2025,Arizona Athletic Grounds
Phoenix United 2015 Elite,AZ Arsenal 15 Boys Teal 1 JZ,4,7,2025-02-09,Desert Classic 2025,Arizona Athletic Grounds
AZ Arsenal 15 Boys Teal 1 JZ,Phoenix United 2015 Elite,7,4,2025-02-09,Desert Classic 2025,Arizona Athletic Grounds
FC Hawaii 14B Red,Phoenix United 2015 Elite,0,5,2025-02-08,Desert Classic 2025,Arizona Athletic Grounds
Phoenix United 2015 Elite,FC Hawaii 14B Red,5,0,2025-02-08,Desert Classic 2025,Arizona Athletic Grounds
15B Chacon,Phoenix United 2015 Elite,3,2,2025-01-05,New Year's Futures Cup 2025,Reach 11 Sports Complex
Phoenix United 2015 Elite,15B Chacon,2,3,2025-01-05,New Year's Futures Cup 2025,Reach 11 Sports Complex
BVB 14B Puma (F: AYSES 14B Black),Phoenix United 2015 Elite,8,1,2025-01-04,New Year's Futures Cup 2025,Reach 11 Sports Complex
Phoenix United 2015 Elite,BVB 14B Puma (F: AYSES 14B Black),1,8,2025-01-04,New Year's Futures Cup 2025,Reach 11 Sports Complex
Phoenix United 2015 Elite,14B Velasco Pre-MLS Next,0,1,2025-01-03,New Year's Futures Cup 2025,Reach 11 Sports Complex
14B Velasco Pre-MLS Next,Phoenix United 2015 Elite,1,0,2025-01-03,New Year's Futures Cup 2025,Reach 11 Sports Complex
Albion SC Santa Ana B15 Academy,Phoenix United 2015 Elite,2,2,2024-12-08,The Open (2024) SuperCopa & SuperCopa+ Qualifier,Bell 94 Sports Complex
Phoenix United 2015 Elite,Albion SC Santa Ana B15 Academy,2,2,2024-12-08,The Open (2024) SuperCopa & SuperCopa+ Qualifier,Bell 94 Sports Complex
Phoenix United 2015 Elite,TFA-SELA B2015 Red,1,5,2024-12-07,The Open (2024) SuperCopa & SuperCopa+ Qualifier,Bell 94 Sports Complex
TFA-SELA B2015 Red,Phoenix United 2015 Elite,5,1,2024-12-07,The Open (2024) SuperCopa & SuperCopa+ Qualifier,Bell 94 Sports Complex
Premier Touch FC IE B15,Phoenix United 2015 Elite,8,0,2024-12-07,The Open (2024) SuperCopa & SuperCopa+ Qualifier,Bell 94 Sports Complex
Phoenix United 2015 Elite,Premier Touch FC IE B15,0,8,2024-12-07,The Open (2024) SuperCopa & SuperCopa+ Qualifier,Bell 94 Sports Complex
Northwest United B15 Blk,2015 Elite,2,2,2024-12-01,2024 Desert Super Cup,Reata Sports Complex
2015 Elite,Northwest United B15 Blk,2,2,2024-12-01,2024 Desert Super Cup,Reata Sports Complex
Northwest United B15 Blk,2015 Elite,0,2,2024-12-01,2024 Desert Super Cup,Reata Sports Complex
2015 Elite,Northwest United B15 Blk,2,0,2024-12-01,2024 Desert Super Cup,Reata Sports Complex
2015 Elite,BRAZAS FC 2015 Boys Black,2,0,2024-12-01,2024 Desert Super Cup,Reata Sports Complex
BRAZAS FC 2015 Boys Black,2015 Elite,0,2,2024-12-01,2024 Desert Super Cup,Reata Sports Complex
Next Level Soccer Northwest 2015 Boys Red,2015 Elite,0,8,2024-11-30,2024 Desert Super Cup,Reata Sports Complex
2015 Elite,Next Level Soccer Northwest 2015 Boys Red,8,0,2024-11-30,2024 Desert Super Cup,Reata Sports Complex
B15 Black,2015 Elite,0,4,2024-10-27,City of Las Vegas Mayor's Cup International Tournament 2024,James Regional Park
2015 Elite,B15 Black,4,0,2024-10-27,City of Las Vegas Mayor's Cup International Tournament 2024,James Regional Park
2015 Elite,PSG Brasil  2015 (Brazil),2,1,2024-10-27,City of Las Vegas Mayor's Cup International Tournament 2024,James Regional Park
PSG Brasil  2015 (Brazil),2015 Elite,1,2,2024-10-27,City of Las Vegas Mayor's Cup International Tournament 2024,James Regional Park
2015 Elite,Central Coast FC 15 Black,6,1,2024-10-26,City of Las Vegas Mayor's Cup International Tournament 2024,James Regional Park
Central Coast FC 15 Black,2015 Elite,1,6,2024-10-26,City of Las Vegas Mayor's Cup International Tournament 2024,James Regional Park
Magnifico FC B15E,2015 Elite,0,8,2024-10-27,City of Las Vegas Mayor's Cup International Tournament 2024,James Regional Park
2015 Elite,Magnifico FC B15E,8,0,2024-10-27,City of Las Vegas Mayor's Cup International Tournament 2024,James Regional Park
CCV STARS 15 Boys Orange PEO,Phoenix United 2015 Elite,0,4,2024-10-13,2024 Scottsdale Cup,Rose Mofford Sports Complex
Phoenix United 2015 Elite,CCV STARS 15 Boys Orange PEO,4,0,2024-10-13,2024 Scottsdale Cup,Rose Mofford Sports Complex
Real 2015 Boys National,Phoenix United 2015 Elite,0,2,2024-10-13,2024 Scottsdale Cup,Rose Mofford Sports Complex
Phoenix United 2015 Elite,Real 2015 Boys National,2,0,2024-10-13,2024 Scottsdale Cup,Rose Mofford Sports Complex
Phoenix United 2015 Elite,ALBION SC Las Vegas B15 Academy I,6,0,2024-10-12,2024 Scottsdale Cup,Rose Mofford Sports Complex
ALBION SC Las Vegas B15 Academy I,Phoenix United 2015 Elite,0,6,2024-10-12,2024 Scottsdale Cup,Rose Mofford Sports Complex
Next Level Soccer Northwest 2015 Boys Black,Phoenix United 2015 Elite,2,2,2024-10-12,2024 Scottsdale Cup,Rose Mofford Sports Complex
Phoenix United 2015 Elite,Next Level Soccer Northwest 2015 Boys Black,2,2,2024-10-12,2024 Scottsdale Cup,Rose Mofford Sports Complex
Southeast 2015 Boys Red,14B GSA,1,2,2025-09-28,The Derby 2025,Reata Sports Complex
14B GSA,Southeast 2015 Boys Red,2,1,2025-09-28,The Derby 2025,Reata Sports Complex
Excel Soccer Academy 14B Red,Southeast 2015 Boys Red,1,2,2025-09-28,The Derby 2025,Reata Sports Complex
Southeast 2015 Boys Red,Excel Soccer Academy 14B Red,2,1,2025-09-28,The Derby 2025,Reata Sports Complex
Southeast 2015 Boys Red,Tuzos Royals 2014,3,0,2025-09-27,The Derby 2025,Reata Sports Complex
Tuzos Royals 2014,Southeast 2015 Boys Red,0,3,2025-09-27,The Derby 2025,Reata Sports Complex
Southeast 2015 Boys Red,Playmaker Futbol Academy PRE-ECNL B14,7,1,2025-09-27,The Derby 2025,Reata Sports Complex
Playmaker Futbol Academy PRE-ECNL B14,Southeast 2015 Boys Red,1,7,2025-09-27,The Derby 2025,Reata Sports Complex
14B Velasco,Southeast 2015 Boys Red,0,3,2025-09-14,2025 Cactus Kick Off,Reach 11 Sports Complex
Southeast 2015 Boys Red,14B Velasco,3,0,2025-09-14,2025 Cactus Kick Off,Reach 11 Sports Complex
15B AChacon Pre-MLS Next,Southeast 2015 Boys Red,1,1,2025-09-14,2025 Cactus Kick Off,Reach 11 Sports Complex
Southeast 2015 Boys Red,15B AChacon Pre-MLS Next,1,1,2025-09-14,2025 Cactus Kick Off,Reach 11 Sports Complex
Southeast 2015 Boys Red,East Valley NSFC 14 Boys Aguirre,9,0,2025-09-14,2025 Cactus Kick Off,Reach 11 Sports Complex
East Valley NSFC 14 Boys Aguirre,Southeast 2015 Boys Red,0,9,2025-09-14,2025 Cactus Kick Off,Reach 11 Sports Complex
CCV Stars 14 Boys South Pre-ECNL,Southeast 2015 Boys Red,2,4,2025-09-13,2025 Cactus Kick Off,Reach 11 Sports Complex
Southeast 2015 Boys Red,CCV Stars 14 Boys South Pre-ECNL,4,2,2025-09-13,2025 Cactus Kick Off,Reach 11 Sports Complex
14 Cityzens,Next Level Soccer Southeast 2015 Boys Red,1,7,2025-04-05,Brazas - 2025 Ginga Champions,Arizona Athletic Grounds
Next Level Soccer Southeast 2015 Boys Red,14 Cityzens,7,1,2025-04-05,Brazas - 2025 Ginga Champions,Arizona Athletic Grounds
Next Level Soccer Southeast 2015 Boys Red,AZ Arsenal 14 Boys AYDP,7,0,2025-04-05,Brazas - 2025 Ginga Champions,Arizona Athletic Grounds
AZ Arsenal 14 Boys AYDP,Next Level Soccer Southeast 2015 Boys Red,0,7,2025-04-05,Brazas - 2025 Ginga Champions,Arizona Athletic Grounds
Phoenix United 2014 Academy,Next Level Soccer Southeast 2015 Boys Red,3,3,2025-04-05,Brazas - 2025 Ginga Champions,Arizona Athletic Grounds
Next Level Soccer Southeast 2015 Boys Red,Phoenix United 2014 Academy,3,3,2025-04-05,Brazas - 2025 Ginga Champions,Arizona Athletic Grounds
Next Level Soccer Southeast 2015 Boys Red,Legends FC AZ 14B FC,0,1,2025-03-30,2025 Arizona Academy Cup | Powered By Rated Sports,Reata Sports Complex
Legends FC AZ 14B FC,Next Level Soccer Southeast 2015 Boys Red,1,0,2025-03-30,2025 Arizona Academy Cup | Powered By Rated Sports,Reata Sports Complex
Next Level Soccer Southeast 2015 Boys Red,Next Level Soccer Northwest 2014 Boys,3,0,2025-03-30,2025 Arizona Academy Cup | Powered By Rated Sports,Reata Sports Complex
Next Level Soccer Northwest 2014 Boys,Next Level Soccer Southeast 2015 Boys Red,0,3,2025-03-30,2025 Arizona Academy Cup | Powered By Rated Sports,Reata Sports Complex
Next Level Soccer Southeast 2015 Boys Red,Legends FC AZ 14B FC,1,0,2025-03-29,2025 Arizona Academy Cup | Powered By Rated Sports,Reata Sports Complex
Legends FC AZ 14B FC,Next Level Soccer Southeast 2015 Boys Red,0,1,2025-03-29,2025 Arizona Academy Cup | Powered By Rated Sports,Reata Sports Complex
CCV STARS 14 Boys Orange LAV,Next Level Soccer Southeast 2015 Boys Red,2,0,2025-03-29,2025 Arizona Academy Cup | Powered By Rated Sports,Reata Sports Complex
Next Level Soccer Southeast 2015 Boys Red,CCV STARS 14 Boys Orange LAV,0,2,2025-03-29,2025 Arizona Academy Cup | Powered By Rated Sports,Reata Sports Complex
Next Level Soccer Southeast 2015 Boys Red,Legends FC AZ 14B FC,4,5,2025-02-23,2025 Max Shacknai Invitational,Arizona Athletic Grounds
Legends FC AZ 14B FC,Next Level Soccer Southeast 2015 Boys Red,5,4,2025-02-23,2025 Max Shacknai Invitational,Arizona Athletic Grounds
Next Level Soccer Southeast 2015 Boys Red,14B JCFresquez Pre-MLS Next,2,1,2025-02-22,2025 Max Shacknai Invitational,Arizona Athletic Grounds
14B JCFresquez Pre-MLS Next,Next Level Soccer Southeast 2015 Boys Red,1,2,2025-02-22,2025 Max Shacknai Invitational,Arizona Athletic Grounds
14,Next Level Soccer Southeast 2015 Boys Red,5,4,2025-02-22,2025 Max Shacknai Invitational,Arizona Athletic Grounds
Next Level Soccer Southeast 2015 Boys Red,14,4,5,2025-02-22,2025 Max Shacknai Invitational,Arizona Athletic Grounds
Next Level Soccer Southeast 2015 Boys Red,14,0,0,2025-01-26,2025 AZ Soccer Clash hosted by Phoenix Premier FC,Arizona Athletic Grounds
14,Next Level Soccer Southeast 2015 Boys Red,0,0,2025-01-26,2025 AZ Soccer Clash hosted by Phoenix Premier FC,Arizona Athletic Grounds
Phoenix Premier FC 14B Black,Next Level Soccer Southeast 2015 Boys Red,2,3,2025-01-25,2025 AZ Soccer Clash hosted by Phoenix Premier FC,Arizona Athletic Grounds
Next Level Soccer Southeast 2015 Boys Red,Phoenix Premier FC 14B Black,3,2,2025-01-25,2025 AZ Soccer Clash hosted by Phoenix Premier FC,Arizona Athletic Grounds
Next Level Soccer Southeast 2015 Boys Red,2014B West,1,1,2025-01-25,2025 AZ Soccer Clash hosted by Phoenix Premier FC,Arizona Athletic Grounds
2014B West,Next Level Soccer Southeast 2015 Boys Red,1,1,2025-01-25,2025 AZ Soccer Clash hosted by Phoenix Premier FC,Arizona Athletic Grounds
CCV STARS 14 Boys Orange PEO,Next Level Soccer Southeast 2015 Boys Red,3,2,2025-01-13,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
Next Level Soccer Southeast 2015 Boys Red,CCV STARS 14 Boys Orange PEO,2,3,2025-01-13,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
Next Level Soccer Southeast 2015 Boys Red,14B Velasco Pre-MLS Next,2,3,2025-01-11,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
14B Velasco Pre-MLS Next,Next Level Soccer Southeast 2015 Boys Red,3,2,2025-01-11,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
2014B West,Next Level Soccer Southeast 2015 Boys Red,2,3,2025-01-11,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
Next Level Soccer Southeast 2015 Boys Red,2014B West,3,2,2025-01-11,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
Utah United Academy 2015,Next Level Soccer Southeast 2015 Boys Red,3,5,2024-12-15,RSL-AZ Holiday Classic 2024,
Next Level Soccer Southeast 2015 Boys Red,Utah United Academy 2015,5,3,2024-12-15,RSL-AZ Holiday Classic 2024,
Next Level Soccer Southeast 2015 Boys Red,Utah United Academy 2015,2,1,2024-12-15,RSL-AZ Holiday Classic 2024,
Utah United Academy 2015,Next Level Soccer Southeast 2015 Boys Red,1,2,2024-12-15,RSL-AZ Holiday Classic 2024,
PRFC Scottsdale 16B Predator,Next Level Soccer Southeast 2015 Boys Red,1,3,2024-12-14,RSL-AZ Holiday Classic 2024,
Next Level Soccer Southeast 2015 Boys Red,PRFC Scottsdale 16B Predator,3,1,2024-12-14,RSL-AZ Holiday Classic 2024,
Next Level Soccer Southeast 2015 Boys Red,PRFC Scottsdale 15B Copa,6,0,2024-12-14,RSL-AZ Holiday Classic 2024,
PRFC Scottsdale 15B Copa,Next Level Soccer Southeast 2015 Boys Red,0,6,2024-12-14,RSL-AZ Holiday Classic 2024,
Next Level Soccer Southeast 2015 Boys Red,Legends FC AZ 15B Gold,13,1,2024-12-08,The Open (2024) SuperCopa & SuperCopa+ Qualifier,Bell 94 Sports Complex
Legends FC AZ 15B Gold,Next Level Soccer Southeast 2015 Boys Red,1,13,2024-12-08,The Open (2024) SuperCopa & SuperCopa+ Qualifier,Bell 94 Sports Complex
Next Level Soccer Southeast 2015 Boys Red,CCV STARS 15 Boys Orange PEO,1,2,2024-12-08,The Open (2024) SuperCopa & SuperCopa+ Qualifier,Bell 94 Sports Complex
CCV STARS 15 Boys Orange PEO,Next Level Soccer Southeast 2015 Boys Red,2,1,2024-12-08,The Open (2024) SuperCopa & SuperCopa+ Qualifier,Bell 94 Sports Complex
State 48 FC Verrado 15/16 Black,Next Level Soccer Southeast 2015 Boys Red,0,5,2024-12-07,The Open (2024) SuperCopa & SuperCopa+ Qualifier,Bell 94 Sports Complex
Next Level Soccer Southeast 2015 Boys Red,State 48 FC Verrado 15/16 Black,5,0,2024-12-07,The Open (2024) SuperCopa & SuperCopa+ Qualifier,Bell 94 Sports Complex
CCV STARS 15 Boys Orange PEO,Next Level Soccer Southeast 2015 Boys Red,0,3,2024-12-07,The Open (2024) SuperCopa & SuperCopa+ Qualifier,Bell 94 Sports Complex
Next Level Soccer Southeast 2015 Boys Red,CCV STARS 15 Boys Orange PEO,3,0,2024-12-07,The Open (2024) SuperCopa & SuperCopa+ Qualifier,Bell 94 Sports Complex
Next Level Soccer Northwest 2015 Boys Black,Next Level Soccer Southeast 2015 Boys Red,3,0,2024-11-10,Kick for the Cure 2024,West Valley Events Complex - Field
Next Level Soccer Southeast 2015 Boys Red,Next Level Soccer Northwest 2015 Boys Black,0,3,2024-11-10,Kick for the Cure 2024,West Valley Events Complex - Field
Excel Soccer Academy 15 Red,Next Level Soccer Southeast 2015 Boys Red,5,10,2024-11-10,Kick for the Cure 2024,West Valley Events Complex - Field
Next Level Soccer Southeast 2015 Boys Red,Excel Soccer Academy 15 Red,10,5,2024-11-10,Kick for the Cure 2024,West Valley Events Complex - Field
