Team A,Team B,Score A,Score B,Date,Competition,Venue
15 Pre-MLS Next #1,Chelsea 15B,0,3,2025-09-21,46th Annual Wolfgang Weber FC Tucson Cup,Kino Sports Complex
Chelsea 15B,15 Pre-MLS Next #1,3,0,2025-09-21,46th Annual Wolfgang Weber FC Tucson Cup,Kino Sports Complex
Chelsea 15B,15B Hermanson,14,0,2025-09-21,46th Annual Wolfgang Weber FC Tucson Cup,Kino Sports Complex
15B Hermanson,Chelsea 15B,0,14,2025-09-21,46th Annual Wolfgang Weber FC Tucson Cup,Kino Sports Complex
Chelsea 15B,PRFC Scottsdale 15B Predator,3,3,2025-09-20,46th Annual Wolfgang Weber FC Tucson Cup,Kino Sports Complex
PRFC Scottsdale 15B Predator,Chelsea 15B,3,3,2025-09-20,46th Annual Wolfgang Weber FC Tucson Cup,Kino Sports Complex
15 Boys National League #1,Chelsea 15B,1,16,2025-09-20,46th Annual Wolfgang Weber FC Tucson Cup,Kino Sports Complex
Chelsea 15B,15 Boys National League #1,16,1,2025-09-20,46th Annual Wolfgang Weber FC Tucson Cup,Kino Sports Complex
Northwest 2015 Boys Red,Chelsea 15B,4,3,2025-08-31,Phoenix Rising Cup 2025,Reach 11 Sports Complex (PRC)
Chelsea 15B,Northwest 2015 Boys Red,3,4,2025-08-31,Phoenix Rising Cup 2025,Reach 11 Sports Complex (PRC)
PRFC Scottsdale 15B Predator,Chelsea 15B,2,5,2025-08-31,Phoenix Rising Cup 2025,Reach 11 Sports Complex (PRC)
Chelsea 15B,PRFC Scottsdale 15B Predator,5,2,2025-08-31,Phoenix Rising Cup 2025,Reach 11 Sports Complex (PRC)
Chelsea 15B,PRFC Scottsdale 16B Predator,5,4,2025-08-30,Phoenix Rising Cup 2025,Reach 11 Sports Complex (PRC)
PRFC Scottsdale 16B Predator,Chelsea 15B,4,5,2025-08-30,Phoenix Rising Cup 2025,Reach 11 Sports Complex (PRC)
14B Hinds,Chelsea 15B,0,0,2025-08-01,PCJSL 2025/26 - Fall Session U9 - U19,
Chelsea 15B,14B Hinds,0,0,2025-08-01,PCJSL 2025/26 - Fall Session U9 - U19,
FCDA 15B Pre - Academy,Chelsea 15B,3,5,2025-03-30,Tuzos Challenge 2025,West Valley Events Complex - Field
Chelsea 15B,FCDA 15B Pre - Academy,5,3,2025-03-30,Tuzos Challenge 2025,West Valley Events Complex - Field
Chelsea 15B,FCDA 15B Pre - Academy,4,2,2025-03-30,Tuzos Challenge 2025,West Valley Events Complex - Field
FCDA 15B Pre - Academy,Chelsea 15B,2,4,2025-03-30,Tuzos Challenge 2025,West Valley Events Complex - Field
RSLAZ Southern Rayados Az 2015 Blue,Chelsea 15B,0,5,2025-03-29,Tuzos Challenge 2025,West Valley Events Complex - Field
Chelsea 15B,RSLAZ Southern Rayados Az 2015 Blue,5,0,2025-03-29,Tuzos Challenge 2025,West Valley Events Complex - Field
Chelsea 15B,Tuzos Academy Mesa 2015,2,1,2025-03-29,Tuzos Challenge 2025,West Valley Events Complex - Field
Tuzos Academy Mesa 2015,Chelsea 15B,1,2,2025-03-29,Tuzos Challenge 2025,West Valley Events Complex - Field
AZ Arsenal 16 Boys Teal 1,Chelsea 15B,2,3,2025-03-16,2025 Pima County Surf Challenge,Arizona Athletic Grounds
Chelsea 15B,AZ Arsenal 16 Boys Teal 1,3,2,2025-03-16,2025 Pima County Surf Challenge,Arizona Athletic Grounds
Chelsea 15B,RYSC 2015,8,2,2025-03-16,2025 Pima County Surf Challenge,Arizona Athletic Grounds
RYSC 2015,Chelsea 15B,2,8,2025-03-16,2025 Pima County Surf Challenge,Arizona Athletic Grounds
AZ Arsenal 16 Boys Teal 1,Chelsea 15B,5,4,2025-03-15,2025 Pima County Surf Challenge,Arizona Athletic Grounds
Chelsea 15B,AZ Arsenal 16 Boys Teal 1,4,5,2025-03-15,2025 Pima County Surf Challenge,Arizona Athletic Grounds
Chelsea 15B,Phoenix 15/16B Blue,7,0,2025-03-15,2025 Pima County Surf Challenge,Arizona Athletic Grounds
Phoenix 15/16B Blue,Chelsea 15B,0,7,2025-03-15,2025 Pima County Surf Challenge,Arizona Athletic Grounds
15 Boys Soul Warriors,Chelsea 15B,0,7,2025-03-08,PCJSL 2024/25 - Winter Session U9 - U15,Himmel
Chelsea 15B,15 Boys Soul Warriors,7,0,2025-03-08,PCJSL 2024/25 - Winter Session U9 - U15,Himmel
Chelsea 15B,15 Boys Soul Warriors,6,2,2025-03-01,PCJSL 2024/25 - Winter Session U9 - U15,Freedom Park
15 Boys Soul Warriors,Chelsea 15B,2,6,2025-03-01,PCJSL 2024/25 - Winter Session U9 - U15,Freedom Park
RSL-AZ Yuma 14 Boys Quinonez,Chelsea 15B,0,3,2025-02-16,2025 RSL Jacobs Classic,Tucson Kino South Complex (ASA)
Chelsea 15B,RSL-AZ Yuma 14 Boys Quinonez,3,0,2025-02-16,2025 RSL Jacobs Classic,Tucson Kino South Complex (ASA)
Chelsea 15B,CDO 15B Premier,3,1,2025-02-16,2025 RSL Jacobs Classic,Tucson Kino South Complex (ASA)
CDO 15B Premier,Chelsea 15B,1,3,2025-02-16,2025 RSL Jacobs Classic,Tucson Kino South Complex (ASA)
