Team A,Team B,Score A,Score B,Date,Competition,SourceURL
Magnifico FC B15E,las vegas sports u10 white 2015,0.0,4.0,2025-02-02,Nevada Jr. Cup 2025,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,las vegas sports u10 white 2015,2.0,1.0,2025-02-01,Nevada Jr. Cup 2025,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,rayados las vegas soccer 2015,3.0,2.0,2025-02-01,Nevada Jr. Cup 2025,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,villarreal lv u10 yellow,3.0,0.0,2025-01-25,Nevada South Youth Soccer League Spring 2025,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,magnifico fc15e,3.0,2.0,2025-01-20,Vegas Cup 2025,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,magnifico fc15e,4.0,3.0,2025-01-20,Vegas Cup 2025,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,magnifico fc15e,11.0,1.0,2025-01-19,Vegas Cup 2025,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,magnifico fc15e,5.0,1.0,2025-01-20,Vegas Cup 2025,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,b2015 west -,1.0,4.0,2025-01-19,Vegas Cup 2025,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,magnifico fc15e,6.0,1.0,2025-01-18,Vegas Cup 2025,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,sr10 desperados (hutchinson),8.0,2.0,2024-12-15,Las Vegas Champions Cup 2024,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,las vegas sports u9 red 2016,4.0,1.0,2024-12-15,Las Vegas Champions Cup 2024,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,henderson lvsa '15b,5.0,5.0,2024-12-15,Las Vegas Champions Cup 2024,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,las vegas sports u9 red 2016,2.0,2.0,2024-12-14,Las Vegas Champions Cup 2024,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,vkcobras 2015 metro green 1,5.0,0.0,2024-11-30,Las Vegas Thanksgiving Classic 2024,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,vkcobras 2015 metro green 1,2.0,1.0,2024-11-30,Las Vegas Thanksgiving Classic 2024,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,club alianza2015 coachella valley,1.0,4.0,2024-11-29,Las Vegas Thanksgiving Classic 2024,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,lv heat surf 15b select blue henderson,0.0,2.0,2024-11-29,Las Vegas Thanksgiving Classic 2024,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,henderson lvsa '15b,,,2024-11-23,Nevada South Youth Soccer League Fall 2024,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,nevada rush b2015 junior,11.0,1.0,2024-11-17,The 31st Annual Rugrat Tournament,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,magnifico 2015p,4.0,3.0,2024-11-17,The 31st Annual Rugrat Tournament,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,henderson lvsa '15b,6.0,1.0,2024-11-16,The 31st Annual Rugrat Tournament,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,las vegas sports u10 black 2015,2.0,3.0,2024-11-16,The 31st Annual Rugrat Tournament,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,lv rayados 2016,0.0,1.0,2024-11-09,Nevada South Youth Soccer League Fall 2024,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,villarreal lv u10 yellow,1.0,6.0,2024-11-03,Nevada South Youth Soccer League Fall 2024,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,2015,1.0,6.0,2024-10-27,City of Las Vegas Mayor's Cup International Tournament 2024,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,2015 elite,0.0,8.0,2024-10-27,City of Las Vegas Mayor's Cup International Tournament 2024,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,central coast 15,6.0,2.0,2024-10-26,City of Las Vegas Mayor's Cup International Tournament 2024,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,henderson lvsa '15b,3.0,2.0,2024-10-19,Nevada South Youth Soccer League Fall 2024,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,albion las vegas 2014 i,0.0,10.0,2024-10-13,Las Vegas Invitational FALL CUP 2024,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,las vegas sports u11 black 2014,3.0,3.0,2024-10-13,Las Vegas Invitational FALL CUP 2024,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,lv heat surf 14b pre np henderson,6.0,2.0,2024-10-13,Las Vegas Invitational FALL CUP 2024,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,albion las vegas 2014 i,2.0,1.0,2024-10-12,Las Vegas Invitational FALL CUP 2024,https://rankings.gotsport.com/teams/380663/game-history
2015 (U11) Pre MLS,weston 2015 future elite iii,0.0,2.0,2025-10-04,EDP Florida League 2025-26,https://rankings.gotsport.com/teams/369803/game-history
2015 (U11) Pre MLS,sffa 2015,8.0,0.0,2025-09-27,Florida Academy League 2025-2026,https://rankings.gotsport.com/teams/369803/game-history
2015 (U11) Pre MLS,2015b,3.0,1.0,2025-09-20,EDP Florida League 2025-26,https://rankings.gotsport.com/teams/369803/game-history
2015 (U11) Pre MLS,fal 2015,7.0,1.0,2025-09-14,Florida Academy League 2025-2026,https://rankings.gotsport.com/teams/369803/game-history
2015 (U11) Pre MLS,weston 2015 future elite ii,1.0,2.0,2025-09-13,Florida Academy League 2025-2026,https://rankings.gotsport.com/teams/369803/game-history
2015 (U11) Pre MLS,2015,1.0,2.0,2025-09-01,2025 South Florida Super Cup-,https://rankings.gotsport.com/teams/369803/game-history
2015 (U11) Pre MLS,florida royal 2015 division 1 elite,5.0,1.0,2025-08-31,2025 South Florida Super Cup-,https://rankings.gotsport.com/teams/369803/game-history
2015 (U11) Pre MLS,strikers miami 2015 pre ecnl,4.0,1.0,2025-08-31,2025 South Florida Super Cup-,https://rankings.gotsport.com/teams/369803/game-history
2015 (U11) Pre MLS,2015b,0.0,0.0,2025-08-30,2025 South Florida Super Cup-,https://rankings.gotsport.com/teams/369803/game-history
2015 (U11) Pre MLS,2015 (u10),13.0,0.0,2025-05-25,"2025 Dreams Cup, hosted by Inter Miami CF",https://rankings.gotsport.com/teams/369803/game-history
2015 (U11) Pre MLS,2015 (u10),2.0,4.0,2025-05-25,"2025 Dreams Cup, hosted by Inter Miami CF",https://rankings.gotsport.com/teams/369803/game-history
2015 (U11) Pre MLS,cf 15b south,1.0,1.0,2025-05-24,"2025 Dreams Cup, hosted by Inter Miami CF",https://rankings.gotsport.com/teams/369803/game-history
2015 (U11) Pre MLS,2015 (u10),1.0,0.0,2025-05-24,"2025 Dreams Cup, hosted by Inter Miami CF",https://rankings.gotsport.com/teams/369803/game-history
2015 (U11) Pre MLS,2015 (u10),8.0,1.0,2025-05-17,Florida Academy League 2024-2025,https://rankings.gotsport.com/teams/369803/game-history
2015 (U11) Pre MLS,miami breakers 2014,3.0,5.0,2025-05-10,EDP Florida League Spring 25,https://rankings.gotsport.com/teams/369803/game-history
2015 (U11) Pre MLS,2015 (u10),2.0,3.0,2025-05-04,Florida Academy League 2024-2025,https://rankings.gotsport.com/teams/369803/game-history
2015 (U11) Pre MLS,2015 (u10),2.0,1.0,2025-05-03,EDP Florida League Spring 25,https://rankings.gotsport.com/teams/369803/game-history
2015 (U11) Pre MLS,s5a kendall u11,2.0,3.0,2025-04-26,EDP Florida League Spring 25,https://rankings.gotsport.com/teams/369803/game-history
2015 (U11) Pre MLS,imcfa 2015,,,2025-04-24,Florida Academy League 2024-2025,https://rankings.gotsport.com/teams/369803/game-history
2015 (U11) Pre MLS,imcfa 2015,3.0,1.0,2025-04-19,Boys Easter International Cup 2025,https://rankings.gotsport.com/teams/369803/game-history
2015 (U11) Pre MLS,2015 (u10),2.0,5.0,2025-04-18,Boys Easter International Cup 2025,https://rankings.gotsport.com/teams/369803/game-history
2015 (U11) Pre MLS,2015 (u10),0.0,2.0,2025-04-18,Boys Easter International Cup 2025,https://rankings.gotsport.com/teams/369803/game-history
2015 (U11) Pre MLS,fbs- 2015 orange,0.0,4.0,2025-04-17,Boys Easter International Cup 2025,https://rankings.gotsport.com/teams/369803/game-history
2015 (U11) Pre MLS,kbsc premier blue 2014,2.0,2.0,2025-04-13,EDP Florida League Spring 25,https://rankings.gotsport.com/teams/369803/game-history
2015 (U11) Pre MLS,2015 (u10),,,2025-04-12,EDP Florida League Spring 25,https://rankings.gotsport.com/teams/369803/game-history
2015 (U11) Pre MLS,2015 (u10),4.0,1.0,2025-04-12,Florida Academy League 2024-2025,https://rankings.gotsport.com/teams/369803/game-history
2015 (U11) Pre MLS,2015 (u10),4.0,0.0,2025-04-05,EDP Florida League Spring 25,https://rankings.gotsport.com/teams/369803/game-history
2015 (U11) Pre MLS,fbs- 2015 orange,2.0,5.0,2025-03-22,Florida Academy League 2024-2025,https://rankings.gotsport.com/teams/369803/game-history
2015 (U11) Pre MLS,2015 (u10),5.0,5.0,2025-03-01,EDP Florida League Spring 25,https://rankings.gotsport.com/teams/369803/game-history
2015 (U11) Pre MLS,u10 elite doral,4.0,5.0,2025-02-23,EDP Florida League Spring 25,https://rankings.gotsport.com/teams/369803/game-history
2015 (U11) Pre MLS,doral elite 2015,2.0,8.0,2025-02-22,Florida Academy League 2024-2025,https://rankings.gotsport.com/teams/369803/game-history
2015 (U11) Pre MLS,2015 (u10),1.0,3.0,2025-02-17,2025 Weston Cup & Showcase,https://rankings.gotsport.com/teams/369803/game-history
2015 (U11) Pre MLS,2015 (u10),1.0,0.0,2025-02-16,2025 Weston Cup & Showcase,https://rankings.gotsport.com/teams/369803/game-history
2015 (U11) Pre MLS,2015 (u10),2.0,0.0,2025-02-16,2025 Weston Cup & Showcase,https://rankings.gotsport.com/teams/369803/game-history
2015 (U11) Pre MLS,2015 (u10),3.0,0.0,2025-02-15,2025 Weston Cup & Showcase,https://rankings.gotsport.com/teams/369803/game-history
2015 (U11) Pre MLS,15b fpfc dev 1,1.0,2.0,2025-02-15,2025 Weston Cup & Showcase,https://rankings.gotsport.com/teams/369803/game-history
2015 (U11) Pre MLS,jam - furino,2.0,2.0,2025-02-08,EDP Florida League Spring 25,https://rankings.gotsport.com/teams/369803/game-history
2015 (U11) Pre MLS,weston 2015 future elite i,,,2025-01-25,Florida Academy League 2024-2025,https://rankings.gotsport.com/teams/369803/game-history
2015 (U11) Pre MLS,imcfa 2015,,,2025-01-23,Florida Academy League 2024-2025,https://rankings.gotsport.com/teams/369803/game-history
2015 (U11) Pre MLS,cssa 2014b,2.0,0.0,2025-01-19,Miami Rush Cup 2025,https://rankings.gotsport.com/teams/369803/game-history
2015 (U11) Pre MLS,barça pro miami - b2014 balde,3.0,7.0,2025-01-19,Miami Rush Cup 2025,https://rankings.gotsport.com/teams/369803/game-history
2015 (U11) Pre MLS,2015 (u10),,,2025-01-19,Florida Academy League 2024-2025,https://rankings.gotsport.com/teams/369803/game-history
2015 (U11) Pre MLS,2015 (u10),3.0,3.0,2025-01-18,Miami Rush Cup 2025,https://rankings.gotsport.com/teams/369803/game-history
2015 (U11) Pre MLS,2015 (u10),3.0,4.0,2024-12-08,2024 The Miami Classic,https://rankings.gotsport.com/teams/369803/game-history
2015 (U11) Pre MLS,one b2015,3.0,0.0,2024-12-08,2024 The Miami Classic,https://rankings.gotsport.com/teams/369803/game-history
2015 (U11) Pre MLS,2015 (u10),6.0,2.0,2024-12-07,2024 The Miami Classic,https://rankings.gotsport.com/teams/369803/game-history
2015 (U11) Pre MLS,doral u10 torres,2.0,6.0,2024-12-07,2024 The Miami Classic,https://rankings.gotsport.com/teams/369803/game-history
2015 (U11) Pre MLS,eagles 2015 blue b,1.0,5.0,2024-11-24,Florida Academy League 2024-2025,https://rankings.gotsport.com/teams/369803/game-history
2015 (U11) Pre MLS,fbs- 2015 orange,1.0,5.0,2024-11-16,Florida Academy League 2024-2025,https://rankings.gotsport.com/teams/369803/game-history
2015 (U11) Pre MLS,2015 (u10),1.0,4.0,2024-10-27,Legends Cup- 2024,https://rankings.gotsport.com/teams/369803/game-history
2015 (U11) Pre MLS,2015 (u10),4.0,2.0,2024-10-26,Legends Cup- 2024,https://rankings.gotsport.com/teams/369803/game-history
2015 (U11) Pre MLS,one b2015,0.0,4.0,2024-10-26,Legends Cup- 2024,https://rankings.gotsport.com/teams/369803/game-history
Weston FC 2015 Future Elite I,fbs- u12 b,3.0,1.0,2025-09-27,Florida Academy League 2025-2026,https://rankings.gotsport.com/teams/482590/game-history
Weston FC 2015 Future Elite I,sffa 2014 boys white,6.0,1.0,2025-09-20,Florida Academy League 2025-2026,https://rankings.gotsport.com/teams/482590/game-history
Weston FC 2015 Future Elite I,2014 (u12) pre mls ii,8.0,4.0,2025-09-13,Florida Academy League 2025-2026,https://rankings.gotsport.com/teams/482590/game-history
Weston FC 2015 Future Elite I,fal ii 2014,7.0,1.0,2025-09-06,Florida Academy League 2025-2026,https://rankings.gotsport.com/teams/482590/game-history
Weston FC 2015 Future Elite I,15b fpfc dev 1,1.0,3.0,2025-05-25,"2025 Dreams Cup, hosted by Inter Miami CF",https://rankings.gotsport.com/teams/482590/game-history
Weston FC 2015 Future Elite I,barça pro miami - b2015 de jong,3.0,0.0,2025-05-25,"2025 Dreams Cup, hosted by Inter Miami CF",https://rankings.gotsport.com/teams/482590/game-history
Weston FC 2015 Future Elite I,fc23nxterafootball,12.0,0.0,2025-05-24,"2025 Dreams Cup, hosted by Inter Miami CF",https://rankings.gotsport.com/teams/482590/game-history
Weston FC 2015 Future Elite I,imcfa 2015,2.0,3.0,2025-05-24,"2025 Dreams Cup, hosted by Inter Miami CF",https://rankings.gotsport.com/teams/482590/game-history
Weston FC 2015 Future Elite I,2015 (u10),3.0,2.0,2025-05-04,Florida Academy League 2024-2025,https://rankings.gotsport.com/teams/482590/game-history
Weston FC 2015 Future Elite I,eagles 2015 blue b,9.0,0.0,2025-04-26,Florida Academy League 2024-2025,https://rankings.gotsport.com/teams/482590/game-history
Weston FC 2015 Future Elite I,ggs 2014,3.0,2.0,2025-04-19,Boys Easter International Cup 2025,https://rankings.gotsport.com/teams/482590/game-history
Weston FC 2015 Future Elite I,tampa dynamo 2014b,4.0,0.0,2025-04-18,Boys Easter International Cup 2025,https://rankings.gotsport.com/teams/482590/game-history
Weston FC 2015 Future Elite I,coerfontaine 14b championship,2.0,0.0,2025-04-17,Boys Easter International Cup 2025,https://rankings.gotsport.com/teams/482590/game-history
Weston FC 2015 Future Elite I,ocss-seminole 2015 pre mls (us club),10.0,0.0,2025-04-17,Boys Easter International Cup 2025,https://rankings.gotsport.com/teams/482590/game-history
Weston FC 2015 Future Elite I,fort lauderdale 14,6.0,0.0,2025-04-16,Boys Easter International Cup 2025,https://rankings.gotsport.com/teams/482590/game-history
Weston FC 2015 Future Elite I,fbs- 2015 orange,,,2025-04-12,Florida Academy League 2024-2025,https://rankings.gotsport.com/teams/482590/game-history
Weston FC 2015 Future Elite I,imcfa 2015,,,2025-04-03,Florida Academy League 2024-2025,https://rankings.gotsport.com/teams/482590/game-history
Weston FC 2015 Future Elite I,doral elite 2015,,,2025-03-16,Florida Academy League 2024-2025,https://rankings.gotsport.com/teams/482590/game-history
Weston FC 2015 Future Elite I,fbs- 2015 orange,6.0,4.0,2025-03-09,Florida Academy League 2024-2025,https://rankings.gotsport.com/teams/482590/game-history
Weston FC 2015 Future Elite I,doral elite 2015,2.0,3.0,2025-03-02,Florida Academy League 2024-2025,https://rankings.gotsport.com/teams/482590/game-history
Weston FC 2015 Future Elite I,2015 (u10),3.0,1.0,2025-02-17,2025 Weston Cup & Showcase,https://rankings.gotsport.com/teams/482590/game-history
Weston FC 2015 Future Elite I,syc 2015b,4.0,0.0,2025-02-16,2025 Weston Cup & Showcase,https://rankings.gotsport.com/teams/482590/game-history
Weston FC 2015 Future Elite I,tampa dynamo 2015b,3.0,2.0,2025-02-16,2025 Weston Cup & Showcase,https://rankings.gotsport.com/teams/482590/game-history
Weston FC 2015 Future Elite I,barça pro miami - b2015 de jong,2.0,0.0,2025-02-15,2025 Weston Cup & Showcase,https://rankings.gotsport.com/teams/482590/game-history
Weston FC 2015 Future Elite I,one b2015,1.0,2.0,2025-02-15,2025 Weston Cup & Showcase,https://rankings.gotsport.com/teams/482590/game-history
Weston FC 2015 Future Elite I,eagles 2015 blue b,3.0,1.0,2025-02-09,Florida Academy League 2024-2025,https://rankings.gotsport.com/teams/482590/game-history
Weston FC 2015 Future Elite I,imcfa 2015,,,2025-02-06,Florida Academy League 2024-2025,https://rankings.gotsport.com/teams/482590/game-history
Weston FC 2015 Future Elite I,eagles 2015 blue b,5.0,0.0,2025-02-01,Florida Academy League 2024-2025,https://rankings.gotsport.com/teams/482590/game-history
Weston FC 2015 Future Elite I,2015 (u10),,,2025-01-25,Florida Academy League 2024-2025,https://rankings.gotsport.com/teams/482590/game-history
Weston FC 2015 Future Elite I,scu 15,6.0,0.0,2025-01-12,2025 JFC Puma King Cup,https://rankings.gotsport.com/teams/482590/game-history
Weston FC 2015 Future Elite I,one b2015,6.0,3.0,2025-01-12,2025 JFC Puma King Cup,https://rankings.gotsport.com/teams/482590/game-history
Weston FC 2015 Future Elite I,jfc 2015 pre mls i,4.0,1.0,2025-01-11,2025 JFC Puma King Cup,https://rankings.gotsport.com/teams/482590/game-history
Weston FC 2015 Future Elite I,one b2015,7.0,1.0,2025-01-11,2025 JFC Puma King Cup,https://rankings.gotsport.com/teams/482590/game-history
Weston FC 2015 Future Elite I,kbsc elite 2015,3.0,5.0,2024-12-08,2024 The Miami Classic,https://rankings.gotsport.com/teams/482590/game-history
Weston FC 2015 Future Elite I,galacticos soccer 2015 elite,3.0,4.0,2024-12-07,2024 The Miami Classic,https://rankings.gotsport.com/teams/482590/game-history
Weston FC 2015 Future Elite I,jam doral - cuadrado,2.0,2.0,2024-12-06,2024 The Miami Classic,https://rankings.gotsport.com/teams/482590/game-history
Weston FC 2015 Future Elite I,doral elite 2015,6.0,2.0,2024-11-17,Florida Academy League 2024-2025,https://rankings.gotsport.com/teams/482590/game-history
Weston FC 2015 Future Elite I,2014 (u11),2.0,2.0,2024-10-27,Legends Cup- 2024,https://rankings.gotsport.com/teams/482590/game-history
Weston FC 2015 Future Elite I,2014,2.0,3.0,2024-10-27,Legends Cup- 2024,https://rankings.gotsport.com/teams/482590/game-history
Weston FC 2015 Future Elite I,miami breakers 2014 white 24/25,7.0,0.0,2024-10-26,Legends Cup- 2024,https://rankings.gotsport.com/teams/482590/game-history
Weston FC 2015 Future Elite I,2014,2.0,2.0,2024-10-26,Legends Cup- 2024,https://rankings.gotsport.com/teams/482590/game-history
2015 Boys Blue,15 kraze pre ecnl,1.0,2.0,2025-10-05,2025 FKK Alliance Cup - Juniors,https://rankings.gotsport.com/teams/278299/game-history
2015 Boys Blue,fpfc pre ecnl ii 2015,6.0,1.0,2025-10-05,2025 FKK Alliance Cup - Juniors,https://rankings.gotsport.com/teams/278299/game-history
2015 Boys Blue,fpfc 15b cp regional,0.0,2.0,2025-10-04,2025 FKK Alliance Cup - Juniors,https://rankings.gotsport.com/teams/278299/game-history
2015 Boys Blue,kbsc 2015,3.0,2.0,2025-09-20,Florida Academy League 2025-2026,https://rankings.gotsport.com/teams/278299/game-history
2015 Boys Blue,doral elite 2015,8.0,0.0,2025-09-06,Florida Academy League 2025-2026,https://rankings.gotsport.com/teams/278299/game-history
2015 Boys Blue,2015 (u11) pre mls,2.0,1.0,2025-09-01,2025 South Florida Super Cup-,https://rankings.gotsport.com/teams/278299/game-history
2015 Boys Blue,florida royal 2015 division 1 elite,6.0,1.0,2025-08-31,2025 South Florida Super Cup-,https://rankings.gotsport.com/teams/278299/game-history
2015 Boys Blue,strikers miami 2015 pre ecnl,2.0,2.0,2025-08-31,2025 South Florida Super Cup-,https://rankings.gotsport.com/teams/278299/game-history
2015 Boys Blue,2015b,2.0,1.0,2025-08-30,2025 South Florida Super Cup-,https://rankings.gotsport.com/teams/278299/game-history
2015 Boys Blue,2015,1.0,4.0,2025-04-27,2025 South Florida Soccer Cup & Showcase,https://rankings.gotsport.com/teams/278299/game-history
2015 Boys Blue,mvp 15b,0.0,1.0,2025-04-27,2025 South Florida Soccer Cup & Showcase,https://rankings.gotsport.com/teams/278299/game-history
2015 Boys Blue,15 kraze,1.0,1.0,2025-04-26,2025 South Florida Soccer Cup & Showcase,https://rankings.gotsport.com/teams/278299/game-history
2015 Boys Blue,barça pro miami - b2015 de jong,2.0,1.0,2025-04-26,2025 South Florida Soccer Cup & Showcase,https://rankings.gotsport.com/teams/278299/game-history
2015 Boys Blue,2014- team orange,3.0,2.0,2025-04-19,EDP Florida League Spring 25,https://rankings.gotsport.com/teams/278299/game-history
2015 Boys Blue,doral white 2014,1.0,2.0,2025-04-12,EDP Florida League Spring 25,https://rankings.gotsport.com/teams/278299/game-history
2015 Boys Blue,doral west 2014,1.0,3.0,2025-04-12,EDP Florida League Spring 25,https://rankings.gotsport.com/teams/278299/game-history
2015 Boys Blue,2015,3.0,0.0,2025-04-06,2025 Sharks Soccer Cup & Showcase,https://rankings.gotsport.com/teams/278299/game-history
2015 Boys Blue,2015,1.0,2.0,2025-04-06,2025 Sharks Soccer Cup & Showcase,https://rankings.gotsport.com/teams/278299/game-history
2015 Boys Blue,weston 2015,2.0,0.0,2025-04-06,2025 Sharks Soccer Cup & Showcase,https://rankings.gotsport.com/teams/278299/game-history
2015 Boys Blue,2015,0.0,5.0,2025-04-05,2025 Sharks Soccer Cup & Showcase,https://rankings.gotsport.com/teams/278299/game-history
2015 Boys Blue,miami lakes united 2014,1.0,1.0,2025-03-30,EDP Florida League Spring 25,https://rankings.gotsport.com/teams/278299/game-history
2015 Boys Blue,2014b,2.0,0.0,2025-03-16,EDP Florida League Spring 25,https://rankings.gotsport.com/teams/278299/game-history
2015 Boys Blue,barça pro miami - b2014 christensen,2.0,2.0,2025-02-26,EDP Florida League Spring 25,https://rankings.gotsport.com/teams/278299/game-history
2015 Boys Blue,springs 2014 elite,2.0,3.0,2025-02-16,2025 Weston Cup & Showcase,https://rankings.gotsport.com/teams/278299/game-history
2015 Boys Blue,csh2014,1.0,2.0,2025-02-16,2025 Weston Cup & Showcase,https://rankings.gotsport.com/teams/278299/game-history
2015 Boys Blue,fbs- 2014 charcoal,2.0,1.0,2025-02-15,2025 Weston Cup & Showcase,https://rankings.gotsport.com/teams/278299/game-history
2015 Boys Blue,one b2015,1.0,7.0,2025-02-09,EDP Florida League Spring 25,https://rankings.gotsport.com/teams/278299/game-history
2015 Boys Blue,jam doral - gentile,3.0,1.0,2025-02-08,EDP Florida League Spring 25,https://rankings.gotsport.com/teams/278299/game-history
2015 Boys Blue,clw chargers b2014 pre-mls (u11) yellow,0.0,3.0,2025-01-20,The 22nd Annual Dimitri Cup -U8 thru U12 Weekend,https://rankings.gotsport.com/teams/278299/game-history
2015 Boys Blue,fcs 2014 premier - wfpl,2.0,0.0,2025-01-19,The 22nd Annual Dimitri Cup -U8 thru U12 Weekend,https://rankings.gotsport.com/teams/278299/game-history
2015 Boys Blue,mass city bu11 advance,0.0,2.0,2025-01-18,The 22nd Annual Dimitri Cup -U8 thru U12 Weekend,https://rankings.gotsport.com/teams/278299/game-history
2015 Boys Blue,azzurri storm 2014 premier,2.0,1.0,2025-01-18,The 22nd Annual Dimitri Cup -U8 thru U12 Weekend,https://rankings.gotsport.com/teams/278299/game-history
2015 Boys Blue,barça pro miami - b2014 balde,0.0,3.0,2024-12-15,2024 Springs Holiday Cup,https://rankings.gotsport.com/teams/278299/game-history
2015 Boys Blue,2014 team,8.0,0.0,2024-12-14,2024 Springs Holiday Cup,https://rankings.gotsport.com/teams/278299/game-history
2015 Boys Blue,14/15b,3.0,1.0,2024-12-14,2024 Springs Holiday Cup,https://rankings.gotsport.com/teams/278299/game-history
2015 Boys Blue,2014,0.0,0.0,2024-12-07,EDP Florida League 2024-25,https://rankings.gotsport.com/teams/278299/game-history
2015 Boys Blue,kbsc premier blue 2014,1.0,2.0,2024-11-17,EDP Florida League 2024-25,https://rankings.gotsport.com/teams/278299/game-history
2015 Boys Blue,psg fl2 u11 navas,3.0,1.0,2024-11-03,ALBION CUP MIAMI 2024,https://rankings.gotsport.com/teams/278299/game-history
2015 Boys Blue,2015b,7.0,0.0,2024-11-03,ALBION CUP MIAMI 2024,https://rankings.gotsport.com/teams/278299/game-history
2015 Boys Blue,albion miami b2014 premier,6.0,0.0,2024-11-02,ALBION CUP MIAMI 2024,https://rankings.gotsport.com/teams/278299/game-history
2015 Boys Blue,2015b,6.0,1.0,2024-11-02,ALBION CUP MIAMI 2024,https://rankings.gotsport.com/teams/278299/game-history
2015 Boys Blue,got 2014,3.0,1.0,2024-10-26,EDP Florida League 2024-25,https://rankings.gotsport.com/teams/278299/game-history
2015 Boys Blue,miami beach football mbfc 2014,0.0,6.0,2024-10-20,EDP Florida League 2024-25,https://rankings.gotsport.com/teams/278299/game-history
AZ Arsenal Pre-ECNL B15,brazas 2015,3.0,3.0,2025-10-11,Arsenal Challenge 2025,https://rankings.gotsport.com/teams/163451/game-history
AZ Arsenal Pre-ECNL B15,phoenix united 2015 elite,3.0,1.0,2025-09-28,The Derby 2025,https://rankings.gotsport.com/teams/163451/game-history
AZ Arsenal Pre-ECNL B15,15b achacon pre-mls next,0.0,2.0,2025-09-28,The Derby 2025,https://rankings.gotsport.com/teams/163451/game-history
AZ Arsenal Pre-ECNL B15,brazas 2015,4.0,2.0,2025-09-27,The Derby 2025,https://rankings.gotsport.com/teams/163451/game-history
AZ Arsenal Pre-ECNL B15,phoenix premier 15b,11.0,1.0,2025-09-27,The Derby 2025,https://rankings.gotsport.com/teams/163451/game-history
AZ Arsenal Pre-ECNL B15,prfc scottsdale 15b pre-,8.0,0.0,2025-08-31,Phoenix Rising Cup 2025,https://rankings.gotsport.com/teams/163451/game-history
AZ Arsenal Pre-ECNL B15,15b achacon pre-mls next,0.0,0.0,2025-09-01,Phoenix Rising Cup 2025,https://rankings.gotsport.com/teams/163451/game-history
AZ Arsenal Pre-ECNL B15,15 pre-mls next tier #1,8.0,2.0,2025-08-31,Phoenix Rising Cup 2025,https://rankings.gotsport.com/teams/163451/game-history
AZ Arsenal Pre-ECNL B15,15b achacon pre-mls next,2.0,5.0,2025-08-30,Phoenix Rising Cup 2025,https://rankings.gotsport.com/teams/163451/game-history
AZ Arsenal Pre-ECNL B15,east valley nsfc 14 tiggs,,,2025-08-17,Preseason Friendlies 2025,https://rankings.gotsport.com/teams/163451/game-history
AZ Arsenal Pre-ECNL B15,nsfc 14 aguirre,,,2025-08-09,Preseason Friendlies 2025,https://rankings.gotsport.com/teams/163451/game-history
AZ Arsenal Pre-ECNL B15,az arsenal 14 teal cb,10.0,1.0,2025-07-20,Inside Classic Summer 2025,https://rankings.gotsport.com/teams/163451/game-history
AZ Arsenal Pre-ECNL B15,real az,2.0,12.0,2025-07-20,Inside Classic Summer 2025,https://rankings.gotsport.com/teams/163451/game-history
AZ Arsenal Pre-ECNL B15,prfc southeast valley 14b predator,12.0,3.0,2025-07-19,Inside Classic Summer 2025,https://rankings.gotsport.com/teams/163451/game-history
AZ Arsenal Pre-ECNL B15,az arsenal 14 teal cjb,11.0,1.0,2025-07-19,Inside Classic Summer 2025,https://rankings.gotsport.com/teams/163451/game-history
