Team A,Team B,Score A,Score B,Date
CCV STARS 15 Boys Orange SUR,Phoenix Premier FC 15B Black,5.0,5.0,2024-11-02
Phoenix Premier FC 15B Black,Tuzos Academy Mesa 2015,4.0,3.0,2024-11-02
2015 Locomotive Blue,Phoenix Premier FC 15B Black,6.0,3.0,2024-10-13
15B IGerman,State 48 FC Avondale 15 Copper,0.0,0.0,2025-10-11
PRFC North Valley 15B Predator,State 48 FC Avondale 15 Copper,0.0,3.0,2025-09-28
State 48 FC Avondale 15 Copper,West Valley 15/16B,1.0,3.0,2025-09-27
Northwest 2015 Boys Red,State 48 FC Avondale 15 Copper,3.0,2.0,2025-09-27
2015 Club Rayos,State 48 FC Avondale 15 Copper,3.0,2.0,2025-09-20
2015 Rush Boys,State 48 FC Avondale 15 Copper,4.0,0.0,2025-09-06
AZSC 2015B Navy,State 48 FC 15 Elite,2.0,7.0,2025-10-05
PRFC Scottsdale 16B Predator,State 48 FC 15 Elite,4.0,0.0,2025-10-04
State 48 FC 15 Elite,U-11 (2015) Boys Pre Academy Blue,0.0,0.0,2025-09-27
15B NMarkette Pre-MLS Next,State 48 FC 15 Elite,5.0,2.0,2025-09-21
15B Garza Pre MLS Next,State 48 FC 15 Elite,3.0,3.0,2025-09-20
State 48 FC 15 Elite,U-11 (2015) Boys Pre Academy Blue,1.0,2.0,2025-09-07
SC Del Sol San Luis,State 48 FC 15 Elite,1.0,4.0,2025-09-06
Southeast 2015 Boys Green,VSC 2015 Boys Green,0.0,0.0,2025-10-12
AZ Arsenal Pre-ECNL RL B15,Southeast 2015 Boys Green,5.0,2.0,2025-10-11
CCV Stars 15 Boys South Pre-ECNL,Southeast 2015 Boys Green,1.0,4.0,2025-10-10
Henderson LVSA '15B Black,Southeast 2015 Boys Green,1.0,7.0,2025-09-28
Scottsdale 15 Sandsharks Select,Southeast 2015 Boys Green,3.0,1.0,2025-09-27
16B GSA,Southeast 2015 Boys Green,0.0,0.0,2025-09-26
Southeast 2015 Boys Green,Tuzos Academy Mesa 2015,2.0,4.0,2025-08-31
PRFC Desert Foothills 15B Predator,Southeast 2015 Boys Green,6.0,1.0,2025-08-30
Dynamos SC 15B Gold,Southeast 2015 Boys Green,4.0,4.0,2025-08-29
Scottsdale 15 Sandsharks Select,Southeast 2015 Boys Green,3.0,4.0,2025-04-27
FCDA 15B Pre - Academy,Southeast 2015 Boys Green,2.0,2.0,2025-04-26
Southeast 2015 Boys Green,State 48 FC Verrado 15/16 Black,2.0,2.0,2025-04-26
Brazas 2015 Boys Gold Diego Rangel,Southeast 2015 Boys Green,2.0,4.0,2025-04-05
Brazas 2015 Boys White Diego Lopez,Southeast 2015 Boys Green,6.0,0.0,2025-04-05
Deportivo Coras USA 2015,Southeast 2015 Boys Green,6.0,1.0,2025-04-04
AZSC 15B Gold,Southeast 2015 Boys Green,1.0,4.0,2025-03-22
2015 Rush Boys,Southeast 2015 Boys Green,3.0,6.0,2025-03-22
Phoenix Premier FC 15B Black,Southeast 2015 Boys Green,1.0,5.0,2025-03-21
Southeast 2015 Boys Green,West Valley 2015 Boys Rose,2.0,4.0,2025-03-09
PRFC Scottsdale 15B Samba,Southeast 2015 Boys Green,0.0,4.0,2025-03-08
RSL-AZ South 15B Corral,Southeast 2015 Boys Green,7.0,0.0,2025-03-08
PRFC Southeast Valley 15B Predator,Southeast 2015 Boys Green,7.0,2.0,2025-02-22
PRFC West Valley 15B Samba,Southeast 2015 Boys Green,8.0,0.0,2025-02-22
AYSO 1079 2015 Boys,Southeast 2015 Boys Green,2.0,8.0,2025-02-20
Southeast 2015 Boys Green,Vegas United ‘15 Boys Elite,2.0,8.0,2025-02-08
2015 Boys Blue,Southeast 2015 Boys Green,1.0,0.0,2025-02-08
2015 Boys Blue,Southeast 2015 Boys Green,1.0,0.0,2025-02-08
EV-NSFC 15 Boys Perez(1),Southeast 2015 Boys Green,0.0,2.0,2025-02-07
Southeast 2015 Boys Green,State 48 FC Verrado 15 White,3.0,7.0,2025-01-25
Phoenix Premier FC 15B Black,Southeast 2015 Boys Green,5.0,1.0,2025-01-25
2015 Rush Boys,Southeast 2015 Boys Green,2.0,3.0,2025-01-24
Southeast 2015 Boys Green,VSC 2015 Boys Green,5.0,2.0,2025-01-12
PRFC Scottsdale 15B Samba,Southeast 2015 Boys Green,6.0,1.0,2025-01-11
Atletico Tuzos Mesa 2015,Southeast 2015 Boys Green,3.0,1.0,2025-01-11
Kingman SC B2015-Strikers,Southeast 2015 Boys Green,1.0,3.0,2024-12-08
NOS Santos 15 Boys White,Southeast 2015 Boys Green,0.0,1.0,2024-12-07
Phoenix 15/16B Blue,Southeast 2015 Boys Green,5.0,9.0,2024-12-07
Salsa 2015,Southeast 2015 Boys Green,2.0,4.0,2024-11-24
Brazas 2015 Boys Gold Diego Rangel,Southeast 2015 Boys Green,1.0,4.0,2024-11-23
PRFC Southeast Valley 15B Copa,Southeast 2015 Boys Green,6.0,2.0,2024-11-22
PRFC Southeast Valley 15B Predator-Central,Southeast 2015 Boys Green,2.0,8.0,2024-11-10
RSL-AZ South 15B Corral,Southeast 2015 Boys Green,0.0,7.0,2024-11-09
Scottsdale 15 Sandsharks Black,Southeast 2015 Boys Green,4.0,13.0,2024-11-09
16B Mendez GSA,Southeast 2015 Boys Green,0.0,6.0,2024-10-26
RSL-AZ Yuma 15 Boys Patino WHITE,Southeast 2015 Boys Green,2.0,1.0,2024-10-26
Southeast 2015 Boys Green,U-10 (2015) Boys Pre Academy,1.0,4.0,2024-10-25
Southeast 2015 Boys Green,West Valley 2015 Boys Rose,3.0,2.0,2024-10-13
2015 Boys Blue,Southeast 2015 Boys Green,1.0,0.0,2024-10-13
2015 Boys Blue,Southeast 2015 Boys Green,1.0,0.0,2024-10-13
Pima Surf Academy Boys 15,Scottsdale 15 Sandsharks Select,0.0,0.0,2025-10-04
16B GSA,Scottsdale 15 Sandsharks Select,4.0,1.0,2025-09-28
Henderson LVSA '15B Black,Scottsdale 15 Sandsharks Select,1.0,2.0,2025-09-27
FDI 2015,Scottsdale 15 Sandsharks Select,1.0,5.0,2025-09-20
2015 Club Rayos,Scottsdale 15 Sandsharks Select,0.0,6.0,2025-09-06
Next Level Soccer Southeast 2015 Boys Green,Scottsdale 15 Sandsharks Select,3.0,4.0,2025-04-27
FCDA 15B Pre - Academy,Scottsdale 15 Sandsharks Select,4.0,2.0,2025-04-26
Scottsdale 15 Sandsharks Select,State 48 FC Verrado 15/16 Black,2.0,8.0,2025-04-26
2015 Boys Blue,Scottsdale 15 Sandsharks Select,1.0,6.0,2025-04-06
2015 Boys Blue,Scottsdale 15 Sandsharks Select,1.0,6.0,2025-04-06
Scottsdale 15 Sandsharks Select,Tuzos USA 2015A,4.0,0.0,2025-04-06
Scottsdale 15 Sandsharks Select,State 48 FC 15 Black,6.0,0.0,2025-04-05
Scottsdale 15 Sandsharks Select,Tuzos USA 2015A,3.0,4.0,2025-04-05
Eastside FC - B15 Blue,Scottsdale 15 Sandsharks Select,1.0,3.0,2025-03-22
PSG 15B Blue,Scottsdale 15 Sandsharks Select,1.0,2.0,2025-03-22
Scottsdale 15 Sandsharks Select,State 48 FC Verrado 15/16 Black,1.0,2.0,2025-03-21
2015 Boys Yellow,Scottsdale 15 Sandsharks Select,3.0,7.0,2025-01-19
FDI 2015,Scottsdale 15 Sandsharks Select,3.0,2.0,2025-01-19
Scottsdale 15 Sandsharks Select,State 48 FC 15 Copper,4.0,0.0,2025-01-17
PRFC North Valley 15B Predator,Scottsdale 15 Sandsharks Select,1.0,6.0,2025-01-12
Next Level Soccer Southeast 2016 Boys Black,Scottsdale 15 Sandsharks Select,3.0,3.0,2025-01-11
Next Level Soccer Northwest 2015 Boys Red,Scottsdale 15 Sandsharks Select,3.0,4.0,2025-01-11
FCDA 15B Pre - Academy,Scottsdale 15 Sandsharks Select,2.0,3.0,2024-12-07
Scottsdale 15 Sandsharks Select,State 48 FC 15 Copper,1.0,2.0,2024-12-07
Scottsdale 15 Sandsharks Select,Tuzos Edwin 2015,3.0,1.0,2024-11-10
Next Level Soccer Southeast 2015 Boys Blue,Scottsdale 15 Sandsharks Select,3.0,2.0,2024-11-10
Next Level Soccer Southeast 2015 Boys Blue,Scottsdale 15 Sandsharks Select,2.0,4.0,2024-11-09
Scottsdale 15 Sandsharks Select,Sun Warriors 15/16 Boys Sixtos,0.0,13.0,2024-11-08
Mellindo FC 2015 A,Scottsdale 15 Sandsharks Select,1.0,2.0,2024-10-13
Scottsdale 15 Sandsharks Select,West Valley 2015 Boys Valencia Pre-Elite 64,3.0,1.0,2024-10-13
Northwest 2015 Boys Red,West Valley 15/16B,11.0,0.0,2025-09-28
Northwest 2015 Boys Red,PRFC North Valley 15B Predator,0.0,9.0,2025-09-27
Northwest 2015 Boys Red,PRFC Scottsdale 15B Predator,3.0,1.0,2025-08-30
Northwest 2015 Boys Red,PRFC Scottsdale 16B Predator,2.0,3.0,2025-08-29
Northwest 2015 Boys Red,West Valley 2014 Boys Martinez Pre-Elite64,2.0,5.0,2025-04-27
Northwest 2015 Boys Red,Tuzos Halcones 2014,2.0,3.0,2025-04-26
FC Deportivo AZ 2014B (Gallegos),Northwest 2015 Boys Red,5.0,8.0,2025-04-26
Las Vegas Sports Academy U11 Boys Black 2014,Northwest 2015 Boys Red,4.0,3.0,2025-04-13
Northwest 2015 Boys Red,Tuzos Royals 14 Pre-Academy,9.0,1.0,2025-04-12
Northwest 2015 Boys Red,Phoenix United FC 2014 Premier,1.0,5.0,2025-04-12
FCDA 15B Pre - Academy,Northwest 2015 Boys Red,1.0,1.0,2025-03-23
15B NJMarkette,Northwest 2015 Boys Red,0.0,0.0,2025-03-22
NMSA 2015 Boys,Northwest 2015 Boys Red,0.0,3.0,2025-03-21
14B Engilman,Northwest 2015 Boys Red,0.0,2.0,2025-03-16
Northwest 2015 Boys Red,Phoenix United FC 2014 Premier,1.0,3.0,2025-03-15
2014 Boys Yellow,Northwest 2015 Boys Red,1.0,2.0,2025-03-15
BRAZAS FC 2015 Boys Black,Northwest 2015 Boys Red,0.0,0.0,2025-03-01
Deportivo Coras USA 2015,Northwest 2015 Boys Red,0.0,0.0,2025-03-01
Northwest 2015 Boys Red,RSL-AZ Yuma 15 Boys Patino,6.0,1.0,2025-02-23
Northwest 2015 Boys Red,PRFC Scottsdale 16B Predator,0.0,4.0,2025-02-22
Northwest 2015 Boys Red,Phoenix Premier FC 15B Black,6.0,3.0,2025-02-22
Northwest 2015 Boys Red,State 48 FC Verrado 15 White,7.0,4.0,2025-02-09
Northwest 2015 Boys Red,U-10 (2015) Boys San Luis Blue,1.0,5.0,2025-02-09
Atletico Tuzos Mesa 2015,Northwest 2015 Boys Red,1.0,3.0,2025-02-08
AYSO 1079 2015 Boys,Northwest 2015 Boys Red,8.0,1.0,2025-02-08
Northwest 2015 Boys Red,State 48 FC Verrado 15/16 Black,0.0,4.0,2025-01-19
Northwest 2015 Boys Red,West Valley 2015 Boys Valencia Pre-Elite 64,2.0,1.0,2025-01-18
Northwest 2015 Boys Red,PSG 15B Blue,2.0,3.0,2025-01-18
Next Level Soccer Southeast 2016 Boys Black,Northwest 2015 Boys Red,7.0,1.0,2025-01-12
Northwest 2015 Boys Red,PRFC North Valley 15B Predator,4.0,4.0,2025-01-11
Northwest 2015 Boys Red,Scottsdale 15 Sandsharks Select,4.0,3.0,2025-01-11
Northwest 2015 Boys Red,West Valley 2015 Boys Rose,4.0,2.0,2024-12-15
EV-NSFC 15 Boys Perez(1),Northwest 2015 Boys Red,4.0,6.0,2024-12-14
Northwest 2015 Boys Red,PRFC Scottsdale 15B Samba,4.0,0.0,2024-12-14
BRAZAS FC 2015 Boys Black,Northwest 2015 Boys Red,0.0,4.0,2024-12-01
Corona B15 Aguirre,Northwest 2015 Boys Red,4.0,0.0,2024-11-30
2015 Elite,Northwest 2015 Boys Red,8.0,0.0,2024-11-30
Northwest 2015 Boys Red,RSL-AZ Yuma 15 Boys Patino,4.0,8.0,2024-10-27
Northwest 2015 Boys Red,PRFC Scottsdale 15B Predator,7.0,0.0,2024-10-26
Northwest 2015 Boys Red,PRFC West Valley 15B Predator,2.0,5.0,2024-10-25
Northwest 2015 Boys Red,Real 2015 Boys National,0.0,3.0,2024-10-13
AZ Arsenal 16 Boys Teal OC,Southeast 2015 Boys Blue,0.0,0.0,2025-10-12
2015B Locomotive EPPL Gallegos,Southeast 2015 Boys Blue,1.0,1.0,2025-10-11
PRFC Scottsdale 15B Predator,Southeast 2015 Boys Blue,4.0,1.0,2025-10-10
16B KChacon,Southeast 2015 Boys Blue,2.0,4.0,2025-09-14
Dynamos SC 15B Gold,Southeast 2015 Boys Blue,4.0,1.0,2025-09-13
15B NJMarkette,Southeast 2015 Boys Blue,2.0,4.0,2025-09-12
Real Arizona 2014,Southeast 2015 Boys Blue,3.0,3.0,2025-04-27
Southeast 2015 Boys Blue,Verde Valley United FC,4.0,1.0,2025-04-26
AZ Arsenal 14 Boys AYDP,Southeast 2015 Boys Blue,2.0,2.0,2025-04-26
BRAZAS FC 2015 Boys Black,Southeast 2015 Boys Blue,2.0,2.0,2025-04-06
AZSC 14B Azanger,Southeast 2015 Boys Blue,3.0,2.0,2025-04-05
CCV STARS 14 Boys EAV,Southeast 2015 Boys Blue,2.0,4.0,2025-04-05
RSL-AZ Yuma 14 Boys Quinonez,Southeast 2015 Boys Blue,3.0,5.0,2025-03-22
AZSC 14B Azanger,Southeast 2015 Boys Blue,5.0,6.0,2025-03-22
PRFC Southeast Valley 15B Predator,Southeast 2015 Boys Blue,1.0,4.0,2025-03-21
PRFC West Valley 14B Pre-Academy,Southeast 2015 Boys Blue,3.0,2.0,2025-03-09
14B Castro Rueda,Southeast 2015 Boys Blue,4.0,0.0,2025-03-09
14B Hinds,Southeast 2015 Boys Blue,1.0,5.0,2025-03-08
PRFC West Valley 14B Pre-Academy,Southeast 2015 Boys Blue,0.0,3.0,2025-03-07
PRFC West Valley 15B Predator,Southeast 2015 Boys Blue,4.0,5.0,2025-02-23
CCV STARS 14 Boys White PEO,Southeast 2015 Boys Blue,2.0,6.0,2025-02-22
PRFC Scottsdale 14B Predator,Southeast 2015 Boys Blue,2.0,3.0,2025-02-21
CCV STARS 15 Boys Orange SUR,Southeast 2015 Boys Blue,2.0,4.0,2025-02-09
PRFC Desert Foothills 15B Predator,Southeast 2015 Boys Blue,5.0,2.0,2025-02-08
Madison FC 2015 Boys Gold,Southeast 2015 Boys Blue,3.0,1.0,2025-02-08
Amore 2014 Boys,Southeast 2015 Boys Blue,4.0,1.0,2025-01-26
Phoenix United 2015 Academy,Southeast 2015 Boys Blue,1.0,3.0,2025-01-25
Phoenix Premier FC 14B White,Southeast 2015 Boys Blue,0.0,7.0,2025-01-24
AZ Inferno 14 Boys Black,Southeast 2015 Boys Blue,2.0,3.0,2025-01-12
PRFC Southeast Valley 14B Pre-Academy,Southeast 2015 Boys Blue,2.0,1.0,2025-01-11
CCV STARS 14 Boys EAV,Southeast 2015 Boys Blue,3.0,3.0,2025-01-10
Southeast 2015 Boys Blue,State 48 FC 15 Copper,2.0,0.0,2024-12-08
Deportivo Coras USA 2015,Southeast 2015 Boys Blue,2.0,6.0,2024-12-07
Phoenix Premier FC 15B Black,Southeast 2015 Boys Blue,8.0,4.0,2024-12-07
PRFC Scottsdale 15B Copa,Southeast 2015 Boys Blue,3.0,2.0,2024-11-24
Southeast 2015 Boys Blue,U-10 (2015) Boys Pre Academy,4.0,2.0,2024-11-23
EV-NSFC 15 Boys Perez(1),Southeast 2015 Boys Blue,6.0,2.0,2024-11-21
Next Level Soccer Northwest 2015 Girls,Southeast 2015 Boys Blue,6.0,3.0,2024-11-10
Scottsdale 15 Sandsharks Select,Southeast 2015 Boys Blue,3.0,2.0,2024-11-10
Scottsdale 15 Sandsharks Select,Southeast 2015 Boys Blue,2.0,4.0,2024-11-09
Southeast 2015 Boys Blue,Sun Warriors 15/16 Boys Sixtos,11.0,1.0,2024-11-09
PRFC North Valley 15B Predator,Southeast 2015 Boys Blue,5.0,2.0,2024-10-27
2015 Boys Blue,Southeast 2015 Boys Blue,0.0,5.0,2024-10-26
2015 Boys Blue,Southeast 2015 Boys Blue,0.0,5.0,2024-10-26
Deportivo Coras USA 2015,Southeast 2015 Boys Blue,5.0,5.0,2024-10-25
PRFC Desert Foothills 15B Copa,Southeast 2015 Boys Blue,0.0,11.0,2024-10-24
CCV STARS 15 Boys Navy PEO,Southeast 2015 Boys Blue,2.0,4.0,2024-10-13
15 Pre-MLS Next Tier #1,15B Garza Pre MLS Next,0.0,0.0,2025-10-05
15B Garza Pre MLS Next,AZSC 2015B Navy,1.0,1.0,2025-10-04
15B Garza Pre MLS Next,PRFC Scottsdale 15B Pre-Academy,2.0,1.0,2025-09-21
15B Garza Pre MLS Next,15B NMarkette Pre-MLS Next,4.0,1.0,2025-09-14
15B Garza Pre MLS Next,Las Vegas Sports Academy U11 Boys Red 2015,0.0,9.0,2025-09-13
AZSC 2015B Navy,CCV Stars 15 Boys West Pre-ECNL,2.0,3.0,2025-09-28
AZSC 2015B Navy,Dynamos SC 15B SC,2.0,4.0,2025-09-19
15 Pre-MLS Next Tier #1,AZSC 2015B Navy,5.0,3.0,2025-08-31
AZSC 2015B Navy,PRFC Scottsdale 15B Pre-Academy,0.0,2.0,2025-08-30
AZSC 2015B Navy,Dynamos SC 15B SC,4.0,2.0,2025-08-30
AZSC 2015B Navy,Schneider Futsal Academy 2015,1.0,9.0,2025-07-30
AZSC 2015B Navy,AZSC 2015B White,2.0,4.0,2025-07-29
AZSC 2015B Navy,PRFC Southeast Valley 14B Predator,4.0,3.0,2025-07-21
AZSC 2015B Navy,AZSC 2015B White,4.0,5.0,2025-07-14
AZSC 2015B Navy,Schneider Futsal Academy 2015,1.0,5.0,2025-07-14
AZEV B2014 (WHITE),AZSC 2015B Navy,4.0,10.0,2025-07-07
AZSC 2014B Azanger- Indoor Only,AZSC 2015B Navy,5.0,3.0,2025-07-07
15 Pre-MLS Next Tier #1,CCV Stars 15 Boys West Pre-ECNL,4.0,3.0,2025-10-04
CCV Stars 15 Boys West Pre-ECNL,Dynamos SC 15B SC,1.0,5.0,2025-09-21
CCV Stars 15 Boys West Pre-ECNL,PRFC Scottsdale 15B Pre-Academy,5.0,2.0,2025-09-19
CCV Stars 15 Boys West Pre-ECNL,West Valley 2015 Boys Rose,1.0,1.0,2025-09-07
CCV Stars 15 Boys West Pre-ECNL,PRFC Scottsdale 15B Pre-Academy,3.0,6.0,2025-09-06
CCV Stars 15 Boys West Pre-ECNL,Madison FC 15 Gold Boys,3.0,6.0,2025-09-06
PRFC North Valley 15B PreAcademy,PRFC West Valley 15B Pre-Academy,2.0,4.0,2025-10-05
15 Pre-MLS Next Tier #2,PRFC West Valley 15B Pre-Academy,0.0,0.0,2025-09-27
15 Boys Navy,PRFC West Valley 15B Pre-Academy,3.0,2.0,2025-09-14
15B Jason Pre MLS Next,PRFC West Valley 15B Pre-Academy,2.0,8.0,2025-09-13
15G Pre-ECNL Jeffers Royals,PRFC West Valley 15B Pre-Academy,1.0,3.0,2025-09-13
15 Pre-MLS Next #1,PRFC Scottsdale 15B Predator,1.0,0.0,2025-09-21
15 Pre-MLS Next #1,FC Arizona 15B Black GFC Cuevas U11,2.0,7.0,2025-09-20
15 Pre-MLS Next #1,15B Hermanson,9.0,1.0,2025-09-19
NMSA 2015 Boys,PRFC Scottsdale 15B Pre-Academy,0.0,0.0,2025-10-12
2015B Locomotive EPPL J. Romero-LC,PRFC Scottsdale 15B Pre-Academy,5.0,2.0,2025-10-11
PRFC Scottsdale 15B Pre-Academy,Southeast 2016 Boys Black,6.0,1.0,2025-10-10
Dynamos SC 15B SC,PRFC Scottsdale 15B Pre-Academy,2.0,6.0,2025-10-03
PRFC Scottsdale 15B Pre-Academy,PRFC Scottsdale 16B Predator,0.0,0.0,2025-09-27
Madison FC 15 Gold Boys,PRFC Scottsdale 15B Pre-Academy,1.0,3.0,2025-09-07
PRFC Scottsdale 15B Pre-Academy,West Valley 2015 Boys Rose,9.0,0.0,2025-09-06
Dynamos SC 15B SC,PRFC Scottsdale 15B Pre-Academy,2.0,4.0,2025-08-29
PRFC Southeast Valley 15B Pre-Academy,Pre-ECNL RL B15,1.0,2.0,2025-09-20
15 Boys Navy,La Piedad FC 2015,0.0,0.0,2025-10-04
15 Boys Navy,15B Jason Pre MLS Next,0.0,1.0,2025-09-13
15 Boys Navy,15G Pre-ECNL Jeffers Royals,1.0,2.0,2025-09-12
15 Boys Navy,PRFC Desert Foothills 15B Predator,1.0,6.0,2025-09-06
15 Boys Navy,Atletico Tuzos Guerrero 2015,6.0,1.0,2025-05-25
15 Boys Navy,State 48 FC 15 Copper,1.0,8.0,2025-05-24
15 Boys Navy,Empire 15B,8.0,4.0,2025-05-24
15 Boys Navy,Next Level Soccer Southeast 2016 Boys Black,0.0,1.0,2025-03-23
15 Boys Navy,Tuzos Edwin 2015,1.0,0.0,2025-03-22
15 Boys Navy,State 48 FC 15 Black,1.0,2.0,2025-03-21
15 Boys Navy,State 48 FC Verrado 15/16 Black,2.0,1.0,2025-01-12
15 Boys Navy,Madison FC 2015 Boys Gold,1.0,8.0,2025-01-11
15 Boys Navy,Legends FC AZ 15B Gold,3.0,5.0,2025-01-10
15 Boys Navy,Synergy FC 15/16B,1.0,12.0,2024-12-14
15 Boys Navy,2015 Boys Blue,6.0,2.0,2024-12-13
15 Boys Navy,2015 Boys Blue,6.0,2.0,2024-12-13
PRFC Desert Foothills 16B Predator,PSG 15B Blue,2.0,2.0,2025-09-20
16B KChacon,PSG 15B Blue,4.0,3.0,2025-08-31
PRFC Desert Foothills 16B Predator,PSG 15B Blue,1.0,2.0,2025-08-31
PSG 15B Blue,Phoenix United 2015 Academy,4.0,1.0,2025-08-30
AZ Arsenal 16 Boys Teal DB,PSG 15B Blue,6.0,2.0,2025-08-29
AZ Arsenal 15 Boys Teal 1 JZ,PSG 15B Blue,2.0,4.0,2025-04-12
PSG 15B Blue,RSL-AZ South 15B Corral,4.0,3.0,2025-04-12
PRFC North Valley 15B Copa,PSG 15B Blue,1.0,8.0,2025-04-11
Madison FC 15 Gold Boys,PSG 15B Blue,0.0,0.0,2025-03-29
15B Blue Montoya #1,PSG 15B Blue,0.0,0.0,2025-03-29
PSG 15B Blue,State 48 FC 15 Copper,1.0,0.0,2025-03-23
PSG 15B Blue,State 48 FC Verrado 15/16 Black,4.0,0.0,2025-03-22
Eastside FC - B15 Blue,PSG 15B Blue,0.0,0.0,2025-03-21
2015 Rush Boys,PSG 15B Blue,0.0,0.0,2025-03-01
PSG 15B Blue,State 48 FC 15 Copper,0.0,0.0,2025-03-01
PSG 15B Blue,Select 14/15B Red,0.0,4.0,2025-02-23
14 Cityzens,PSG 15B Blue,1.0,1.0,2025-02-22
PSG 15B Blue,State 48 FC 14 White,1.0,1.0,2025-02-22
PSG 15B Blue,West Valley 2015 Boys Valencia Pre-Elite 64,1.0,0.0,2025-01-19
Next Level Soccer Northwest 2015 Boys Red,PSG 15B Blue,3.0,2.0,2025-01-18
PSG 15B Blue,West Valley 2015 Boys Rose,2.0,0.0,2025-01-18
Legends FC AZ 15B Gold,PSG 15B Blue,7.0,6.0,2025-01-12
PSG 15B Blue,State 48 FC Verrado 15/16 Black,4.0,4.0,2025-01-11
2015 Boys Blue,PSG 15B Blue,4.0,1.0,2025-01-10
2015 Boys Blue,PSG 15B Blue,4.0,1.0,2025-01-10
PSG 15B Blue,Playmaker Futbol Academy 15B Black,11.0,0.0,2024-11-10
PSG 15B Blue,Synergy FC 15/16B,5.0,0.0,2024-11-10
AZ Arsenal 15 Boys Flagstaff,PSG 15B Blue,1.0,10.0,2024-11-09
PSG 15B Blue,Synergy FC 15/16B,1.0,9.0,2024-11-08
PSG 15B Blue,RSL-AZ Yuma 15 Boys Guzman,1.0,7.0,2024-10-27
16B Mendez GSA,PSG 15B Blue,5.0,2.0,2024-10-27
PRFC Scottsdale 15B Samba,PSG 15B Blue,2.0,4.0,2024-10-26
PSG 15B Blue,State 48 FC Verrado 15 White,5.0,1.0,2024-10-26
15B Jason Pre MLS Next,Excel Soccer Academy 15B Red,7.0,0.0,2025-10-05
Dynamos SC 15B Gold,Excel Soccer Academy 15B Red,1.0,6.0,2025-10-03
Excel Soccer Academy 15B Red,RSL-AZ Yuma 15 Boys Patino,4.0,4.0,2025-09-20
Excel Soccer Academy 15B Red,SC Del Sol San Luis,1.0,4.0,2025-09-07
Excel Soccer Academy 15B Red,U-11 (2015) Boys Pre Academy Blue,8.0,1.0,2025-09-06
2015B Locomotive EPPL Gallegos,PRFC Scottsdale 15B Predator,0.0,0.0,2025-10-12
AZ Arsenal 16 Boys Teal OC,PRFC Scottsdale 15B Predator,0.0,3.0,2025-10-11
15 Boys National League #1,PRFC Scottsdale 15B Predator,0.0,4.0,2025-09-20
AZSC 2015B White,PRFC Scottsdale 15B Predator,4.0,2.0,2025-09-13
PRFC Scottsdale 15B Predator,PRFC Scottsdale 16B Predator,4.0,2.0,2025-08-31
15B OMolina,AZ United Soccer Academy 15B,0.0,0.0,2025-10-11
15B OMolina,CCV Stars 15 Boys North Orange,1.0,2.0,2025-10-04
15B DGerman,15B OMolina,7.0,1.0,2025-09-20
15B OMolina,PRFC Southeast Valley 15B Predator,3.0,0.0,2025-09-14
15B OMolina,Phoenix United 2015 Academy,4.0,0.0,2025-09-13
15B OMolina,FCDA 2015/16B Pre - Academy,10.0,1.0,2025-09-13
15B OMolina,AZSC 2015B White,1.0,0.0,2025-09-06
PRFC North Valley 15B Predator,PRFC Scottsdale 15B Copa,4.0,2.0,2025-10-04
PRFC Scottsdale 15B Copa,Phoenix United 2015 Academy,0.0,0.0,2025-09-27
Dorados Reserve 2015,PRFC Scottsdale 15B Copa,0.0,4.0,2025-09-20
OJB FC 2015 Boys,PRFC Scottsdale 15B Copa,7.0,3.0,2025-09-13
PRFC Scottsdale 15B Copa,West Valley 2015 Boys Valencia Pre-Premier,3.0,6.0,2025-09-06
AZSC 2015B White,PRFC Scottsdale 15B Copa,0.0,4.0,2025-08-31
AZEV B2015 (NAVY),PRFC Scottsdale 15B Copa,1.0,0.0,2025-08-30
PRFC Scottsdale 15B Copa,Synergy FC 15/16B Montone,2.0,4.0,2025-08-30
Dorados Reserve 2015,PRFC North Valley 15B Predator,0.0,0.0,2025-10-11
PRFC North Valley 15B Predator,West Valley 15/16B,3.0,5.0,2025-09-27
PRFC North Valley 15B Predator,Phoenix United 2015 Academy,5.0,0.0,2025-09-20
Dorados Reserve 2015,PRFC North Valley 15B Predator,2.0,0.0,2025-09-13
OJB FC 2015 Boys,PRFC North Valley 15B Predator,1.0,5.0,2025-09-06
AZ Arsenal 16 Boys Teal OC,PRFC North Valley 15B Predator,0.0,10.0,2025-08-31
PRFC North Valley 15B Predator,Playmaker Futbol Academy 15B Gold,0.0,2.0,2025-08-30
BVBIA ARIZONA BLACK & YELLOW 2015,PRFC North Valley 15B Predator,0.0,0.0,2025-08-30
PRFC North Valley 15B Predator,Tuzos 2014 Nava,3.0,3.0,2025-04-06
PRFC Desert Foothills 14B Predator,PRFC North Valley 15B Predator,1.0,3.0,2025-04-06
PRFC North Valley 15B Predator,Tuzos 2014 Nava,2.0,2.0,2025-04-05
FC ARIZONA 14 GFC VELAZCO,PRFC North Valley 15B Predator,1.0,4.0,2025-04-05
PRFC North Valley 15B Predator,Scottsdale 14 Sandsharks Black,0.0,1.0,2025-03-09
EXCEL25WU11B1Lee,PRFC North Valley 15B Predator,0.0,1.0,2025-03-09
EXCEL25WU11B1Lee,PRFC North Valley 15B Predator,5.0,2.0,2025-03-08
