team_id,display_name,club,state,state_code
7f83b4f3d166,Footwork Lab Squad 2015B,Molano Futbol Academy,California,CA
f64869e249bd,Napa United Pre-Academy 15B Pre-MLS Next,Napa United,California,CA
b456b703700d,ROA Soccer Academy 2015 Grey,ROA Soccer Academy,California,CA
e0c026940312,U11,Diamonds Soccer Academy,California,CA
3129fe58bfb2,Pre-Academy 15B,Keystone FC,California,CA
355b58c6f03c,PA Classics Academy Lancaster 15M,PA Classics,California,CA
b98c8bc6ed5f,Las Vegas Sports Academy U11 Boys Black 2015,Las Vegas Sports Academy,California,CA
719f988f8359,B2015 Academy,Empire Surf,California,CA
adb4b742853d,New York Red Bulls Pre-Academy 2015 South,Red Bulls (NJ),California,CA
fbfa04ad050d,Las Vegas Sports Academy U10 Boys Grey 2015,Las Vegas Sports Academy,California,CA
a68385540260,KBSC Premier 2015,Key Biscayne SC,California,CA
39daeab23354,Pima Surf Academy Boys 15,Pima County Surf Soccer Club,California,CA
a0d7fc6bb475,VISTA HL92 Soccer Academy 2015B Yellow,Virginia Independent Soccer Team Association,California,CA
2ecb7db9e93a,STLDA 2015B Elite Red,St. Louis Development Academy,California,CA
0b0efcb480a4,WESCO 15B Blue - Wildcats,WESCO United,California,CA
bdbc212aa924,Napa United Pre-Academy 15B Elite l,Napa United,California,CA
29b6236ca599,Molano Fútbol Academy South 2015B,Molano Futbol Academy,California,CA
d643edd94c4c,Avanti SA Pre ECNL B15 Joundi,Avanti Soccer Academy,California,CA
df247c6955e1,IR Academy 15B White,IR Academy,California,CA
74e213cfa905,New York Red Bulls Pre-Academy 2015 North,Red Bulls (NJ),California,CA
e758e933f639,NY Red Bulls RDS Showcase B2015 Red,,California,CA
b0b1a7d9ad33,2015 Boys ULTRA,W&H America,California,CA
f68e2108ca69,La Roca 15B R Rada,La Roca FC,California,CA
36f34c519fcc,IR Academy 15B Purple,IR Academy,California,CA
287477bbafff,San Jose Rush 15B Academy,San Jose Rush,California,CA
c10f44cf440a,STLDA 2015B Elite Silver,St. Louis Development Academy,California,CA
2d6273c7d3c0,2015 Elite Colo Colo,Colo Colo Soccer Academy USA,California,CA
028519c0f46e,Players 15 Boys Juniors Academy 2,Players SC,California,CA
0043bb551fda,STLDA 2015B Elite White,St. Louis Development Academy,California,CA
