Date,Team A,Team B,Score A,Score B,Result A,Result B,Event,Competition,Division,Venue,Location,Match ID,Original Team ID
9/12/2025,AZSC 2014B Pre-NL Premier 2,Playmaker Futbol Academy 14B Black,1,1,T,T,2025 Cactus Kick Off,Cactus Kick Off,U12B U12 Boys Brazil,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",22600468,79991
9/6/2025,AZSC 2014B Pre-NL Premier 2,PSG 14B Red,6,1,W,L,2025-26 MaxinMotion Open League Season 1,OPEN League: Season 1,U12B MaxInMotion Open League Division 8 12U Boys,Crossroads Park (AZSC),"2155 East Knox Rd.  , Gilbert, AZ 85296",21763717,79991
4/26/2025,Phoenix Premier FC 14B Black,AZSC 2014B Pre-NL Premier 2,2,0,W,L,2025 Arizona Presidents Cup,Arizona Presidents Cup ,U11B 11U Boys Silver - Driven by Desert Ford Dealers,Reach 11 (ASA),"2425 E. Deer Valley Rd, Phoenix, AZ 85050",19923025,79991
4/19/2025,AZSC 2014B Pre-NL Premier 2,Next Level Soccer Southeast 2014 Boys Green,2,1,W,L,East Valley Spring Invitational 2025,East Valley Spring Invitational,U11B Group B (U11 Boys),EV/NSFC Soccer Complex (EV Tournament Series),"3761 S Power Road , Mesa, AZ 85212",20256863,79991
4/17/2025,AZSC 2014B Pre-NL Premier 2,14 Cityzens,2,1,W,L,East Valley Spring Invitational 2025,East Valley Spring Invitational,U11B Group B (U11 Boys),EV/NSFC Soccer Complex (EV Tournament Series),"3761 S Power Road , Mesa, AZ 85212",20256861,79991
4/15/2025,Scottsdale 14 Sandsharks,AZSC 2014B Pre-NL Premier 2,3,1,W,L,East Valley Spring Invitational 2025,East Valley Spring Invitational,U11B Group B (U11 Boys),EV/NSFC Soccer Complex (EV Tournament Series),"3761 S Power Road , Mesa, AZ 85212",20256859,79991
4/13/2025,CCV STARS 14 Boys White PEO,AZSC 2014B Pre-NL Premier 2,0,4,L,W,2025 Arizona Presidents Cup,Arizona Presidents Cup ,U11B 11U Boys Silver - Driven by Desert Ford Dealers,Reach 11 (ASA),"2425 E. Deer Valley Rd, Phoenix, AZ 85050",19923011,79991
4/12/2025,AZSC 2014B Pre-NL Premier 2,PRFC Scottsdale 14B Copa,2,1,W,L,2025 Arizona Presidents Cup,Arizona Presidents Cup ,U11B 11U Boys Silver - Driven by Desert Ford Dealers,Reach 11 (ASA),"2425 E. Deer Valley Rd, Phoenix, AZ 85050",19922998,79991
4/5/2025,AZSC 2014B Pre-NL Premier 2,Next Level Soccer Southeast 2015 Boys Blue,2,3,L,W,Brazas - 2025 Ginga Champions,Brazas Ginga Champions ,U11B Boys U-11 - Silver Division ,Arizona Athletic Grounds,"1 Legacy Dr., Mesa, AZ 85212",20233206,79991
4/5/2025,AZSC 2014B Pre-NL Premier 2,BRAZAS FC 2015 Boys Black,1,3,L,W,Brazas - 2025 Ginga Champions,Brazas Ginga Champions ,U11B Boys U-11 - Silver Division ,Arizona Athletic Grounds,"1 Legacy Dr., Mesa, AZ 85212",20233211,79991
3/23/2025,AZSC 2014B Pre-NL Premier 2,RSL-AZ Yuma 14 Boys Quinonez,2,1,W,L,2025 Copper State Challenge,Copper State Challenge,U11B U11 Boys Silver,Arizona Athletic Grounds,"1 Legacy Drive, Mesa, AZ 85212",19867470,79991
3/22/2025,Next Level Soccer Southeast 2015 Boys Blue,AZSC 2014B Pre-NL Premier 2,6,5,W,L,2025 Copper State Challenge,Copper State Challenge,U11B U11 Boys Silver,Arizona Athletic Grounds,"1 Legacy Drive, Mesa, AZ 85212",19867467,79991
3/2/2025,AZSC 2014B Pre-NL Premier 2,PRFC Scottsdale 14B Copa,6,2,W,L,2024-25 MaxinMotion Open League Season 2,Futsal B and G ,U11B MaxInMotion Open League Division 10 11U Boys,Crossroads Park (AZSC),"2155 East Knox Rd.  , Gilbert, AZ 85296",18570095,79991
3/1/2025,AZSC 2014B Pre-NL Premier 2,2014 Boys Blue,5,1,W,L,2024-25 MaxinMotion Open League Season 2,Futsal B and G ,U11B MaxInMotion Open League Division 10 11U Boys,Crossroads Park (AZSC),"2155 East Knox Rd.  , Gilbert, AZ 85296",18570076,79991
2/21/2025,AZSC 2014B Pre-NL Premier 2,PRFC Southeast Valley 14B Pre-Academy,0,1,L,W,2025 Max Shacknai Invitational,Phoenix Rising FC Tournaments - Max Shacknai Invitational,U11B U11B SILVER (CLASSICS) - 9V9,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",18996483,79991
2/15/2025,LAFC 14 BOYS,AZSC 2014B Pre-NL Premier 2,2,4,L,W,2024-25 MaxinMotion Open League Season 2,Futsal B and G ,U11B MaxInMotion Open League Division 10 11U Boys,EV-Eagles Park,"828 E Broadway Rd , Mesa, AZ 85204",18570094,79991
2/8/2025,Phoenix Valley Soccer Club boys 2014,AZSC 2014B Pre-NL Premier 2,0,1,L,W,2024-25 MaxinMotion Open League Season 2,Futsal B and G ,U11B MaxInMotion Open League Division 10 11U Boys,Paiute Park,"3210 N 66th St, Scottsdale, AZ 85251",18570087,79991
2/1/2025,AZSC 2014B Pre-NL Premier 2,Select 14B,7,3,W,L,2024-25 MaxinMotion Open League Season 2,Futsal B and G ,U11B MaxInMotion Open League Division 10 11U Boys,Crossroads Park (AZSC),"2155 East Knox Rd.  , Gilbert, AZ 85296",18570085,79991
1/11/2025,Tuzos Academy Mesa 2014,AZSC 2014B Pre-NL Premier 2,1,0,W,L,2024-25 MaxinMotion Open League Season 2,Futsal B and G ,U11B MaxInMotion Open League Division 10 11U Boys,Eagles Park (ASA),"828 E Broadway Rd, Mesa, AZ 85204",18570073,79991
12/15/2024,PSG 14B Blue,AZSC 2014B Pre-NL Premier 2,0,0,T,T,RSL-AZ Holiday Classic 2024,Holiday Classic,U11B U11 Boys Tunisia,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",18439377,79991
12/14/2024,AZSC 2014B Pre-NL Premier 2,Phoenix Premier FC 14B White,7,1,W,L,RSL-AZ Holiday Classic 2024,Holiday Classic,U11B U11 Boys Tunisia,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",18439367,79991
12/8/2024,AZSC 2014B Pre-NL Premier 2,Real Arizona 2014,1,1,T,T,Christmas Angel 2024,Salvation Army Christmas Angel,U11B U11 Boys Frosty's Broom,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",18382630,79991
12/7/2024,AZSC 2014B Pre-NL Premier 2,AZ Arsenal 14 Boys Teal 2 PJ,4,2,W,L,Christmas Angel 2024,Salvation Army Christmas Angel,U11B U11 Boys Frosty's Broom,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",18382623,79991
12/7/2024,Kingman SC B14 McGill,AZSC 2014B Pre-NL Premier 2,2,6,L,W,Christmas Angel 2024,Salvation Army Christmas Angel,U11B U11 Boys Frosty's Broom,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",18382618,79991
11/23/2024,PRFC Southeast Valley 14B Pre-Academy,AZSC 2014B Pre-NL Premier 2,2,5,L,W,2024 Heritage Cup ,Heritage Cup,U11B 11u Boys Bronze East ,HC- Crossroads Park,"2155 E Knox Road , Gilbert, AZ 85296",18181957,79991
11/21/2024,East Valley NSFC 14 Boys Tiggs,AZSC 2014B Pre-NL Premier 2,0,10,L,W,2024 Heritage Cup ,Heritage Cup,U11B 11u Boys Bronze East ,HC- Crossroads Park,"2155 E Knox Road , Gilbert, AZ 85296",18181960,79991
11/17/2024,AZSC 2014B Pre-NL Premier 2,AZ Arsenal 14 Boys Teal 2 AP,2,2,T,T,2024-25 MaxinMotion Open League Season 1,OPEN League: Season 1,U11B MaxInMotion Open League Division 11 11U Boys,Crossroads Park (AZSC),"2155 East Knox Rd.  , Gilbert, AZ 85296",17072564,79991
11/16/2024,AZSC 2014B Pre-NL Premier 2,CCV STARS 14 Boys Navy LAV,4,0,W,L,2024-25 MaxinMotion Open League Season 1,OPEN League: Season 1,U11B MaxInMotion Open League Division 11 11U Boys,Crossroads Park (AZSC),"2155 East Knox Rd.  , Gilbert, AZ 85296",17072556,79991
11/10/2024,AZSC 2014B Pre-NL Premier 2,14B Bratcher,3,0,W,L,Kick for the Cure 2024,Kick for the Cure,U11B U11 Boys Wright,Scottsdale Sports Complex (ASA),"8081 E. Princess Drive, Scottsdale, AZ 85225",18147021,79991
11/9/2024,Select 14/15B Red,AZSC 2014B Pre-NL Premier 2,0,3,L,W,Kick for the Cure 2024,Kick for the Cure,U11B U11 Boys Wright,West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",18147013,79991
11/9/2024,AZSC 2014B Pre-NL Premier 2,14 Boys Navy,2,3,L,W,Kick for the Cure 2024,Kick for the Cure,U11B U11 Boys Wright,West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",18147016,79991
11/2/2024,AZSC 2014B Pre-NL Premier 2,AZ Inferno 14 Boys Black,2,1,W,L,2024-25 MaxinMotion Open League Season 1,OPEN League: Season 1,U11B MaxInMotion Open League Division 11 11U Boys,Crossroads Park (AZSC),"2155 East Knox Rd.  , Gilbert, AZ 85296",17072572,79991
10/26/2024,Select 14B,AZSC 2014B Pre-NL Premier 2,0,4,L,W,2024-25 MaxinMotion Open League Season 1,OPEN League: Season 1,U11B MaxInMotion Open League Division 11 11U Boys,P- Mountain Valley Park Yavapai Soccer,"8600 E. Nace Ln. , Prescott Valley , AZ 86314",17072568,79991
10/19/2024,Select 14/15B Red,AZSC 2014B Pre-NL Premier 2,2,6,L,W,2024-25 MaxinMotion Open League Season 1,OPEN League: Season 1,U11B MaxInMotion Open League Division 11 11U Boys,West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",17072576,79991
9/21/2024,Phoenix Valley Soccer Club boys 2014,AZSC 2014B Pre-NL Premier 2,2,4,L,W,2024-25 MaxinMotion Open League Season 1,OPEN League: Season 1,U11B MaxInMotion Open League Division 11 11U Boys,Paiute Park,"3210 N 66th St, Scottsdale, AZ 85251",17072560,79991
10/4/2025,14B Rueda,PRFC Southeast Valley 14B Predator,3,2,W,L,2025-26 MaxinMotion Open League Season 1,OPEN League: Season 1,U12B MaxInMotion Open League Division 6 12U Boys,Snedigar Sports Complex (RSL- S),"4511 S Alma School Rd, Chandler, AZ 85248",21792581,260979
9/14/2025,Playmaker Futbol Academy 14B Gold,PRFC Southeast Valley 14B Predator,4,0,W,L,2025 Cactus Kick Off,Cactus Kick Off,U12B U12 Boys Canada,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",22641565,260979
9/14/2025,PSC 2014B,PRFC Southeast Valley 14B Predator,1,2,L,W,2025 Cactus Kick Off,Cactus Kick Off,U12B U12 Boys Canada,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",22641564,260979
9/13/2025,PRFC Southeast Valley 14B Predator,14 Cityzens,5,2,W,L,2025 Cactus Kick Off,Cactus Kick Off,U12B U12 Boys Canada,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",22641560,260979
9/13/2025,State 48 FC Avondale 14 White,PRFC Southeast Valley 14B Predator,1,4,L,W,2025 Cactus Kick Off,Cactus Kick Off,U12B U12 Boys Canada,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",22641555,260979
9/6/2025,East Valley NSFC 14 Boys Tiggs,PRFC Southeast Valley 14B Predator,3,8,L,W,2025-26 MaxinMotion Open League Season 1,OPEN League: Season 1,U12B MaxInMotion Open League Division 6 12U Boys,EV- EVNSFC Soccer Complex,"3761 S. Power Road, Mesa, AZ 85212",21792570,260979
8/31/2025,PRFC Southeast Valley 14B Predator,Amore 2014 Boys,3,3,T,T,Phoenix Rising Cup 2025,Phoenix Rising Cup,U12B U12 Boys Bronze - Balogun,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",22381064,260979
8/30/2025,PRFC Southeast Valley 14B Predator,CAC 14/15B (Conroy),4,0,W,L,Phoenix Rising Cup 2025,Phoenix Rising Cup,U12B U12 Boys Bronze - Balogun,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",22381072,260979
8/29/2025,AZ Arsenal 14 Boys Teal CB,PRFC Southeast Valley 14B Predator,2,0,W,L,Phoenix Rising Cup 2025,Phoenix Rising Cup,U12B U12 Boys Bronze - Balogun,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",22381068,260979
7/28/2025,Schneider Futsal Academy 2015,PRFC Southeast Valley 14B Predator,5,4,W,L,2025 Indoor Soccer League at Arizona Athletic Grounds,Indoor Soccer League,U12B 2014 and 2015 Boys,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",21373820,260979
7/21/2025,AZSC 2015B Navy,PRFC Southeast Valley 14B Predator,4,3,W,L,2025 Indoor Soccer League at Arizona Athletic Grounds,Indoor Soccer League,U12B 2014 and 2015 Boys,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",21138412,260979
7/20/2025,REAL AZ,PRFC Southeast Valley 14B Predator,12,1,W,L,Inside Classic Summer 2025,Inside Classic,U12B U12 Male,Arizona Athletic Grounds (AASC Tournaments),"6321 S Ellsworth Rd , Mesa, AZ 85212",21311640,260979
7/19/2025,PRFC Southeast Valley 14B Predator,AZ Arsenal Pre-ECNL B15,3,12,L,W,Inside Classic Summer 2025,Inside Classic,U12B U12 Male,Arizona Athletic Grounds (AASC Tournaments),"6321 S Ellsworth Rd , Mesa, AZ 85212",21311635,260979
7/19/2025,CAC 14/15B (Conroy),PRFC Southeast Valley 14B Predator,4,5,L,W,Inside Classic Summer 2025,Inside Classic,U12B U12 Male,Arizona Athletic Grounds (AASC Tournaments),"6321 S Ellsworth Rd , Mesa, AZ 85212",21311632,260979
7/14/2025,AZEV B2014 (WHITE),PRFC Southeast Valley 14B Predator,5,2,W,L,2025 Indoor Soccer League at Arizona Athletic Grounds,Indoor Soccer League,U12B 2014 and 2015 Boys,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",21138405,260979
7/14/2025,PRFC Southeast Valley 14B Predator,AZSC 2015B White,5,6,L,W,2025 Indoor Soccer League at Arizona Athletic Grounds,Indoor Soccer League,U12B 2014 and 2015 Boys,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",21138409,260979
7/7/2025,PRFC Southeast Valley 14B Predator,AZSC 2014B Azanger- Indoor Only,1,8,L,W,2025 Indoor Soccer League at Arizona Athletic Grounds,Indoor Soccer League,U12B 2014 and 2015 Boys,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",21138402,260979
7/7/2025,PRFC Southeast Valley 14B Predator,Schneider Futsal Academy 2015,1,7,L,W,2025 Indoor Soccer League at Arizona Athletic Grounds,Indoor Soccer League,U12B 2014 and 2015 Boys,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",21138401,260979
4/13/2025,PRFC Southeast Valley 14B Predator,AZEV B2014 (NAVY),1,8,L,W,Rivalries Cup 2025,Rivalries Cup,U11B 11U 2014 Boys Silver 9v9,Arizona Athletic Grounds (AASC Tournaments),"6321 S Ellsworth Rd , Mesa, AZ 85212",20360417,260979
4/12/2025,Legends FC AZ 14B Black,PRFC Southeast Valley 14B Predator,9,1,W,L,Rivalries Cup 2025,Rivalries Cup,U11B 11U 2014 Boys Silver 9v9,Arizona Athletic Grounds (AASC Tournaments),"6321 S Ellsworth Rd , Mesa, AZ 85212",20360422,260979
4/11/2025,West Valley 2014 Boys Martinez Pre-Elite64,PRFC Southeast Valley 14B Predator,2,0,W,L,Rivalries Cup 2025,Rivalries Cup,U11B 11U 2014 Boys Silver 9v9,Arizona Athletic Grounds (AASC Tournaments),"6321 S Ellsworth Rd , Mesa, AZ 85212",20360414,260979
3/4/2025,PRFC Southeast Valley 14B Predator,AZ Arsenal 14 Boys Teal 2 SC,4,3,W,L,2024-25 MaxinMotion Open League Season 2,Futsal B and G ,U11B MaxInMotion Open League Division 6 11U Boys,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",18569691,260979
3/1/2025,PRFC Southeast Valley 14B Predator,Las Vegas Elite FC B14 Gold,1,4,L,W,Surf Cup Southwest 2025,Tournaments,U11B Bronze,Kellogg Zaher Soccer Complex,"7901 W Washington Ave , Las Vegas, NV 89128",19465267,260979
2/23/2025,15B Vyas,PRFC Southeast Valley 14B Predator,3,6,L,W,2025 Max Shacknai Invitational,Phoenix Rising FC Tournaments - Max Shacknai Invitational,U11B U11B SILVER (SUPERSTARS) - 9V9,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",18993800,260979
2/22/2025,PRFC Southeast Valley 14B Predator,14B Bratcher,3,2,W,L,2025 Max Shacknai Invitational,Phoenix Rising FC Tournaments - Max Shacknai Invitational,U11B U11B SILVER (SUPERSTARS) - 9V9,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",18993798,260979
2/21/2025,AZSC 15B White,PRFC Southeast Valley 14B Predator,1,2,L,W,2025 Max Shacknai Invitational,Phoenix Rising FC Tournaments - Max Shacknai Invitational,U11B U11B SILVER (SUPERSTARS) - 9V9,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",18993795,260979
2/8/2025,Madison FC 14 Blue Boys,PRFC Southeast Valley 14B Predator,3,1,W,L,2024-25 MaxinMotion Open League Season 2,Futsal B and G ,U11B MaxInMotion Open League Division 6 11U Boys,Madison Heights Elementary (Madison FC) 9v9,"7150 N. 22nd Street , PHOENIX, AZ, AZ 85020",18569703,260979
1/26/2025,Phoenix Premier FC 14B SW,PRFC Southeast Valley 14B Predator,4,1,W,L,2025 AZ Soccer Clash hosted by Phoenix Premier FC,AZ Soccer Clash,U11B U11 Boys - Silver 2 CROSSOVER,Arizona Athletic Grounds,"1 Legacy Dr., Mesa, AZ 85212",18702793,260979
1/25/2025,PRFC Southeast Valley 14B Predator,Phoenix Premier FC 14B CG,0,3,L,W,2025 AZ Soccer Clash hosted by Phoenix Premier FC,AZ Soccer Clash,U11B U11 Boys - Silver 2 CROSSOVER,Arizona Athletic Grounds,"1 Legacy Dr., Mesa, AZ 85212",18702791,260979
1/25/2025,AZ Arsenal 14 Boys Teal 2 SC,PRFC Southeast Valley 14B Predator,2,0,W,L,2025 AZ Soccer Clash hosted by Phoenix Premier FC,AZ Soccer Clash,U11B U11 Boys - Silver 2 CROSSOVER,Arizona Athletic Grounds,"1 Legacy Dr., Mesa, AZ 85212",18702788,260979
1/18/2025,State 48 FC 14 White,PRFC Southeast Valley 14B Predator,0,2,L,W,2024-25 MaxinMotion Open League Season 2,Futsal B and G ,U11B MaxInMotion Open League Division 6 11U Boys,Gateway Park,"10100 N El Mirage Rd , El Mirage, AZ 85335",18569695,260979
1/11/2025,14 Cityzens,PRFC Southeast Valley 14B Predator,1,1,T,T,2024-25 MaxinMotion Open League Season 2,Futsal B and G ,U11B MaxInMotion Open League Division 6 11U Boys,Power Ranch Soccer Field,"444 E Haven Crest Dr., Gilbert, AZ 85297",18569687,260979
11/24/2024,CCV STARS 14 Boys Orange LAV,PRFC Southeast Valley 14B Predator,6,1,W,L,2024 Heritage Cup ,Heritage Cup,U11B 11u Boys Bronze West ,HC- Crossroads Park,"2155 E Knox Road , Gilbert, AZ 85296",18181948,260979
11/23/2024,AZ Arsenal 14 Boys Teal 2 SC,PRFC Southeast Valley 14B Predator,2,2,T,T,2024-25 MaxinMotion Open League Season 1,OPEN League: Season 1,U11B MaxInMotion Open League Division 7 11U Boys,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",17071281,260979
11/23/2024,PRFC Southeast Valley 14B Predator,PRFC North Valley 14B Predator,2,4,L,W,2024 Heritage Cup ,Heritage Cup,U11B 11u Boys Bronze West ,HC- Crossroads Park,"2155 E Knox Road , Gilbert, AZ 85296",18181945,260979
11/22/2024,AZEV B2014 (NAVY),PRFC Southeast Valley 14B Predator,5,0,W,L,2024 Heritage Cup ,Heritage Cup,U11B 11u Boys Bronze West ,HC- Crossroads Park,"2155 E Knox Road , Gilbert, AZ 85296",18181946,260979
11/9/2024,2014 Rush Boys,PRFC Southeast Valley 14B Predator,0,1,L,W,2024-25 MaxinMotion Open League Season 1,OPEN League: Season 1,U11B MaxInMotion Open League Division 7 11U Boys,JCC (Rush),"12701 N Scottsdale Rd , Scottsdale, AZ 85254",17071288,260979
10/27/2024,PRFC Southeast Valley 14B Predator,2014 Boys Yellow,1,4,L,W,Phoenix Rising Fall Classic 2024,Phoenix Rising FC Tournaments - Fall Classic,U11B U11M Platinum - 9v9,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",17979996,260979
10/26/2024,AZEV B2014 (WHITE),PRFC Southeast Valley 14B Predator,2,1,W,L,2024-25 MaxinMotion Open League Season 1,OPEN League: Season 1,U11B MaxInMotion Open League Division 7 11U Boys,Greenfield Junior High,"101 S. Greenfield Road , Gilbert, AZ 85296",17071267,260979
10/26/2024,PRFC Southeast Valley 14B Predator,14,2,5,L,W,Phoenix Rising Fall Classic 2024,Phoenix Rising FC Tournaments - Fall Classic,U11B U11M Platinum - 9v9,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",17980002,260979
10/25/2024,AZEV B2014 (NAVY),PRFC Southeast Valley 14B Predator,4,1,W,L,Phoenix Rising Fall Classic 2024,Phoenix Rising FC Tournaments - Fall Classic,U11B U11M Platinum - 9v9,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",17979998,260979
10/19/2024,PRFC Southeast Valley 14B Predator,NOS Santos 14 Boys White,3,1,W,L,2024-25 MaxinMotion Open League Season 1,OPEN League: Season 1,U11B MaxInMotion Open League Division 7 11U Boys,Eagles Park Soccer Complex (PRFC SEV),"828 E Broadway Rd, mesa, AZ 85204",17071289,260979
9/28/2024,PRFC Southeast Valley 14B Predator,Tuzos 2014 Nava,6,3,W,L,2024-25 MaxinMotion Open League Season 1,OPEN League: Season 1,U11B MaxInMotion Open League Division 7 11U Boys,Eagles Park Soccer Complex (PRFC SEV),"828 E Broadway Rd, mesa, AZ 85204",17071279,260979
9/21/2024,PRFC Desert Foothills 14B Predator,PRFC Southeast Valley 14B Predator,4,3,W,L,2024-25 MaxinMotion Open League Season 1,OPEN League: Season 1,U11B MaxInMotion Open League Division 7 11U Boys,Horseshoe Trails Elementary (PRFC-DF),"5405 E Pinnacle Vista Dr , Phoenix, AZ 85054",17071274,260979
9/14/2024,PRFC Southeast Valley 14B Predator,Madison FC 14 Blue Boys,2,1,W,L,2024-25 MaxinMotion Open League Season 1,OPEN League: Season 1,U11B MaxInMotion Open League Division 7 11U Boys,Pecos Park (PHX Premier SE/SW),"17010 S 48th St , Phoenix, AZ 85048",17071270,260979
9/8/2024,PRFC North Valley 14B Predator,PRFC Southeast Valley 14B Predator,4,2,W,L,FSC Champions Cup (Boys - 2024),Flagstaff Soccer United Cup,U11B U11B Silver (9v9),F- Thorpe Softball Complex,"191 N. Thorpe Rd, Flagstaff, AZ 86001",17479108,260979
9/7/2024,PRFC Southeast Valley 14B Predator,CCV STARS 14 Boys Navy PEO,5,4,W,L,FSC Champions Cup (Boys - 2024),Flagstaff Soccer United Cup,U11B U11B Silver (9v9),F- Thorpe Softball Complex,"191 N. Thorpe Rd, Flagstaff, AZ 86001",17479093,260979
9/7/2024,Madison FC 14 Gold Boys Storm,PRFC Southeast Valley 14B Predator,9,0,W,L,FSC Champions Cup (Boys - 2024),Flagstaff Soccer United Cup,U11B U11B Silver (9v9),F- Thorpe Softball Complex,"191 N. Thorpe Rd, Flagstaff, AZ 86001",17479091,260979
9/13/2025,CCV Stars 14 Boys West Pre-ECNL,Phoenix Premier FC 14B Pre MLS ACADEMY,6,0,W,L,2025-26 MaxinMotion Open League Season 1,OPEN League: Season 1,U12B MaxInMotion Open League Champions 12U Boys,CCV Surprise Club Fields,"14787 W Cholla St , Surprise, AZ 85379",21792652,128680
8/31/2025,CCV Stars 14 Boys West Pre-ECNL,PRFC SEV 13B NL Premier 2 AZ,3,0,W,L,Phoenix Rising Cup 2025,Phoenix Rising Cup,U13B U13 Boys Bronze - Zimmerman,Scottsdale Sports Complex (ASA),"8081 E. Princess Drive, Scottsdale, AZ 85225",22382299,128680
8/31/2025,AZ Arsenal 13 Boys Teal DC,CCV Stars 14 Boys West Pre-ECNL,1,1,T,T,Phoenix Rising Cup 2025,Phoenix Rising Cup,U13B U13 Boys Bronze - Zimmerman,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",22382296,128680
8/30/2025,CCV Stars 14 Boys West Pre-ECNL,Amore 2013 Boys,6,0,W,L,Phoenix Rising Cup 2025,Phoenix Rising Cup,U13B U13 Boys Bronze - Zimmerman,Scottsdale Sports Complex (ASA),"8081 E. Princess Drive, Scottsdale, AZ 85225",22382292,128680
8/30/2025,Phoenix Premier FC 13B Black,CCV Stars 14 Boys West Pre-ECNL,0,2,L,W,Phoenix Rising Cup 2025,Phoenix Rising Cup,U13B U13 Boys Bronze - Zimmerman,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",22382294,128680
4/27/2025,AZSC 13B Vargas Pre-E64RL,CCV Stars 14 Boys West Pre-ECNL,6,0,W,L,2025 Arizona Presidents Cup,Arizona Presidents Cup ,U12B 12U Boys Silver - Driven by Desert Ford Dealers,Reach 11 (ASA),"2425 E. Deer Valley Rd, Phoenix, AZ 85050",20081255,128680
4/26/2025,CCV Stars 14 Boys West Pre-ECNL,Chelsea 13B,3,2,W,L,2025 Arizona Presidents Cup,Arizona Presidents Cup ,U12B 12U Boys Silver - Driven by Desert Ford Dealers,Reach 11 (ASA),"2425 E. Deer Valley Rd, Phoenix, AZ 85050",20081249,128680
4/13/2025,13B Flores,CCV Stars 14 Boys West Pre-ECNL,4,0,W,L,2025 Arizona Presidents Cup,Arizona Presidents Cup ,U12B 12U Boys Silver - Driven by Desert Ford Dealers,Reach 11 (ASA),"2425 E. Deer Valley Rd, Phoenix, AZ 85050",20081262,128680
4/12/2025,PRFC Southeast Valley 13B Predator,CCV Stars 14 Boys West Pre-ECNL,1,5,L,W,2025 Arizona Presidents Cup,Arizona Presidents Cup ,U12B 12U Boys Silver - Driven by Desert Ford Dealers,Reach 11 (ASA),"2425 E. Deer Valley Rd, Phoenix, AZ 85050",20081264,128680
3/15/2025,CCV Stars 14 Boys West Pre-ECNL,13 Boys Navy,9,2,W,L,INFERNO CUP 2025,INFERNO CUP,U12B U12 Boys Bracket White,West Valley Events Complex,"10020 N. Ball Park Blvd, Glendale, AZ 85305",19826547,128680
3/2/2025,CCV Stars 14 Boys West Pre-ECNL,14 ECNL #2,0,1,L,W,2024-2025 ASA Advanced Leagues,ARIZONA ADVANCED LEAGUES,U11B 11U Boys APL,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",16745178,128680
3/1/2025,14B Flores,CCV Stars 14 Boys West Pre-ECNL,3,4,L,W,2024-2025 ASA Advanced Leagues,ARIZONA ADVANCED LEAGUES,U11B 11U Boys APL,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",16745227,128680
