team_id,display_name,opponent_team_id,opponent_display_name,date,goals_for,goals_against,result
ext_1cb2a58b379f,Magnifico FC B15E,ext_bac26aba5b80,las vegas sports academy u9 boys red 2016,2024-12-15,4.0,1.0,W
ext_1cb2a58b379f,Magnifico FC B15E,ext_be821cec1cf1,henderson lvsa '15b silver,2024-12-15,5.0,5.0,D
ext_1cb2a58b379f,Magnifico FC B15E,ext_bac26aba5b80,las vegas sports academy u9 boys red 2016,2024-12-14,2.0,2.0,D
ext_1cb2a58b379f,Magnifico FC B15E,ext_d5568bddc4aa,vkcobras 2015 metro green 1,2024-11-30,5.0,0.0,W
ext_1cb2a58b379f,Magnifico FC B15E,ext_d5568bddc4aa,vkcobras 2015 metro green 1,2024-11-30,2.0,1.0,W
ext_1cb2a58b379f,Magnifico FC B15E,ext_b7c86bc343f3,club alianza2015 coachella valley,2024-11-29,1.0,4.0,L
ext_1cb2a58b379f,Magnifico FC B15E,ext_d5b08b9f02ec,lv heat surf 15b select blue henderson,2024-11-29,0.0,2.0,L
ext_1cb2a58b379f,Magnifico FC B15E,ext_feab24921db3,henderson lvsa '15b black,2024-11-23,,,D
ext_1cb2a58b379f,Magnifico FC B15E,ext_6038ea1f553c,nevada rush b2015 junior academy,2024-11-17,11.0,1.0,W
ext_1cb2a58b379f,Magnifico FC B15E,ext_2a0fab984b16,magnifico fc b15p,2024-11-17,4.0,3.0,W
ext_1cb2a58b379f,Magnifico FC B15E,ext_be821cec1cf1,henderson lvsa '15b silver,2024-11-16,6.0,1.0,W
ext_1cb2a58b379f,Magnifico FC B15E,ext_6375d52280b9,las vegas sports academy u10 boys black 2015,2024-11-16,2.0,3.0,L
ext_1cb2a58b379f,Magnifico FC B15E,ext_cb6a4105c303,lv rayados 2016 blue,2024-11-09,0.0,1.0,L
ext_1cb2a58b379f,Magnifico FC B15E,ext_e3384ca35fca,villarreal lv u10 yellow,2024-11-03,1.0,6.0,L
ext_1cb2a58b379f,Magnifico FC B15E,ext_873b9f5ea86d,2015 black,2024-10-27,1.0,6.0,L
ext_1cb2a58b379f,Magnifico FC B15E,ext_00b6f5278622,2015 elite,2024-10-27,0.0,8.0,L
