Rank,Team,team_id,PowerScore,GamesPlayed,Wins,Losses,Draws,GoalsFor,GoalsAgainst,WinPct,GPG,GPA
312,vr 2015 boys,ext_e1459c482fd1,0.08888888888888889,1,0,1,0,2.0,6.0,0.0,2.0,6.0
313,FCDA 2015B Pre - Academy,e6fc3b68c95c,0.08888888888888889,4,0,4,0,8.0,24.0,0.0,2.0,6.0
314,2015 boys yellow,ext_a50172ffdaeb,0.08888888888888889,1,0,1,0,2.0,6.0,0.0,2.0,6.0
315,north carolina fc 2015 north red,ext_dfbd0868ad75,0.08888888888888889,1,0,1,0,2.0,6.0,0.0,2.0,6.0
316,central coast fc 15 black,ext_58ba13120117,0.08888888888888889,1,0,1,0,2.0,6.0,0.0,2.0,6.0
317,2015 boys black,ext_28fb6937c637,0.0875,5,0,5,0,7.0,20.0,0.0,1.4,4.0
318,2015 (u11) black,ext_46d89221662a,0.08571428571428573,3,0,3,0,3.0,8.0,0.0,1.0,2.6666666666666665
319,stanislaus united sc susc 2014b blue,ext_94d865762c80,0.08000000000000002,1,0,1,0,1.0,3.0,0.0,1.0,3.0
320,baltimore celtic 2015 green north,ext_a233b81b87c1,0.08000000000000002,1,0,1,0,1.0,3.0,0.0,1.0,3.0
321,springs sc 2015 boys elite,ext_f84839e2e08b,0.08000000000000002,1,0,1,0,1.0,3.0,0.0,1.0,3.0
322,ajax united 14b white,ext_b826d6a5a0c3,0.08000000000000002,1,0,1,0,1.0,3.0,0.0,1.0,3.0
323,prime sc 15 boys nna,ext_b05dbfbca023,0.08000000000000002,2,0,2,0,2.0,6.0,0.0,1.0,3.0
324,deportivo cali doral 2015 elite redin,ext_91047158cb47,0.08000000000000002,1,0,1,0,1.0,3.0,0.0,1.0,3.0
325,huracan,ext_cc0cd60ed1ab,0.08000000000000002,1,0,1,0,1.0,3.0,0.0,1.0,3.0
326,tuzos academy mesa 2015,ext_c33931b9c696,0.08000000000000002,2,0,2,0,3.0,10.0,0.0,1.5,5.0
327,2014b platinum 2,ext_3fba7a54b72b,0.08000000000000002,1,0,1,0,1.0,3.0,0.0,1.0,3.0
328,b14,ext_89fa69085247,0.08000000000000002,1,0,1,0,1.0,3.0,0.0,1.0,3.0
329,2014 pre ea ii,ext_bf9de0f12416,0.08000000000000002,1,0,1,0,1.0,3.0,0.0,1.0,3.0
330,walnut creek surf 15b blue,ext_b3f9ab8d735a,0.08000000000000002,1,0,1,0,1.0,3.0,0.0,1.0,3.0
331,syc 2014b pre-mls next ii,ext_b57362328433,0.08000000000000002,2,0,1,1,3.0,10.0,0.0,1.5,5.0
332,2014 csa uptown/matts elite,ext_f258cf299234,0.08000000000000002,1,0,1,0,1.0,3.0,0.0,1.0,3.0
333,inter miami u10,ext_dca71154a1e0,0.08000000000000002,1,0,1,0,1.0,3.0,0.0,1.0,3.0
334,waza fc 2015 black,ext_bd0b4f6df143,0.08000000000000002,1,0,1,0,1.0,3.0,0.0,1.0,3.0
335,players 16 boys juniors elite,ext_cfc644380319,0.08000000000000002,1,0,1,0,1.0,3.0,0.0,1.0,3.0
336,csa 2014,ext_667706814c14,0.08000000000000002,1,0,1,0,1.0,3.0,0.0,1.0,3.0
337,forza mis blue,ext_481cb357449a,0.08000000000000002,1,0,1,0,1.0,3.0,0.0,1.0,3.0
338,magnifico fc15e,ext_f8458a8e7219,0.0761904761904762,5,0,5,0,8.0,29.0,0.0,1.6,5.8
339,rysc 2015,ext_e973eabe42c0,0.07272727272727274,1,0,1,0,2.0,8.0,0.0,2.0,8.0
340,sr10 desperados (hutchinson),ext_c1c66a0dcd24,0.07272727272727274,1,0,1,0,2.0,8.0,0.0,2.0,8.0
341,tuzos mesa a,ext_88c44a4c2d7d,0.07272727272727274,1,0,1,0,2.0,8.0,0.0,2.0,8.0
342,15 boys soul warriors,ext_114c04631eaf,0.06956521739130435,3,0,3,0,4.0,16.0,0.0,1.3333333333333333,5.333333333333333
343,strikers miami fc 2015 pre ecnl,ext_14b290220a2b,0.06666666666666667,1,0,1,0,1.0,4.0,0.0,1.0,4.0
344,pre mls next black '15,ext_aa0a975792fb,0.06666666666666667,2,0,2,0,1.0,3.0,0.0,0.5,1.5
345,apsc 2014b,ext_a9ca894f17c3,0.06666666666666667,1,0,1,0,1.0,4.0,0.0,1.0,4.0
346,14b hermanson 1,ext_a2f51ce1c360,0.06666666666666667,1,0,1,0,1.0,4.0,0.0,1.0,4.0
347,cdo 15b premier,ext_f52a7f67f2b4,0.06666666666666667,2,0,1,1,1.0,3.0,0.0,0.5,1.5
348,keystone usys black 14b,ext_945f7c972bf5,0.06666666666666667,1,0,1,0,1.0,4.0,0.0,1.0,4.0
349,las vegas sports academy u10 boys silver 2015,ext_243a2ed6c00d,0.06666666666666667,2,0,2,0,2.0,8.0,0.0,1.0,4.0
350,la roca 15b-d moss,ext_ec12eccd4b12,0.06666666666666667,1,0,1,0,2.0,9.0,0.0,2.0,9.0
351,2014 boys white,ext_882a69a43c74,0.06666666666666667,1,0,1,0,1.0,4.0,0.0,1.0,4.0
352,14 pre-mlsn #2,ext_d8ad14e1cacb,0.06666666666666667,1,0,1,0,1.0,4.0,0.0,1.0,4.0
353,2015b black,ext_97fdf1f95e90,0.06666666666666667,4,0,3,1,3.0,11.0,0.0,0.75,2.75
354,prfc west valley 15b pre-academy,ext_0c074cbb5727,0.06666666666666667,1,0,1,0,1.0,4.0,0.0,1.0,4.0
355,15b blue montoya #1,ext_91ee7de94e57,0.06153846153846154,2,0,2,0,2.0,9.0,0.0,1.0,4.5
356,players 15 boys junior academy,ext_55b49016ecc2,0.06153846153846154,1,0,1,0,2.0,10.0,0.0,2.0,10.0
357,pre mls next white '15,ext_29fa547623e8,0.06060606060606061,4,0,4,0,5.0,24.0,0.0,1.25,6.0
358,fort lauderdale fc 15 boys blue,ext_c33883723f19,0.057142857142857155,3,0,3,0,2.0,9.0,0.0,0.6666666666666666,3.0
359,all stars 2015,ext_026fd180e397,0.05714285714285714,1,0,1,0,1.0,5.0,0.0,1.0,5.0
360,florida royal fc 2015 division 1 elite,ext_06d04d8afc89,0.05714285714285714,1,0,1,0,1.0,5.0,0.0,1.0,5.0
361,sac boys 2014 - united blue,ext_5d842e5d29c6,0.05714285714285714,1,0,1,0,1.0,5.0,0.0,1.0,5.0
362,albion sc las vegas b14 academy iv,ext_55067f38ebde,0.05714285714285714,1,0,1,0,1.0,5.0,0.0,1.0,5.0
363,royal palm beach strikers rpb u11b (2014) white,ext_f9ae3a358aee,0.05714285714285714,1,0,1,0,1.0,5.0,0.0,1.0,5.0
364,surf select desert region b2015,ext_c28ae31aaef0,0.05714285714285714,1,0,1,0,1.0,5.0,0.0,1.0,5.0
365,one fc b2015 black,ext_be22e017274d,0.05714285714285714,2,0,1,1,1.0,4.0,0.0,0.5,2.0
366,legends fc az 15b gold,ext_72de9e3446a2,0.05714285714285714,1,0,1,0,1.0,5.0,0.0,1.0,5.0
367,cat 2015 elite boys,ext_e9178a7a9891,0.05714285714285714,1,0,1,0,1.0,5.0,0.0,1.0,5.0
368,fontana scorpions fc,ext_db81bda3b314,0.05714285714285714,1,0,1,0,1.0,5.0,0.0,1.0,5.0
369,gotfc 2014 elite 1,ext_892fad39f75f,0.05714285714285714,2,0,2,0,1.0,4.0,0.0,0.5,2.0
370,psg academy fl2 u10 ronaldinho,ext_711596254186,0.05333333333333334,1,0,1,0,2.0,12.0,0.0,2.0,12.0
371,scu 15 boys red,ext_017309785917,0.05333333333333334,1,0,1,0,2.0,12.0,0.0,2.0,12.0
372,diablo valley fc 15b delta,ext_25f3a4b4953c,0.05,1,0,1,0,1.0,6.0,0.0,1.0,6.0
373,aventura fc bold nation 2015b gold,ext_fe652d879131,0.05,2,0,2,0,1.0,5.0,0.0,0.5,2.5
374,stafford revolution pre ecnl b2014,ext_60bd7f8419a2,0.05,1,0,1,0,1.0,6.0,0.0,1.0,6.0
375,dc eleven football club - boys 2014 black,ext_352a490a2eea,0.05,1,0,1,0,1.0,6.0,0.0,1.0,6.0
