gotsport_team_id,display_name,club,state,age_group,gender
42220054,WSA South Arsenal 2015B,West Side Alliance SC,AZ,U11,M
42160485,ALL STARS 2015,Miami Stars Soccer,AZ,U11,M
42159024,Diablo Valley FC 15B Delta,Diablo Valley Futbol Club,AZ,U11,M
42158127,Storm B2015,Foothill Storm,AZ,U11,M
42159948,15B DGerman,RSL-AZ North,AZ,U11,M
42161218,VSA 15B Pre-ECNL I VDA West,Virginia Soccer Association,AZ,U11,M
42159493,Bergen 2015 Boys NEAL White,Cedar Stars Academy North,AZ,U11,M
42161338,15B Rayados Blue,RSL-AZ Southern AZ,AZ,U11,M
42158104,15B EA,Sand and Surf SC,AZ,U11,M
42159286,UC Premier 2015B Red,UC Premier,AZ,U11,M
42158760,South Valley United B15 White,South Valley United Soccer Club,AZ,U11,M
42159914,2015B Pre-MLS White,West Florida Flames,AZ,U11,M
42161569,Baltimore Bays Bolts 2015 Boys,Baltimore Bays Soccer Club,AZ,U11,M
42158505,SD Surf Academy Boys 2015 (Miller),,AZ,U11,M
42162445,CLUB ALIANZA2015 COACHELLA VALLEY,,AZ,U11,M
42158621,2015 Boys Blue,Earthquakes - East Valley,AZ,U11,M
42161249,McLean Youth Soccer 2015 Boys Green,McLean YS,AZ,U11,M
42158685,Elite Green 15,Granite Bay FC,AZ,U11,M
42162175,Kickers FC PRE-NPL,Kickers FC,AZ,U11,M
42159638,B2015 Wolverines,Port Washington Soccer Club,AZ,U11,M
42164447,Inglewood sc B2015,Inglewood SC,AZ,U11,M
42161419,RAYADOS LAS VEGAS SOCCER ACADEMY 2015 WHITE,Rayados Las Vegas Soccer Academy,AZ,U11,M
42159452,2015B Pre-MLS 2,Bay Area Surf,AZ,U11,M
42158323,California Rush B15 Nero - Huntington Beach,California Rush Soccer Club,AZ,U11,M
42160154,Pflugerville Rayados 2015,Mortega SC,AZ,U11,M
42161443,15B Jason Pre MLS Next,RSL-AZ Southern AZ,AZ,U11,M
42158475,Wall Elite Lazio,Wall Soccer Club,AZ,U11,M
42159101,BUSC 2015 Premier,Ballistic United,AZ,U11,M
42160763,SGA 15/16B Premier,SGA,AZ,U11,M
42158964,SASA Spirits 2015B 1984,SASA Spirits SC,AZ,U11,M
42171416,CDO 15B Premier,Canyon Del Oro Soccer Club,AZ,U11,M
42162010,CCV Stars 15 Boys South Pre-ECNL,CCV STARS,AZ,U11,M
42158049,ALBION SC San Diego B15 Academy,ALBION SC San Diego,AZ,U11,M
42163321,SLSG IL B 2015 Academy Red,St. Louis Scott Gallagher,AZ,U11,M
42163121,GOTFC 2015 Elite,Miami Athletic Club,AZ,U11,M
42159058,Walnut Creek Surf 15B White,Walnut Creek Surf Soccer Club,AZ,U11,M
42161917,EJE7 2015,EJE7 ,AZ,U11,M
42164317,Cobras El Paso 2015,El Paso Premier League,AZ,U11,M
42160993,Weston FC 2015 Boys White,Weston FC,AZ,U11,M
42158350,TFA-SELA B2015 White,TOTAL FUTBOL ACADEMY (CA),AZ,U11,M
42159360,Cal Magic 2015B East,California Magic Soccer Club,AZ,U11,M
42159157,Napoli Gold,Huntington Inter FC ,AZ,U11,M
42160337,Alex 2015 Boys White,Alexandria SA,AZ,U11,M
42161182,Mellindo FC 2015 A,,AZ,U11,M
42160217,Dynamos SC 15B Gold,Dynamos SC,AZ,U11,M
42158739,15B FPFC PRE-ECNL II,Florida Premier FC,AZ,U11,M
42159051,Lightning 15 Teal,San Juan Soccer Club,AZ,U11,M
42159715,Lancaster FC 2015 Boys Academy,Lancaster FC,AZ,U11,M
42159412,15B White,Sacramento United,AZ,U11,M
42161542,SWFL Soccer Academy 2015-2016,SWFL Soccer Academy,AZ,U11,M
42158111,Little Knights,North Bay Premier Club,AZ,U11,M
42160188,Players 15 Boys Academy,Players SC,AZ,U11,M
42164595,VV FC 15B Kit,,AZ,U11,M
42158317,White Conshy '15 (B),FC DELCO,AZ,U11,M
42158822,Davis Legacy 15B White,Davis Legacy Soccer Club,AZ,U11,M
42160487,Indiana Elite FC Pre - ECNL B15,Indiana Elite F.C.,AZ,U11,M
