Rank,Team,Club,Team ID,State,Gender,Age Group,Year,Games Played,Wins,Losses,Ties,W-L-T,Goals For,Goals Against,Goal Differential,GFPG,GAPG,Off_norm,Def_norm,SOS_norm,SOS,Raw Power,PowerScore
68,14B JDeutsch Pre-MLS Next,RSL-AZ South,82303,AZ,M,U12,2014,13,2,7,4,2-7-4,21,36,-15,1.6800000000000002,2.73,0.1810746552543984,0.3668672594536951,1.0,0.5853143956330837,0.4554782180155351,0.4099303962139816
69,PRFC North Valley 14B Predator,Phoenix Rising FC North Valley,82493,AZ,M,U12,2014,20,6,11,3,6-11-3,46,59,-13,2.42,3.09,0.3781264859724202,0.2862014939940814,0.6079282433138612,0.4644040364640696,0.4011050533159034,0.4011050533159034
70,PRFC Southeast Valley 14B Predator-Central,Phoenix Rising FC,494072,AZ,M,U12,2014,20,7,11,2,7-11-2,40,50,-10,2.12,2.54,0.2982406086543033,0.4160554000207587,0.5301540076855351,0.442849887346475,0.400399505174532,0.400399505174532
71,2014 Rush Boys,Phoenix Rush,370621,AZ,M,U12,2014,20,10,7,3,10-7-3,53,47,6,3.11,2.33,0.5618640038040892,0.4769516707749565,0.0386680697847361,0.3066407544745041,0.3992228954133262,0.3992228954133262
72,Tuzos Halcones 2014,FBSL,273386,AZ,M,U12,2014,20,7,11,2,7-11-2,58,80,-22,2.74,4.32,0.4633380884450784,0.0929650354768705,0.7600389973533205,0.5065596147024002,0.398623420809061,0.398623420809061
73,Gila Valley Ninjas,AYSO 350 Alliance,639388,AZ,M,U12,2014,3,2,1,0,2-1-0,11,6,5,3.6666666666666665,2.0,0.7100966872721507,0.5898707556877403,0.1649308570598547,0.3416328945186274,0.5287205053749228,0.3965403790311921
74,Southeast 2014 Boys Blue,Next Level Soccer (AZ),448054,AZ,M,U12,2014,20,8,11,1,8-11-1,37,54,-17,1.63,2.78,0.1677603423680455,0.3547448689212945,0.7958461970301587,0.5164831287695312,0.3949010034910422,0.3949010034910422
75,Playmaker Futbol Academy 14B Gold,Playmaker Futbol Academy,391344,AZ,M,U12,2014,20,9,8,3,9-8-3,57,72,-15,2.71,3.4799999999999995,0.4553495007132666,0.2134432542779974,0.5677940818416909,0.4532813594735199,0.3927458035821467,0.3927458035821467
76,Eagles F.C.,Renegades Soccer Club,432207,AZ,M,U12,2014,20,6,9,5,6-9-5,26,42,-16,1.2200000000000002,1.86,0.0585829766999524,0.6456483329142079,0.5121517724885732,0.4378607947665153,0.3921246842274535,0.3921246842274535
77,Verde Valley United FC,,452848,AZ,M,U12,2014,11,3,5,3,3-5-3,19,21,-2,1.3299999999999998,1.93,0.0878744650499286,0.6170932592487808,0.648596279977819,0.4756746702349208,0.4265119666064707,0.3838607699458237
78,14B Rayados Blue AL,RSL-AZ Southern AZ,513291,AZ,M,U12,2014,8,1,2,5,1-2-5,19,24,-5,2.375,3.0,0.3661436043747027,0.3050067005668538,1.0,0.6857719621146278,0.5016813643530837,0.3762610232648128
79,Select 14B,Yavapai Soccer,208947,AZ,M,U12,2014,20,8,6,6,8-6-6,51,67,-16,2.7299999999999995,3.45,0.4606752258678076,0.2185872681144499,0.4831773910997831,0.429830910165289,0.3755177830182924,0.3755177830182924
80,14B Hinds,RSL-AZ Southern AZ,373077,AZ,M,U12,2014,20,12,5,3,12-5-3,58,38,20,2.42,2.18,0.3781264859724202,0.5253732337735775,0.1440255953086475,0.3358392647196641,0.374818793731911,0.374818793731911
81,14B Hermanson AL,RSL-AZ Southern AZ,390403,AZ,M,U12,2014,20,7,12,1,7-12-1,43,54,-11,2.09,2.74,0.2902520209224916,0.3644168511000868,0.5171286359567296,0.4392400697470267,0.3747829859976493,0.3747829859976493
82,State 48 FC Avondale 14 Black,State 48 FC,399594,AZ,M,U12,2014,20,11,8,1,11-8-1,42,50,-8,2.1,2.5,0.2929148834997622,0.4270912956186622,0.4161143210200227,0.4112452255731489,0.3740308974244148,0.3740308974244148
83,Select 14B Red,AZFC ,497273,AZ,M,U12,2014,20,6,14,0,6-14-0,50,46,4,2.74,2.22,0.4633380884450784,0.5120197095677465,0.0251113102749095,0.3028836694492963,0.3720370018235367,0.3720370018235367
84,Pumas Tucson 14B,Renegades Soccer Club,450534,AZ,M,U12,2014,3,2,1,0,2-1-0,6,6,0,2.0,2.0,0.2662862577270565,0.5898707556877403,0.6987339890915225,0.4895697043669921,0.4957423773034294,0.3718067829775721
85,PRFC Scottsdale 14B Predator,Phoenix Rising FC,179071,AZ,M,U12,2014,20,9,9,2,9-9-2,50,65,-15,2.66,2.79,0.4420351878269138,0.3523587730539668,0.2666488596937432,0.3698227568683153,0.3645599502537661,0.3645599502537661
86,Kingman SC B14 McGill,Kingman SC,195296,AZ,M,U12,2014,18,8,8,2,8-8-2,42,48,-6,2.615,2.19,0.4300523062291962,0.522003457289034,0.1887516973128823,0.3482345401506567,0.4042088356475569,0.3637879520828012
87,Tuzos Academy Mesa 2014,FBSL,385521,AZ,M,U12,2014,20,8,10,2,8-10-2,51,67,-16,2.49,3.29,0.3967665240133142,0.2472370670108697,0.4761989727235097,0.4278969294701142,0.3605510898149464,0.3605510898149464
88,East Valley NSFC 14 Boys Aguirre,East Valley/NSFC,78764,AZ,M,U12,2014,20,7,12,1,7-12-1,44,70,-26,1.88,3.58,0.2343319067998097,0.196783238577696,0.7721572551436191,0.5099180371072926,0.3547074933024694,0.3547074933024694
89,VSC 2014 Boys Green,Vail SC,295846,AZ,M,U12,2014,20,7,10,3,7-10-3,47,66,-19,2.25,2.9,0.3328578221588206,0.3269193201915374,0.4191762159921741,0.4120937911717561,0.3522104823794278,0.3522104823794278
90,RSL-AZ Yuma 14 Boys Quinonez,RSL-AZ Yuma,256692,AZ,M,U12,2014,15,7,7,1,7-7-1,50,60,-10,3.4,3.89,0.6390870185449355,0.1494674312063696,0.3744332233216523,0.3996938347054964,0.3893162244871525,0.3503846020384373
