Rank,Team,Club,Team_ID,State,Gender,Age_Group,Games Played,Wins,Losses,Ties,Goals For,Goals Against,Goal Differential,Goals For/Game,Goals Against/Game,Offense Score,Adj Defense Score,SOS,Raw Power,Power Score,Opponents_Count
108,CCV Stars 14 Boys North Navy,CCV STARS,128639,AZ,M,U12,24,10,13,1,60,72,-12,1.0999999999999999,1.55,1.0999999999999999,-0.55,1.1365959355592368,0.4903989838898092,0.4903989838898092,24
109,CCV Stars 14 Boys West Orange,CCV STARS,368675,AZ,M,U12,20,5,11,4,33,56,-23,0.835,1.28,0.835,-0.28,1.1216168259657182,0.4885292064914295,0.4885292064914295,20
110,Phoenix Premier FC 14B White,Phoenix Premier FC,320364,AZ,M,U12,28,7,16,5,59,103,-44,0.9035714285714286,1.475,0.9035714285714286,-0.4750000000000001,1.3014474496979427,0.48607614813877137,0.48607614813877137,28
111,PRFC Southeast Valley 14B Pre-Academy,Phoenix Rising FC,260977,AZ,M,U12,36,9,24,3,80,130,-50,0.8444444444444446,1.5277777777777777,0.8444444444444446,-0.5277777777777777,1.4548948669196546,0.48247371672991374,0.48247371672991374,36
112,RSL-AZ Yuma 14 Boys Rodriguez,RSL-AZ Yuma,493827,AZ,M,U12,6,4,2,0,17,17,0,1.9833333333333332,1.9833333333333332,1.9833333333333332,-0.9833333333333332,1.0639766751765143,0.6409941687941285,0.4807456265955964,6
113,14B JDeutsch Pre-MLS Next,RSL-AZ South,82303,AZ,M,U12,17,6,7,4,35,42,-7,0.9470588235294118,1.4235294117647057,0.9470588235294118,-0.4235294117647057,1.3362114390641096,0.5303763891777922,0.477338750260013,17
114,State 48 FC Avondale 14 White,State 48 FC,614163,AZ,M,U12,33,13,17,3,55,85,-30,0.6333333333333334,1.1363636363636365,0.6333333333333334,-0.13636363636363646,1.153196737601757,0.4746628207640756,0.4746628207640756,33
115,La Academia 14B,La Academia FC,389989,AZ,M,U12,16,5,9,2,59,77,-18,2.10625,2.49375,2.10625,-1.49375,1.0780681546551332,0.49920453866378345,0.4492840847974051,16
116,Bala FC - 2014B,Bala FC,614083,AZ,M,U12,3,1,1,1,7,9,-2,1.633333333333333,2.1,1.633333333333333,-1.1,1.588366571699905,0.5970916429249762,0.44781873219373214,3
117,14B Rayados Blue AL,RSL-AZ Southern AZ,513291,AZ,M,U12,12,2,5,5,28,47,-19,1.5333333333333332,2.275,1.5333333333333332,-1.275,1.5766730484327824,0.4910432621081956,0.44193893589737604,12
118,NOS Santos 14 Boys White,NOS Santos SC,136657,AZ,M,U12,30,9,17,4,68,100,-32,0.92,1.5466666666666669,0.92,-0.5466666666666669,1.1609232417753774,0.4302308104438443,0.4302308104438443,30
119,Tuzos 2014 Nava,FBSL,498283,AZ,M,U12,18,6,10,2,60,80,-20,1.8444444444444446,2.4,1.8444444444444446,-1.4,1.0984719319891798,0.4412846496639617,0.39715618469756553,18
120,Milan,AYSO 350 Alliance,413583,AZ,M,U12,30,8,17,5,38,87,-49,0.5666666666666667,1.2566666666666668,0.5666666666666667,-0.2566666666666668,1.1210543375160762,0.39651358437901896,0.39651358437901896,30
121,14B Rueda,RSL-AZ South,251060,AZ,M,U12,25,8,16,1,49,95,-46,0.86,1.6680000000000001,0.86,-0.6680000000000001,1.1876371586316512,0.36890928965791275,0.36890928965791275,25
122,PRFC Desert Foothills 14B Predator,Phoenix Rising Desert Foothills,255975,AZ,M,U12,33,6,24,3,60,137,-77,0.7636363636363637,1.7181818181818183,0.7636363636363637,-0.7181818181818183,1.3846661962427824,0.36321200360615014,0.36321200360615014,33
123,PSC 2014B,Paladin Soccer Club,654997,AZ,M,U12,6,1,4,1,6,11,-5,0.6999999999999998,1.2833333333333332,0.6999999999999998,-0.2833333333333332,1.255668437331073,0.47016710933276823,0.3526253319995762,6
124,CCV Stars 14 Boys South Orange,CCV STARS,128664,AZ,M,U12,29,4,20,5,55,109,-54,0.8862068965517241,1.6517241379310348,0.8862068965517241,-0.6517241379310348,1.036487283746221,0.34705285541931374,0.34705285541931374,29
125,SCFC - 2014,Scottsdale City FC,370208,AZ,M,U12,2,0,1,1,0,3,-3,0.0,1.0499999999999998,0.0,-0.04999999999999982,1.839130434782609,0.4410326086956523,0.3307744565217392,2
