team_name,club_name,gotsport_team_id,state
15B OMolina,RSL-AZ South,252018,AZ
SK Sunblazer U10 Gold,"South Kendall Sunblazer Soccer Club, Inc.",419311,FL
2015B Pre-ECNL,Los Gatos United Soccer Club,184863,CAN
FC Scorpions B2015 Academy,FC Scorpions (CA),481834,CAS
Blues 15B Navy,Blues FC,246093,CAN
Yuba Elite FC 15B Gold,Yuba Elite FC,490279,CAN
Burlingame SC 2015B Gray,Burlingame Soccer Club,451175,CAN
PRFC Scottsdale 15B Copa,Phoenix Rising FC,259314,AZ
B2015 ERIC GARCIA,BARCA Academy Pro Miami,524950,FL
Club Ohio United 15B Black,Club Ohio,285553,OH
MP 15 Blue,South Carolina Surf SC,566275,SC
PRFC North Valley 15B Predator,Phoenix Rising FC North Valley,260959,AZ
Solano Surf 15B Blue,Solano Surf,380658,CAN
NJ Premier B2015 - BLUE,NJ Premier FC,251101,NJ
Tuzos Academy Mesa 2015,FBSL,385524,AZ
Benicia Arsenal 2015 Boys (Black),Benicia Soccer,373371,CAN
ANWSC Wellington SC 2015B Elite White,Wellington SC,265808,FL
Idaho Juniors 15B Neon,Idaho Juniors FC,273039,ID
2015 Pre-Academy Green,Brentwood SC (LIJSL),262518,NYE
S5A KENDALL U11 ELITE,Soccer 5 Academy ,546551,FL
2015 (U11) Blue,Miami Futbol Academy Rush ,369804,FL
Wellington pre ECNL B15,Wellington Soccer Club,497653,FL
2015 Boys Grey,Pinecrest Premier Soccer,282884,FL
VUSC 2015 Boys Premier,Vacaville United Soccer Club,367132,CAN
INVICTUS SC 15B RED RODRIGUEZ,Invictus SC,539411,TXN
Dallas Cosmos 15B Black,Dallas Cosmos Soccer Club,293964,TXN
CF 15B Central Black,Concorde Fire ,250744,GA
NEU 2015 Cobras,Northeast United,276292,PAE
Elite 2015 Black,Elite Soccer Academy (FL),322069,FL
Bayern,Atletico Santa Rosa,114661,CAN
CFC Ole B2015 Pre-ECNL,Ole FC,270709,CT
Monterey Surf 15B Academy I,Monterey Surf Soccer Club,258108,CAN
2015 Green,Vereinigung Erzgebirge SC ,254580,PAE
Labelle Heat 15/16,Labelle Heat,272645,FL
