Team Name,Club,Team ID,Points,Wins,Losses,Ties,Games Played,Rank,State,Region,Win Percentage,State Rank,Regional Rank,Goal Ratio,Team URL,Last Activity,Gender,Age Group
CCV Stars 14 Boys North Orange,CCV STARS,128638,6874,20,16,2,38,267,AZ,4,0.5263157894736842,37,90,1.1666666666666667,https://rankings.gotsport.com/teams/128638,2025-10-08,M,U12
14B Engilman,RSL-AZ North,80232,6748,14,20,5,39,271,AZ,4,0.358974358974359,38,92,0.7681159420289855,https://rankings.gotsport.com/teams/80232,2025-10-08,M,U12
PRFC Southeast Valley 14B Pre-Academy,Phoenix Rising FC,260977,6523,11,20,2,33,288,AZ,4,0.3333333333333333,39,97,0.8440366972477065,https://rankings.gotsport.com/teams/260977,2025-10-08,M,U12
RSL-AZ Yuma 14 Boys Quinonez,RSL-AZ Yuma,256692,6398,7,11,1,19,297,AZ,4,0.3684210526315789,40,102,0.6805555555555556,https://rankings.gotsport.com/teams/256692,2025-10-08,M,U12
West Valley 2014 Boys Martinez Pre-Elite64,RSL-AZ West Valley,385131,6153,23,20,1,44,309,AZ,4,0.5227272727272727,41,107,1.3333333333333333,https://rankings.gotsport.com/teams/385131,2025-10-08,M,U12
NOS Santos 14 Boys Blue,NOS Santos SC,85564,6054,11,13,2,26,316,AZ,4,0.4230769230769231,42,109,0.8235294117647058,https://rankings.gotsport.com/teams/85564,2025-10-08,M,U12
CCV Stars 14 Boys North Pre-ECNL,CCV STARS,113537,6040,16,15,3,34,318,AZ,4,0.47058823529411764,43,111,1.3275862068965518,https://rankings.gotsport.com/teams/113537,2025-10-08,M,U12
14 Cityzens,Scottsdale City FC,505150,6014,23,30,4,57,323,AZ,4,0.40350877192982454,44,115,0.7745664739884393,https://rankings.gotsport.com/teams/505150,2025-10-08,M,U12
Playmaker Futbol Academy PRE-ECNL B14,Playmaker Futbol Academy,78337,5946,11,13,4,28,327,AZ,4,0.39285714285714285,45,118,0.935064935064935,https://rankings.gotsport.com/teams/78337,2025-10-08,M,U12
14B Moyer,RSL-AZ South,251057,5893,13,17,5,35,331,AZ,4,0.37142857142857144,46,121,0.8571428571428571,https://rankings.gotsport.com/teams/251057,2025-10-08,M,U12
PRFC North Valley 14B Predator,Phoenix Rising FC North Valley,82493,5768,12,24,6,42,337,AZ,4,0.2857142857142857,47,126,0.6739130434782609,https://rankings.gotsport.com/teams/82493,2025-10-08,M,U12
U-12 (2014) Boys Yuma Pre Academy,SC del Sol,384230,5525,7,11,2,20,356,AZ,4,0.35,48,132,0.68,https://rankings.gotsport.com/teams/384230,2025-10-08,M,U12
CDO 14B Premier,Canyon Del Oro Soccer Club,250765,5506,18,11,1,30,358,AZ,4,0.6,49,133,1.4057971014492754,https://rankings.gotsport.com/teams/250765,2025-10-08,M,U12
FC Deportivo AZ 2014B (Gallegos),FC Deportivo Arizona,523920,5431,16,6,4,26,368,AZ,4,0.6153846153846154,50,136,1.5921052631578947,https://rankings.gotsport.com/teams/523920,2025-10-08,M,U12
14B Negrete Pre MLS Next,RSL-AZ Southern AZ,178324,5379,12,15,5,32,375,AZ,4,0.375,51,139,1.1341463414634145,https://rankings.gotsport.com/teams/178324,2025-10-08,M,U12
Phoenix Premier FC 14B Black,Phoenix Premier FC,57042,5216,7,14,6,27,388,AZ,4,0.25925925925925924,52,145,0.8571428571428571,https://rankings.gotsport.com/teams/57042,2025-10-08,M,U12
2014 Boys Yellow,Thunderbird FC,385775,5045,13,12,2,27,402,AZ,4,0.48148148148148145,53,149,1.0,https://rankings.gotsport.com/teams/385775,2025-10-08,M,U12
Madison FC 14 Blue Boys,Madison FC,498236,4938,19,15,1,35,414,AZ,4,0.5428571428571428,54,154,1.1176470588235294,https://rankings.gotsport.com/teams/498236,2025-10-08,M,U12
FC ARIZONA PRE ECNL RL B14,FC Arizona,633380,4894,3,0,1,4,419,AZ,4,0.75,55,157,3.0,https://rankings.gotsport.com/teams/633380,2025-10-08,M,U12
PRFC Scottsdale 14B Predator,Phoenix Rising FC,179071,4765,11,14,3,28,428,AZ,4,0.39285714285714285,56,161,0.8125,https://rankings.gotsport.com/teams/179071,2025-10-08,M,U12
14 Pre-MLSN #2,FC Tucson Youth Soccer,499128,4354,19,16,2,37,476,AZ,4,0.5135135135135135,57,177,1.558139534883721,https://rankings.gotsport.com/teams/499128,2025-10-08,M,U12
PRFC West Valley 14B Pre-Academy,Phoenix Rising FC,120243,4244,17,27,3,47,496,AZ,4,0.3617021276595745,58,182,0.8098591549295775,https://rankings.gotsport.com/teams/120243,2025-10-08,M,U12
Real Arizona 2014,Real Arizona FC,170375,4134,24,8,2,34,505,AZ,4,0.7058823529411765,59,186,1.9156626506024097,https://rankings.gotsport.com/teams/170375,2025-10-08,M,U12
Southeast 2014 Boys Green,Next Level Soccer (AZ),514142,4111,19,12,6,37,507,AZ,4,0.5135135135135135,60,188,1.6865671641791045,https://rankings.gotsport.com/teams/514142,2025-10-08,M,U12
CCV Stars 14 Boys West Orange,CCV STARS,368675,4041,8,14,5,27,521,AZ,4,0.2962962962962963,61,194,0.675,https://rankings.gotsport.com/teams/368675,2025-10-08,M,U12
Pima Surf 2014 B Blue,Pima County Surf Soccer Club,267400,3963,10,8,6,24,537,AZ,4,0.4166666666666667,62,200,1.169811320754717,https://rankings.gotsport.com/teams/267400,2025-10-08,M,U12
14B NL #1,FC Tucson Youth Soccer,515148,3750,11,13,4,28,570,AZ,4,0.39285714285714285,63,216,0.9411764705882353,https://rankings.gotsport.com/teams/515148,2025-10-08,M,U12
AZSC 2014B Pre-NL Premier 2,Arizona Soccer Club,79991,3693,31,14,3,48,579,AZ,4,0.6458333333333334,64,220,2.0,https://rankings.gotsport.com/teams/79991,2025-10-08,M,U12
PRFC Southeast Valley 14B Predator,Phoenix Rising FC,260979,3690,15,20,5,40,581,AZ,4,0.375,65,222,0.6810344827586207,https://rankings.gotsport.com/teams/260979,2025-10-08,M,U12
CCV Stars 14 Boys West Pre-ECNL,CCV STARS,128680,3606,14,16,5,35,601,AZ,4,0.4,66,227,0.7807017543859649,https://rankings.gotsport.com/teams/128680,2025-10-08,M,U12
PRFC Southeast Valley 14B Predator-Central,Phoenix Rising FC,494072,3581,10,25,3,38,606,AZ,4,0.2631578947368421,67,229,0.5478260869565217,https://rankings.gotsport.com/teams/494072,2025-10-08,M,U12
AZ Arsenal 14 Boys Teal SC,Arizona Arsenal Soccer Club,163425,3364,21,20,5,46,643,AZ,4,0.45652173913043476,68,242,1.0388349514563107,https://rankings.gotsport.com/teams/163425,2025-10-08,M,U12
Verde Valley United FC,,452848,3314,5,7,4,16,648,AZ,4,0.3125,69,245,1.03125,https://rankings.gotsport.com/teams/452848,2025-10-08,M,U12
Dynamos SC 14B Gold,Dynamos SC,496617,3311,14,29,5,48,649,AZ,4,0.2916666666666667,70,246,0.6497175141242938,https://rankings.gotsport.com/teams/496617,2025-10-08,M,U12
CCV Stars 14 Boys South Pre-ECNL,CCV STARS,128663,3305,14,17,3,34,650,AZ,4,0.4117647058823529,71,247,0.8936170212765957,https://rankings.gotsport.com/teams/128663,2025-10-08,M,U12
Northwest 2014 Boys,Next Level Soccer (AZ),506850,3304,11,36,3,50,651,AZ,4,0.22,72,248,0.42528735632183906,https://rankings.gotsport.com/teams/506850,2025-10-08,M,U12
VSC 2014 Boys Green,Vail SC,295846,3021,13,18,4,35,714,AZ,4,0.37142857142857144,73,271,1.0683760683760684,https://rankings.gotsport.com/teams/295846,2025-10-08,M,U12
14B Hinds,RSL-AZ Southern AZ,373077,3011,26,13,4,43,716,AZ,4,0.6046511627906976,74,272,1.5058823529411764,https://rankings.gotsport.com/teams/373077,2025-10-08,M,U12
SFC XOLOS ARIZONA 2014,Spartans FC (AZ),584054,2996,9,1,1,11,721,AZ,4,0.8181818181818182,75,273,2.75,https://rankings.gotsport.com/teams/584054,2025-10-08,M,U12
2014 Tuzos Academy FV,FBSL,308708,2855,18,2,1,21,763,AZ,4,0.8571428571428571,76,287,5.625,https://rankings.gotsport.com/teams/308708,2025-10-08,M,U12
Amore 2014 Boys,Amore Soccer,296013,2841,15,19,7,41,765,AZ,4,0.36585365853658536,77,288,0.9933333333333333,https://rankings.gotsport.com/teams/296013,2025-10-08,M,U12
Kingman SC B14 McGill,Kingman SC,195296,2769,11,8,2,21,792,AZ,4,0.5238095238095238,78,299,1.3269230769230769,https://rankings.gotsport.com/teams/195296,2025-10-08,M,U12
2014 Rush Boys,Phoenix Rush,370621,2620,13,15,4,32,830,AZ,4,0.40625,79,313,0.8936170212765957,https://rankings.gotsport.com/teams/370621,2025-10-08,M,U12
PRFC West Valley 14B Predator,Phoenix Rising FC,174796,2540,13,14,1,28,854,AZ,4,0.4642857142857143,80,319,1.075,https://rankings.gotsport.com/teams/174796,2025-10-08,M,U12
FC Arizona 14B Black GFC Suenaga U12,FC Arizona,371742,2427,21,8,4,33,907,AZ,4,0.6363636363636364,81,339,2.456140350877193,https://rankings.gotsport.com/teams/371742,2025-10-08,M,U12
Phoenix Premier FC 14B SW Black,Phoenix Premier FC,502513,2408,16,12,1,29,914,AZ,4,0.5517241379310345,82,342,1.6111111111111112,https://rankings.gotsport.com/teams/502513,2025-10-08,M,U12
AZ Inferno 14 Boys Black,AZ Inferno,130761,2349,15,22,4,41,943,AZ,4,0.36585365853658536,83,349,0.9827586206896551,https://rankings.gotsport.com/teams/130761,2025-10-08,M,U12
Playmaker Futbol Academy 14B Gold,Playmaker Futbol Academy,391344,2305,12,29,4,45,964,AZ,4,0.26666666666666666,84,357,0.5444444444444444,https://rankings.gotsport.com/teams/391344,2025-10-08,M,U12
14B Hermanson AL,RSL-AZ Southern AZ,390403,2165,26,25,5,56,1015,AZ,4,0.4642857142857143,85,375,1.1983471074380165,https://rankings.gotsport.com/teams/390403,2025-10-08,M,U12
14 Boys Soul Warriors,FC Tucson Youth Soccer,515160,2100,12,14,4,30,1054,AZ,4,0.4,86,387,0.8679245283018868,https://rankings.gotsport.com/teams/515160,2025-10-08,M,U12
Deportivo Mexico 14B,Renegades Soccer Club,558128,2031,7,15,8,30,1083,AZ,4,0.23333333333333334,87,396,0.6759259259259259,https://rankings.gotsport.com/teams/558128,2025-10-08,M,U12
14B Rayados Blue AL,RSL-AZ Southern AZ,513291,2030,3,6,3,12,1084,AZ,4,0.25,88,397,0.6976744186046512,https://rankings.gotsport.com/teams/513291,2025-10-08,M,U12
Eagles F.C.,Renegades Soccer Club,432207,1998,17,12,6,35,1105,AZ,4,0.4857142857142857,89,406,1.4576271186440677,https://rankings.gotsport.com/teams/432207,2025-10-08,M,U12
EXCEL25WU11B1Lee,RSL-AZ South,559749,1931,5,2,0,7,1143,AZ,4,0.7142857142857143,90,414,0.8823529411764706,https://rankings.gotsport.com/teams/559749,2025-10-08,M,U12
14B Rueda,RSL-AZ South,251060,1875,9,17,1,27,1180,AZ,4,0.3333333333333333,91,423,0.4056603773584906,https://rankings.gotsport.com/teams/251060,2025-10-08,M,U12
AZ Arsenal 14 Boys Teal MC,Arizona Arsenal Soccer Club,505309,1767,10,21,1,32,1262,AZ,4,0.3125,92,447,0.5673076923076923,https://rankings.gotsport.com/teams/505309,2025-10-08,M,U12
CDO 14B Elite,Canyon Del Oro Soccer Club,250767,1752,16,7,7,30,1270,AZ,4,0.5333333333333333,93,450,1.2533333333333334,https://rankings.gotsport.com/teams/250767,2025-10-08,M,U12
Tuzos 2014 Nava,FBSL,498283,1748,6,7,3,16,1272,AZ,4,0.375,94,451,0.9552238805970149,https://rankings.gotsport.com/teams/498283,2025-10-08,M,U12
Milan,AYSO 350 Alliance,413583,1681,15,25,2,42,1309,AZ,4,0.35714285714285715,95,461,0.7238095238095238,https://rankings.gotsport.com/teams/413583,2025-10-08,M,U12
CCV Stars 14 Boys East Pre-ECNL,CCV STARS,330680,1631,17,13,3,33,1352,AZ,4,0.5151515151515151,96,476,1.5294117647058822,https://rankings.gotsport.com/teams/330680,2025-10-08,M,U12
Phoenix Valley Soccer Club boys 2014,Phoenix Valley,492657,1618,11,15,2,28,1358,AZ,4,0.39285714285714285,97,479,0.7021276595744681,https://rankings.gotsport.com/teams/492657,2025-10-08,M,U12
Excel Soccer Academy 14B Black,Excel Soccer Academy,419768,1581,15,5,2,22,1384,AZ,4,0.6818181818181818,98,487,2.175,https://rankings.gotsport.com/teams/419768,2025-10-08,M,U12
RSL-AZ Yuma 14 Boys Rodriguez,RSL-AZ Yuma,493827,1567,7,4,1,12,1390,AZ,4,0.5833333333333334,99,488,1.0,https://rankings.gotsport.com/teams/493827,2025-10-08,M,U12
AZEV B2014 (WHITE),AYSO United (AZ),368573,1513,15,4,5,24,1436,AZ,4,0.625,100,498,1.9622641509433962,https://rankings.gotsport.com/teams/368573,2025-10-08,M,U12
14B Geoff,RSL-AZ Southern AZ,443374,1507,11,22,6,39,1442,AZ,4,0.28205128205128205,101,500,0.628099173553719,https://rankings.gotsport.com/teams/443374,2025-10-08,M,U12
14B NL #2,FC Tucson Youth Soccer,515151,1495,16,9,2,27,1452,AZ,4,0.5925925925925926,102,503,1.8,https://rankings.gotsport.com/teams/515151,2025-10-08,M,U12
