Team Name,Is Arizona,Gender,Total Games,Wins,Losses,Ties,Win Percentage,First Game,Last Game
SCUM East Valley 14B Ninjas,True,M,7,0,7,0,0.0,2025-01-11,2025-09-06
Pumas Tucson 14B,True,M,7,5,2,0,71.42857142857143,2025-09-19,2025-09-21
Gila Valley Ninjas,True,M,7,5,2,0,71.42857142857143,2025-09-20,2025-09-21
Jedi 14B,True,M,6,2,4,0,33.33333333333333,2025-09-19,2025-09-21
Tuzos Nogales 2014,True,M,6,0,6,0,0.0,2025-09-20,2025-09-21
Milan B,True,M,6,0,6,0,0.0,2025-09-27,2025-09-28
ESC - Boys Chandler 15/16,True,M,6,0,6,0,0.0,2025-04-26,2025-04-27
Bala FC - 2014B,True,M,6,2,2,2,33.33333333333333,2025-09-13,2025-09-14
Phoenix Premier FC 14B Pre MLS Next AD,True,M,5,1,4,0,20.0,2025-08-29,2025-09-20
FC ARIZONA PRE ECNL RL B14,True,M,4,3,0,1,75.0,2025-09-26,2025-09-28
Pima Surf 2014 B White,True,M,4,0,4,0,0.0,2025-04-05,2025-09-13
14,False,M,88,73,11,4,82.95454545454545,2024-08-31,2025-09-28
Next Level Soccer Northwest 2014 Boys,False,M,45,11,29,5,24.444444444444443,2024-08-30,2025-04-26
AZ Arsenal Pre-ECNL B15,False,M,41,27,11,3,65.85365853658537,2024-09-14,2025-09-28
14 ECNL #2,False,M,40,25,11,4,62.5,2024-08-31,2025-05-25
14 ECNL #1,False,M,39,28,9,2,71.7948717948718,2024-08-31,2025-05-25
Phoenix United 2015 Academy,False,M,38,21,10,7,55.26315789473685,2024-08-30,2025-04-27
AZ Arsenal 14 Boys Teal 2 SC,False,M,37,15,17,5,40.54054054054054,2024-09-13,2025-04-13
Legends FC AZ 14B FC,False,M,37,26,8,3,70.27027027027027,2024-04-19,2025-05-04
Next Level Soccer Southeast 2014 Boys Red,False,M,37,19,16,2,51.35135135135135,2024-08-31,2025-04-19
CCV STARS 14 Boys Navy PEO,False,M,36,17,16,3,47.22222222222222,2024-09-07,2025-04-26
Madison FC 14 Gold Boys Storm,False,M,35,24,6,5,68.57142857142857,2024-09-07,2025-04-26
CCV STARS 14 Boys Navy LAV,False,M,34,4,26,4,11.76470588235294,2024-09-13,2025-04-27
Excel Soccer Academy 14 Red,False,M,34,21,9,4,61.76470588235294,2024-04-19,2025-05-04
U-11 (2014) Boys Pre Academy,False,M,34,13,18,3,38.23529411764706,2024-09-07,2025-04-26
Legends FC AZ 14B Gold,False,M,33,12,18,3,36.36363636363637,2024-09-14,2025-04-26
AZSC 14B Azanger,False,M,32,24,5,3,75.0,2024-09-21,2025-04-26
AZ Arsenal 14 Boys AYDP,False,M,31,18,12,1,58.06451612903226,2024-09-07,2025-04-27
14B Jimmy,False,M,31,18,9,4,58.06451612903226,2024-09-14,2025-04-27
Scottsdale 14 Sandsharks,False,M,31,24,3,4,77.41935483870968,2024-08-30,2025-04-19
Next Level Soccer Southeast 2014 Boys Blue,False,M,30,16,13,1,53.333333333333336,2024-09-07,2025-04-13
AZ Arsenal 14 Boys Teal 1,False,M,29,8,16,5,27.586206896551722,2024-09-07,2025-04-19
State 48 FC 14 White,False,M,29,12,14,3,41.37931034482759,2024-08-31,2025-05-25
Playmaker Futbol Academy 14B White,False,M,29,8,20,1,27.586206896551722,2024-09-14,2025-04-13
AZ Arsenal 14 Boys Teal 2 AP,False,M,29,9,13,7,31.03448275862069,2024-08-30,2025-04-13
