Team,Date,Opponent,GoalsFor,GoalsAgainst,GoalDiff,expected_gd,gd_delta,impact_bucket,Opponent_BaseStrength,PS_A,PS_B,P_A_win,P_Draw,P_B_win,PredictedWinner,ActualWinner,A_win_actual
14,2024-10-25,PRFC Scottsdale 14B Pre-Academy,5,3,2,1.0,1.0,neutral,0.322,,0.3666,,,,PRFC Scottsdale 14B Pre-Academy,14,1
14,2024-10-24,PRFC Southeast Valley 14B Pre-Academy,8,1,7,3.5,3.5,good,0.162,,0.1734,,,,PRFC Southeast Valley 14B Pre-Academy,14,1
14,2024-10-19,AZEV B2014 (NAVY),4,2,2,1.0,1.0,neutral,0.331,,0.2473,,,,AZEV B2014 (NAVY),14,1
14,2024-10-13,AZ Arsenal 14 Boys Teal 1,5,4,1,0.5,0.5,neutral,0.194,,,,,,AZ Arsenal 14 Boys Teal 1,14,1
14,2024-10-12,East Valley NSFC 14 Boys Aguirre,6,1,5,2.5,2.5,good,0.215,,0.2118,,,,East Valley NSFC 14 Boys Aguirre,14,1
14,2024-10-12,PRFC North Valley 14B Predator,7,2,5,2.5,2.5,good,0.187,,0.1542,,,,PRFC North Valley 14B Predator,14,1
14,2024-09-28,PRFC North Valley 14B Predator,5,2,3,1.5,1.5,good,0.187,,0.1542,,,,PRFC North Valley 14B Predator,14,1
14,2024-09-21,Tuzos Halcones 2014,8,0,8,4.0,4.0,good,0.204,,0.177,,,,Tuzos Halcones 2014,14,1
14,2024-09-14,Legends FC AZ 14B Black,8,2,6,3.0,3.0,good,0.227,,0.279,,,,Legends FC AZ 14B Black,14,1
14,2024-09-01,Madison FC 14 Blue Boys,9,0,9,4.5,4.5,good,0.226,,0.2128,,,,Madison FC 14 Blue Boys,14,1
14,2024-08-31,PSG 14B Blue,6,3,3,1.5,1.5,good,0.315,,0.3368,,,,PSG 14B Blue,14,1
14 Boys Navy,2025-09-20,2014 Boys Yellow,2,6,-4,-2.0,-2.0,weak,0.227,0.1956,0.2871,0.32475007153748425,1.8238858610422294e-05,0.6752316896039054,2014 Boys Yellow,2014 Boys Yellow,0
14 Boys Navy,2025-09-06,Havasu Lions FC 14B Castillo,5,1,4,2.0,2.0,good,0.127,0.1956,,,,,Havasu Lions FC 14B Castillo,14 Boys Navy,1
14 Boys Navy,2025-04-05,AZ Arsenal 14 Boys Teal SC,2,4,-2,-1.0,-1.0,neutral,0.21,0.1956,0.1766,0.4743979428710747,0.11809978379497514,0.4075022733339502,14 Boys Navy,AZ Arsenal 14 Boys Teal SC,0
14 Boys Navy,2025-04-05,AZ Arsenal 14 Boys Teal 2 SC,2,4,-2,-1.0,-1.0,neutral,0.201,0.1956,,,,,AZ Arsenal 14 Boys Teal 2 SC,AZ Arsenal 14 Boys Teal 2 SC,0
14 Boys Navy,2025-03-23,CCV STARS 14 Boys Navy LAV,5,1,4,2.0,2.0,good,0.127,0.1956,,,,,CCV STARS 14 Boys Navy LAV,14 Boys Navy,1
14 Boys Navy,2025-03-23,CCV Stars 14 Boys South Orange,5,1,4,2.0,2.0,good,0.147,0.1956,0.1046,0.6743526208983155,2.0185032192643063e-05,0.32562719406949175,14 Boys Navy,14 Boys Navy,1
14 Boys Navy,2025-03-22,Real Arizona 2014,0,8,-8,-4.0,-4.0,weak,0.322,0.1956,0.3454,0.23175996988592773,2.968941303248571e-12,0.7682400301111033,Real Arizona 2014,Real Arizona 2014,0
14 Boys Navy,2025-03-22,PRFC Southeast Valley 14B Predator-Central,0,0,0,0.0,0.0,neutral,0.168,0.1956,0.1757,0.47813018627494,0.1141080662245824,0.40776174750047767,14 Boys Navy,Draw,0
14 Boys Navy,2025-03-01,Monsters 2014,1,4,-3,-1.5,-1.5,weak,0.292,0.1956,0.3462,0.2306224240031338,2.273187890812558e-12,0.7693775759945929,Monsters 2014,Monsters 2014,0
14 Boys Navy,2025-02-22,Phoenix Premier FC 14B White,4,1,3,1.5,1.5,good,0.134,0.1956,0.1104,0.6640539830406138,6.282856426151363e-05,0.3358831883951246,14 Boys Navy,14 Boys Navy,1
14 Boys Navy,2025-02-15,Phoenix United 2015 Academy,0,4,-4,-2.0,-2.0,weak,0.279,0.1956,,,,,Phoenix United 2015 Academy,Phoenix United 2015 Academy,0
14 Boys Navy,2025-02-08,Scottsdale 14 Sandsharks Black,0,0,0,0.0,0.0,neutral,0.182,0.1956,0.2095,0.40661681132817346,0.13894075525388447,0.45444243341794205,Scottsdale 14 Sandsharks Black,Draw,0
14 Boys Navy,2025-02-01,PRFC West Valley 14B Predator,1,2,-1,-0.5,-0.5,neutral,0.214,0.1956,0.2367,0.4061007595618678,0.029703468252756934,0.5641957721853753,PRFC West Valley 14B Predator,PRFC West Valley 14B Predator,0
14 Boys Navy,2025-01-25,Hustle Hard 2014- Boys,5,1,4,2.0,2.0,good,0.11,0.1956,0.1086,0.6672706139548295,4.4523988909921704e-05,0.33268486205626074,14 Boys Navy,14 Boys Navy,1
14 Boys Navy,2025-01-18,FSC United 14 Boys,6,4,2,1.0,1.0,neutral,0.122,0.1956,0.1168,0.6524485679620093,0.00020164187048886964,0.34734979016750184,14 Boys Navy,14 Boys Navy,1
14 Boys Navy,2025-01-12,14B Hermanson AL,2,0,2,1.0,1.0,neutral,0.212,0.1956,0.1497,0.5796254817025136,0.018884700054463514,0.40148981824302293,14 Boys Navy,14 Boys Navy,1
14 Boys Navy,2025-01-11,Legends FC AZ 14B Black,0,4,-4,-2.0,-2.0,weak,0.227,0.1956,0.279,0.3390942405619188,8.802180957455834e-05,0.6608177376285067,Legends FC AZ 14B Black,Legends FC AZ 14B Black,0
14 Boys Navy,2025-01-11,15B NMarkette,1,2,-1,-0.5,-0.5,neutral,0.163,0.1956,,,,,15B NMarkette,15B NMarkette,0
14 Boys Navy,2024-12-08,FC Elite Arizona 2014 Boys (ARCHIVED),0,8,-8,-4.0,-4.0,weak,0.321,0.1956,0.3086,0.2882291505302341,1.3783399260620146e-07,0.7117707116357733,FC Elite Arizona 2014 Boys (ARCHIVED),FC Elite Arizona 2014 Boys (ARCHIVED),0
14 Boys Navy,2024-12-07,PRFC North Valley 14B Copa,5,2,3,1.5,1.5,good,0.113,0.1956,0.1207,0.6452199601357781,0.0003924211804388057,0.3543876186837831,14 Boys Navy,14 Boys Navy,1
14 Boys Navy,2024-12-06,CCV Stars 14 Boys North Navy,0,2,-2,-1.0,-1.0,neutral,0.189,0.1956,0.1468,0.5880369504538752,0.013987811719787014,0.39797523782633787,14 Boys Navy,CCV Stars 14 Boys North Navy,0
14 Boys Navy,2024-12-06,CCV STARS 14 Boys White PEO,0,2,-2,-1.0,-1.0,neutral,0.207,0.1956,,,,,CCV STARS 14 Boys White PEO,CCV STARS 14 Boys White PEO,0
14 Boys Navy,2024-11-23,Phoenix United 2015 Academy,2,1,1,0.5,0.5,neutral,0.279,0.1956,,,,,Phoenix United 2015 Academy,14 Boys Navy,1
14 Boys Navy,2024-11-10,Select 14/15B Red,2,0,2,1.0,1.0,neutral,0.212,0.1956,,,,,Select 14/15B Red,14 Boys Navy,1
14 Boys Navy,2024-11-10,Phoenix United 2015 Academy,0,3,-3,-1.5,-1.5,weak,0.279,0.1956,,,,,Phoenix United 2015 Academy,Phoenix United 2015 Academy,0
14 Boys Navy,2024-11-10,Select 14B Red,2,0,2,1.0,1.0,neutral,0.207,0.1956,0.1721,0.4934338037707304,0.09769968937907778,0.4088665068501919,14 Boys Navy,14 Boys Navy,1
14 Boys Navy,2024-11-09,14B Bratcher,5,1,4,2.0,2.0,good,0.15,0.1956,,,,,14B Bratcher,14 Boys Navy,1
14 Boys Navy,2024-11-09,14B Midhaan,5,1,4,2.0,2.0,good,0.148,0.1956,0.104,0.6754073415191414,1.787155476120404e-05,0.32457478692609737,14 Boys Navy,14 Boys Navy,1
14 Boys Navy,2024-11-09,AZSC 2014B Pre-NL Premier 2,3,2,1,0.5,0.5,neutral,0.32,0.1956,0.2783,0.3403461931492551,0.00010015924507748634,0.6595536476056674,AZSC 2014B Pre-NL Premier 2,14 Boys Navy,1
14 Boys Navy,2024-11-09,AZSC 14B Azanger,3,2,1,0.5,0.5,neutral,0.34,0.1956,,,,,AZSC 14B Azanger,14 Boys Navy,1
14 Boys Navy,2024-11-02,Synergy FC 14 B,4,1,3,1.5,1.5,good,0.134,0.1956,0.1225,0.6418323740129099,0.0005275272562534633,0.35764009873083663,14 Boys Navy,14 Boys Navy,1
14 Boys Navy,2024-10-26,Tuzos Titanes 2014,3,3,0,0.0,0.0,neutral,0.14,0.1956,0.085,0.7078157335287955,2.502140028734526e-07,0.2921840162572017,14 Boys Navy,Draw,0
14 Boys Navy,2024-09-28,East Valley NSFC 14 Boys Tiggs,7,0,7,3.5,3.5,good,0.085,0.1956,0.0974,0.6868827334167541,4.44312115041788e-06,0.31311282346209546,14 Boys Navy,14 Boys Navy,1
14 Boys Navy,2024-09-21,2014 Boys Blue,3,1,2,1.0,1.0,neutral,0.182,0.1956,0.144,0.5955767635178482,0.010273733515582202,0.3941495029665697,14 Boys Navy,14 Boys Navy,1
14 Boys Navy,2024-09-14,Phoenix United 2015 Academy,3,1,2,1.0,1.0,neutral,0.279,0.1956,,,,,Phoenix United 2015 Academy,14 Boys Navy,1
14 Cityzens,2025-10-04,PRFC Desert Foothills 14B Predator,5,1,4,2.0,2.0,good,0.136,0.1739,0.1013,0.6408846838211768,0.0005719779855867861,0.35854333819323636,14 Cityzens,14 Cityzens,1
14 Cityzens,2025-09-27,14B Laroussi,5,2,3,1.5,1.5,good,0.122,0.1739,0.1166,0.6094604051887703,0.005181127880316623,0.38535846693091313,14 Cityzens,14 Cityzens,1
14 Cityzens,2025-09-14,State 48 FC Avondale 14 White,2,1,1,0.5,0.5,neutral,0.147,0.1739,0.1464,0.5106968417447117,0.07945934269508809,0.4098438155602001,14 Cityzens,14 Cityzens,1
14 Cityzens,2025-09-13,PSC 2014B,2,0,2,1.0,1.0,neutral,0.19,0.1739,0.2089,0.4094587183129069,0.048774244565808964,0.541767037121284,PSC 2014B,14 Cityzens,1
14 Cityzens,2025-09-13,PRFC Southeast Valley 14B Predator,2,5,-3,-1.5,-1.5,weak,0.163,0.1739,0.218,0.4034073632305079,0.022525198162914317,0.5740674386065777,PRFC Southeast Valley 14B Predator,PRFC Southeast Valley 14B Predator,0
14 Cityzens,2025-09-07,Excel Soccer Academy 14B Black,1,6,-5,-2.5,-2.5,weak,0.281,0.1739,0.265,0.3254516765755063,1.9780733732172575e-05,0.6745285426907616,Excel Soccer Academy 14B Black,Excel Soccer Academy 14B Black,0
14 Cityzens,2025-09-06,Playmaker Futbol Academy 14B Black,1,6,-5,-2.5,-2.5,weak,0.204,0.1739,0.331,0.22152524622432954,2.4632719291561414e-13,0.7784747537754242,Playmaker Futbol Academy 14B Black,Playmaker Futbol Academy 14B Black,0
14 Cityzens,2025-09-06,Madison FC 14 Blue Boys,2,7,-5,-2.5,-2.5,weak,0.226,0.1739,0.2128,0.40764730479962746,0.03588876590692946,0.5564639292934431,Madison FC 14 Blue Boys,Madison FC 14 Blue Boys,0
14 Cityzens,2025-08-31,Madison FC 14 White Boys,0,3,-3,-1.5,-1.5,weak,0.258,0.1739,0.235,0.37897904217232586,0.003149211407994697,0.6178717464196795,Madison FC 14 White Boys,Madison FC 14 White Boys,0
14 Cityzens,2025-08-30,PRFC Scottsdale 14B Copa,0,5,-5,-2.5,-2.5,weak,0.119,0.1739,0.1139,0.6154932443687862,0.0036497582469304448,0.3808569973842834,14 Cityzens,PRFC Scottsdale 14B Copa,0
14 Cityzens,2025-08-30,AZ Inferno 14 Boys Blue,3,1,2,1.0,1.0,neutral,0.164,0.1739,0.1537,0.4793846308781008,0.11276381820325881,0.4078515509186404,14 Cityzens,14 Cityzens,1
14 Cityzens,2025-04-19,Scottsdale 14 Sandsharks Select,0,6,-6,-3.0,-3.0,weak,0.476,0.1739,0.3048,0.2597631397702345,1.0780460026584414e-09,0.7402368591517194,Scottsdale 14 Sandsharks Select,Scottsdale 14 Sandsharks Select,0
14 Cityzens,2025-04-19,Scottsdale 14 Sandsharks,0,6,-6,-3.0,-3.0,weak,0.504,0.1739,,,,,Scottsdale 14 Sandsharks,Scottsdale 14 Sandsharks,0
14 Cityzens,2025-04-17,AZSC 14B Azanger,1,2,-1,-0.5,-0.5,neutral,0.34,0.1739,,,,,AZSC 14B Azanger,AZSC 14B Azanger,0
14 Cityzens,2025-04-17,AZSC 2014B Pre-NL Premier 2,1,2,-1,-0.5,-0.5,neutral,0.32,0.1739,0.2783,0.3025463485785534,1.1003975736907836e-06,0.6974525510238729,AZSC 2014B Pre-NL Premier 2,AZSC 2014B Pre-NL Premier 2,0
14 Cityzens,2025-04-15,Next Level Soccer Southeast 2014 Boys Green,0,0,0,0.0,0.0,neutral,0.27,0.1739,,,,,Next Level Soccer Southeast 2014 Boys Green,Draw,0
14 Cityzens,2025-04-15,Southeast 2014 Boys Green,0,0,0,0.0,0.0,neutral,0.258,0.1739,0.2247,0.3952814706291785,0.011241746069682763,0.5934767833011387,Southeast 2014 Boys Green,Draw,0
14 Cityzens,2025-04-04,AZ Arsenal 14 Boys AYDP,3,0,3,1.5,1.5,good,0.23,0.1739,,,,,AZ Arsenal 14 Boys AYDP,14 Cityzens,1
14 Cityzens,2025-04-04,AZ Arsenal 14 Boys Select,3,0,3,1.5,1.5,good,0.243,0.1739,0.2379,0.37393538328930576,0.002106646584457963,0.6239579701262362,AZ Arsenal 14 Boys Select,14 Cityzens,1
14 Cityzens,2025-03-30,Scottsdale 14 Sandsharks Select,0,0,0,0.0,0.0,neutral,0.476,0.1739,0.3048,0.2597631397702345,1.0780460026584414e-09,0.7402368591517194,Scottsdale 14 Sandsharks Select,Draw,0
14 Cityzens,2025-03-30,Scottsdale 14 Sandsharks,0,2,-2,-1.0,-1.0,neutral,0.504,0.1739,,,,,Scottsdale 14 Sandsharks,Scottsdale 14 Sandsharks,0
14 Cityzens,2025-03-29,Playmaker Futbol Academy 14B White,4,0,4,2.0,2.0,good,0.145,0.1739,,,,,Playmaker Futbol Academy 14B White,14 Cityzens,1
14 Cityzens,2025-03-29,Playmaker Futbol Academy 14B Gold,4,0,4,2.0,2.0,good,0.165,0.1739,0.2112,0.408534886895788,0.04088233539217575,0.5505827777120361,Playmaker Futbol Academy 14B Gold,14 Cityzens,1
14 Cityzens,2025-03-29,Real Arizona 2014,6,1,5,2.5,2.5,good,0.322,0.1739,0.3454,0.2022969085209001,1.2828199039021078e-15,0.7977030914790986,Real Arizona 2014,14 Cityzens,1
14 Cityzens,2025-03-16,2014 Boys Blue,1,2,-1,-0.5,-0.5,neutral,0.182,0.1739,0.144,0.5209324773240781,0.06895956711348852,0.4101079555624334,14 Cityzens,2014 Boys Blue,0
14 Cityzens,2025-03-15,PRFC North Valley 15B Copa,3,4,-1,-0.5,-0.5,neutral,0.144,0.1739,,,,,PRFC North Valley 15B Copa,PRFC North Valley 15B Copa,0
14 Cityzens,2025-03-15,Real Arizona 2014,0,4,-4,-2.0,-2.0,weak,0.322,0.1739,0.3454,0.2022969085209001,1.2828199039021078e-15,0.7977030914790986,Real Arizona 2014,Real Arizona 2014,0
14 Cityzens,2025-03-08,State 48 FC Avondale 14 Black,2,3,-1,-0.5,-0.5,neutral,0.189,0.1739,0.1815,0.4082333162533605,0.1579427086379844,0.433823975108655,State 48 FC Avondale 14 Black,State 48 FC Avondale 14 Black,0
14 Cityzens,2025-03-08,State 48 FC 14 White,2,3,-1,-0.5,-0.5,neutral,0.178,0.1739,,,,,State 48 FC 14 White,State 48 FC 14 White,0
14 Cityzens,2025-02-23,State 48 FC Avondale 14 Black,2,3,-1,-0.5,-0.5,neutral,0.189,0.1739,0.1815,0.4082333162533605,0.1579427086379844,0.433823975108655,State 48 FC Avondale 14 Black,State 48 FC Avondale 14 Black,0
14 Cityzens,2025-02-23,State 48 FC 14 White,2,3,-1,-0.5,-0.5,neutral,0.178,0.1739,,,,,State 48 FC 14 White,State 48 FC 14 White,0
14 Cityzens,2025-02-22,Select 14/15B Red,2,1,1,0.5,0.5,neutral,0.212,0.1739,,,,,Select 14/15B Red,14 Cityzens,1
14 Cityzens,2025-02-22,Select 14B Red,2,1,1,0.5,0.5,neutral,0.207,0.1739,0.1721,0.41991811272754087,0.16616726648623528,0.41391462078622393,14 Cityzens,14 Cityzens,1
14 Cityzens,2025-02-22,PSG 15B Blue,1,1,0,0.0,0.0,neutral,0.299,0.1739,,,,,PSG 15B Blue,Draw,0
14 Cityzens,2025-02-15,CCV Stars 14 Boys West Orange,1,2,-1,-0.5,-0.5,neutral,0.189,0.1739,0.2009,0.40975262497552134,0.08170241736558911,0.5085449576588895,CCV Stars 14 Boys West Orange,CCV Stars 14 Boys West Orange,0
14 Cityzens,2025-02-09,BRAZAS FC 2015 Boys Black,0,7,-7,-3.5,-3.5,weak,0.396,0.1739,,,,,BRAZAS FC 2015 Boys Black,BRAZAS FC 2015 Boys Black,0
14 Cityzens,2025-02-08,AZ Arsenal 14 Boys Teal 2 SC,0,2,-2,-1.0,-1.0,neutral,0.201,0.1739,,,,,AZ Arsenal 14 Boys Teal 2 SC,AZ Arsenal 14 Boys Teal 2 SC,0
