Team,Date,Opponent,GoalsFor,GoalsAgainst,GoalDiff,expected_gd,gd_delta,impact_bucket,Opponent_BaseStrength
14B Engilman,2024-10-26,14B Velasco,0,6,-6,-3.0,-3.0,weak,0.259
14B Engilman,2024-10-26,14B Jimmy,0,6,-6,-3.0,-3.0,weak,0.282
14B Engilman,2024-10-05,Tuzos Academy Mesa 2014,1,1,0,0.0,0.0,neutral,0.208
14B Engilman,2024-09-15,14B OMolina,1,2,-1,-0.5,-0.5,neutral,0.176
14B Engilman,2024-09-15,14B Moyer,1,2,-1,-0.5,-0.5,neutral,0.197
14B Engilman,2024-09-15,Next Level Soccer Northwest 2014 Boys,1,3,-2,-1.0,-1.0,neutral,0.155
14B Engilman,2024-09-15,Northwest 2014 Boys,1,3,-2,-1.0,-1.0,neutral,0.155
14B Engilman,2024-09-14,Legends FC AZ 14B Gold,5,3,2,1.0,1.0,neutral,0.186
14B Engilman,2024-09-14,Dynamos SC 14B Gold,5,3,2,1.0,1.0,neutral,0.182
14B Engilman,2024-09-13,PRFC North Valley 14B Copa,3,0,3,1.5,1.5,good,0.113
14B Engilman,2024-09-07,PRFC Southeast Valley 14B Pre-Academy,2,1,1,0.5,0.5,neutral,0.162
14B Felix Nogales,2025-09-28,Deportivo Mexico 14B,2,2,0,0.0,0.0,neutral,0.158
14B Felix Nogales,2025-09-27,Milan,0,3,-3,-1.5,-1.5,weak,0.146
14B Felix Nogales,2025-09-27,CAC 14/15B (Conroy),3,3,0,0.0,0.0,neutral,0.141
14B Felix Nogales,2025-09-26,SFC XOLOS ARIZONA 2014,3,5,-2,-1.0,-1.0,neutral,0.286
14B Felix Nogales,2025-04-06,Pima Surf Academy Boys 15,5,3,2,1.0,1.0,neutral,0.176
14B Felix Nogales,2025-04-05,VSC 2014 Boys White,6,0,6,3.0,3.0,good,0.155
14B Felix Nogales,2025-03-15,Milan,3,2,1,0.5,0.5,neutral,0.146
14B Felix Nogales,2025-03-15,Santos 15B,8,0,8,4.0,4.0,good,0.097
14B Felix Nogales,2025-02-16,CAC 14/15B (Conroy),4,2,2,1.0,1.0,neutral,0.141
14B Felix Nogales,2025-02-15,14B Hinds,0,5,-5,-2.5,-2.5,weak,0.215
14B Felix Nogales,2025-01-19,VSC 2014 Boys White,4,1,3,1.5,1.5,good,0.155
14B Felix Nogales,2025-01-18,AZEV B2014 (WHITE),2,5,-3,-1.5,-1.5,weak,0.262
14B Felix Nogales,2024-12-15,14 Cityzens,3,8,-5,-2.5,-2.5,weak,0.192
14B Felix Nogales,2024-12-14,PRFC Desert Foothills 14B Predator,3,3,0,0.0,0.0,neutral,0.136
14B Felix Nogales,2024-10-05,West Valley 2014 Boys Martinez Pre-Elite64,1,7,-6,-3.0,-3.0,weak,0.272
14B Felix Nogales,2024-10-05,FC Sonora 14' B Dynamo,8,0,8,4.0,4.0,good,0.107
14B Felix Nogales,2024-09-21,AZ Arsenal 13 Boys Teal 2 Don,0,5,-5,-2.5,-2.5,weak,0.202
14B Flores,2025-04-27,Playmaker Futbol Academy 14B Black,5,6,-1,-0.5,-0.5,neutral,0.204
14B Flores,2025-04-26,14B Moyer,3,1,2,1.0,1.0,neutral,0.197
14B Flores,2025-04-13,CCV Stars 14 Boys North Orange,6,0,6,3.0,3.0,good,0.205
14B Flores,2025-04-12,Phoenix Valley Soccer Club boys 2014,10,0,10,5.0,5.0,good,0.171
14B Flores,2025-03-29,West Valley 2014 Boys Martinez Pre-Elite64,4,1,3,1.5,1.5,good,0.272
14B Flores,2025-03-02,14B JDeutsch Pre-MLS Next,2,6,-4,-2.0,-2.0,weak,0.241
