team,v52b_rank,v52b_score,v53_rank,v53_score,delta_rank,delta_score
fsc united 14 boys flagstaff sc,105,0.117,105,0.1172,0,0.00019999999999999185
prfc scottsdale 14b copa phoenix rising fc,106,0.1144,106,0.1147,0,0.0002999999999999947
phoenix valley soccer club boys 2014 phoenix valley,107,0.1142,107,0.1148,0,0.0006000000000000033
14b geoff rsl-az southern az,108,0.111,108,0.1123,0,0.0012999999999999956
phoenix premier fc 14b white phoenix premier fc,109,0.1089,109,0.1104,0,0.0015000000000000013
ccv stars 14 boys south orange ccv stars,112,0.1052,110,0.1067,2,0.0015000000000000013
milan ayso 350 alliance,110,0.1084,111,0.1056,-1,-0.002799999999999997
14b nl #2 fc tucson youth soccer,114,0.2907,112,0.2946,2,0.003899999999999959
14b midhaan rsl-az north,113,0.104,113,0.1039,0,-9.999999999998899e-05
hustle hard 2014- boys fbsl,111,0.1071,114,0.1045,-3,-0.002600000000000005
prfc desert foothills 14b predator phoenix rising desert foothills,115,0.1009,115,0.0995,0,-0.0013999999999999985
east valley nsfc 14 boys tiggs east valley/nsfc,116,0.0975,116,0.0978,0,0.0002999999999999947
14b rayados blue al rsl-az southern az,117,0.3044,117,0.2988,0,-0.005599999999999994
rsl-az yuma 14 boys rodriguez rsl-az yuma,118,0.2573,118,0.2536,0,-0.003699999999999981
deportivo mexico 14b renegades soccer club,119,0.1256,119,0.1257,0,0.00010000000000001674
tuzos titanes 2014 fbsl,123,0.0853,120,0.089,3,0.003699999999999995
monsters 2014 united latinos sc,120,0.3467,121,0.3466,-1,-9.999999999998899e-05
fc arizona 14b black gfc suenaga u12 fc arizona,121,0.2862,122,0.2873,-1,0.0010999999999999899
fc elite arizona 2014 boys - urbina fc elite arizona,122,0.2096,123,0.2045,-1,-0.005100000000000021
vsc 2014 boys white vail sc,124,0.1415,124,0.1377,0,-0.003799999999999998
pima surf 2014 b blue pima county surf soccer club,125,0.1576,125,0.1569,0,-0.0006999999999999784
14b laroussi rsl-az south,126,0.1164,126,0.1119,0,-0.004500000000000004
psc 2014/15b paladin soccer club,127,0.5251,127,0.5235,0,-0.0016000000000000458
pima surf 2014 b white pima county surf soccer club,128,0.7084,128,0.709,0,0.0005999999999999339
asa 014b magic arizona soccer academy,129,0.0822,129,0.0842,0,0.0020000000000000018
madison fc 14 white boys madison fc,130,0.2361,130,0.2375,0,0.0013999999999999846
america 14b renegades soccer club,131,0.1796,131,0.1834,0,0.003799999999999998
fc sonora 14' b dynamo fc sonora,132,0.1061,132,0.1075,0,0.0013999999999999985
tuzos chandler 2014 boys fbsl,133,0.2555,133,0.2525,0,-0.0030000000000000027
az inferno 14 boys blue az inferno,134,0.1544,134,0.1552,0,0.0007999999999999952
psc 2014b paladin soccer club,135,0.2039,135,0.1999,0,-0.0040000000000000036
fc arizona pre ecnl rl b14 fc arizona,136,0.3214,136,0.3351,0,0.01369999999999999
azsc 2014/2015b navy arizona soccer club,137,0.1676,137,0.1661,0,-0.0015000000000000013
gila valley ninjas ayso 350 alliance,138,0.2785,138,0.2772,0,-0.0013000000000000234
state 48 fc avondale 14 white state 48 fc,139,0.1468,139,0.144,0,-0.0028000000000000247
phoenix premier fc 14b pre mls next ad phoenix premier fc,140,0.1863,140,0.1802,0,-0.006099999999999994
pumas tucson 14b renegades soccer club,141,0.2441,141,0.2438,0,-0.00030000000000002247
spartak academy 2014 boys spartak academy,142,0.1563,142,0.1552,0,-0.0010999999999999899
scum east valley 14b ninjas sc union maricopa academy,143,0.0822,143,0.0842,0,0.0020000000000000018
bala fc - 2014b bala fc,144,0.1862,144,0.1861,0,-0.00010000000000001674
jedi 14b renegades soccer club,145,0.1939,145,0.1922,0,-0.0016999999999999793
milan b ayso 350 alliance,147,0.1712,146,0.1738,1,0.002600000000000019
tuzos nogales 2014 fbsl,146,0.1664,147,0.1628,-1,-0.003599999999999992
esc - boys chandler 15/16 epic soccer club,148,0.1002,148,0.1025,0,0.0022999999999999965
