Team Name,Total Games,Wins,Losses,Ties,Win Percentage,First Game,Last Game
AZ Arsenal 14 Boys Teal 2 AP,32,11,14,7,34.375,2024-08-30,2025-04-13
15B Chacon,31,12,15,4,38.70967741935484,2024-08-31,2025-03-21
14B Felix Nogales,31,12,14,5,38.70967741935484,2024-09-21,2025-09-28
Playmaker Futbol Academy 14B White,31,9,21,1,29.03225806451613,2024-09-14,2025-04-13
14B NL #2,30,17,12,1,56.666666666666664,2024-09-21,2025-09-21
14B Laroussi,30,6,24,0,20.0,2024-09-14,2025-09-27
Next Level Soccer Southeast 2014 Boys Blue,30,16,13,1,53.333333333333336,2024-09-07,2025-04-13
CCV STARS 14 Boys Orange LAV,30,11,16,3,36.666666666666664,2024-04-20,2025-04-27
2014 Boys (Walker),29,18,10,1,62.06896551724138,2024-09-07,2025-04-06
AZ Arsenal 14 Boys Teal 1,29,8,16,5,27.586206896551722,2024-09-07,2025-04-19
State 48 FC 14 White,29,12,14,3,41.37931034482759,2024-08-31,2025-05-25
14B Hermanson 2,29,7,17,5,24.137931034482758,2024-09-20,2025-04-06
Phoenix Premier FC 14B SW,28,16,12,0,57.14285714285714,2024-09-07,2025-04-27
14B OMolina,28,11,15,2,39.285714285714285,2024-09-14,2025-04-26
U-12 (2014) Boys Yuma Pre Academy,28,12,14,2,42.857142857142854,2024-09-07,2025-09-07
14B JCFresquez Pre-MLS Next,28,11,14,3,39.285714285714285,2024-09-14,2025-04-27
CDO 15B Premier,28,21,3,4,75.0,2024-09-28,2025-04-06
Tuzos Titanes 2014,28,9,16,3,32.142857142857146,2024-09-14,2025-09-20
15B NMarkette,28,9,15,4,32.142857142857146,2024-09-07,2025-04-26
CCV STARS 14 Boys White PEO,27,11,16,0,40.74074074074074,2024-09-07,2025-04-26
Select 14/15B Red,27,8,16,3,29.629629629629626,2024-09-14,2025-04-27
AZ Arsenal 15 Boys Teal 1 JZ,26,16,8,2,61.53846153846154,2024-09-14,2025-04-26
CCV STARS 14 Boys EAV,26,13,10,3,50.0,2024-09-13,2025-04-06
14B Bratcher,26,5,19,2,19.230769230769234,2024-09-07,2025-04-19
2014 Elite,26,21,4,1,80.76923076923077,2025-02-07,2025-09-28
AZ Arsenal 14 Boys Teal 2 PJ,25,6,18,1,24.0,2024-08-31,2025-04-13
ASA 014B Magic,25,0,25,0,0.0,2024-09-07,2025-09-20
PRFC Southeast Valley 15B Predator,23,14,5,4,60.86956521739131,2024-09-28,2025-04-05
2014/15 Boys (Pena),23,9,13,1,39.130434782608695,2024-09-07,2025-04-06
Monsters 2014,23,18,3,2,78.26086956521739,2024-09-14,2025-09-20
Phoenix United FC 2014 Premier,23,10,10,3,43.47826086956522,2024-10-18,2025-05-25
Next Level Soccer Southeast 2014 Boys Green,22,11,7,4,50.0,2024-08-31,2025-04-19
14B Flores,22,7,12,3,31.818181818181817,2024-09-21,2025-04-27
FC ARIZONA 14 GFC VELAZCO,22,6,13,3,27.27272727272727,2024-09-14,2025-04-05
14B Velasco Pre-MLS Next,22,13,5,4,59.09090909090909,2024-09-14,2025-04-13
CCV STARS 14 Boys Navy SUR,22,9,12,1,40.909090909090914,2024-09-07,2025-04-06
Phoenix Premier FC 14B CG,22,16,4,2,72.72727272727273,2024-10-26,2025-05-03
Excel Soccer Academy 14 Black,22,13,7,2,59.09090909090909,2024-04-27,2025-03-22
La Academia 14B,22,7,13,2,31.818181818181817,2024-09-07,2025-10-04
14B E64 #1,22,9,10,3,40.909090909090914,2024-09-21,2025-04-06
14B Castro Rueda,21,7,13,1,33.33333333333333,2024-09-07,2025-03-08
AZSC 15B Navy,21,13,7,1,61.904761904761905,2024-08-30,2025-03-23
FC Elite Arizona 2014 Boys - Urbina,20,9,8,3,45.0,2025-08-29,2025-09-28
Excel Soccer Academy 14 White,20,4,14,2,20.0,2024-09-14,2025-02-22
Rayitos 14B2,20,4,13,3,20.0,2024-09-28,2025-03-08
Next Level Soccer Southeast 2015 Boys Red,20,10,6,4,50.0,2024-10-18,2025-04-05
LAFC 14 BOYS,20,7,11,2,35.0,2024-09-07,2025-04-27
America 14b,20,6,14,0,30.0,2024-10-05,2025-09-28
Pima Surf Academy Boys 14,19,9,7,3,47.368421052631575,2024-09-21,2025-02-28
AZ Arsenal 14 Boys Verde Valley,19,6,10,3,31.57894736842105,2024-10-12,2025-03-30
PRFC West Valley 15B Copa,19,9,10,0,47.368421052631575,2024-08-30,2025-04-06
Atletico Tuzos Mesa 2014,18,4,12,2,22.22222222222222,2024-09-14,2025-03-30
West Valley 2015 Boys Valencia Pre-Elite 64,18,6,9,3,33.33333333333333,2024-11-02,2025-03-23
Phoenix United 2015 Elite,18,2,14,2,11.11111111111111,2024-08-31,2025-09-28
Next Level Soccer Southeast 2015 Boys Blue,18,9,6,3,50.0,2025-01-10,2025-04-27
Tuzos Royals 14 Academy,18,10,8,0,55.55555555555556,2024-09-14,2025-03-01
PSC 2014/15B,18,3,14,1,16.666666666666664,2024-09-27,2025-09-20
Next Level Soccer Northwest 2015 Boys Black,17,9,6,2,52.94117647058824,2024-10-25,2025-04-05
SFC XOLOS ARIZONA 2014,17,14,2,1,82.35294117647058,2025-03-29,2025-10-04
Pima Surf 2014 B White,16,2,13,1,12.5,2024-09-28,2025-09-13
RSL-AZ Yuma 14 Boys Rodriguez,16,8,7,1,50.0,2024-09-14,2025-08-17
14B E64 #2,16,9,7,0,56.25,2024-09-21,2025-03-23
14B Al,15,4,11,0,26.666666666666668,2024-09-14,2025-03-07
FC Elite Arizona 2014 Boys - Martinez,15,13,2,0,86.66666666666667,2025-08-29,2025-09-28
Phoenix United 2014B West,15,14,1,0,93.33333333333333,2024-09-07,2025-04-19
14B Rayados Blue AL,15,3,7,5,20.0,2024-09-21,2025-10-05
2014B Felix Nogales,15,8,6,1,53.333333333333336,2024-10-05,2025-04-05
AZ Inferno 14 Boys Blue,15,5,10,0,33.33333333333333,2025-08-29,2025-10-04
State 48 FC 14 Archive,14,5,8,1,35.714285714285715,2024-09-21,2025-01-18
Madison FC 14 White Boys,14,8,2,4,57.14285714285714,2025-08-29,2025-09-13
State 48 FC 14 Black,14,5,8,1,35.714285714285715,2024-04-20,2025-01-18
CDO 15B Elite,13,7,5,1,53.84615384615385,2024-12-28,2025-04-06
CCV STARS 14 Boys Orange SUR,13,1,10,2,7.6923076923076925,2024-04-20,2025-03-02
2014/15 Boys (Pino),13,4,9,0,30.76923076923077,2024-09-07,2025-03-08
RSL-AZ Yuma 14 Boys Heredia,13,8,4,1,61.53846153846154,2024-09-14,2025-02-16
Tuzos Academy Mesa 2015,13,4,7,2,30.76923076923077,2024-08-31,2025-02-22
Brazas 2014 Boys White Filipe,13,7,5,1,53.84615384615385,2024-09-14,2025-03-01
Next Level Soccer Southeast 2015 Boys Black,12,7,3,2,58.333333333333336,2024-11-29,2025-03-22
RSLAZ Southern14B Rayados,12,3,6,3,25.0,2024-09-21,2025-02-28
AZSC 15B White,12,6,6,0,50.0,2024-12-14,2025-05-25
329 Rangers 14B,12,7,3,2,58.333333333333336,2024-10-19,2025-03-08
Phoenix United 2014 Mendez,12,2,10,0,16.666666666666664,2024-09-07,2025-03-08
Playmaker Futbol Academy 13B Black,12,9,1,2,75.0,2024-08-31,2025-04-25
BRAZAS FC 2015 Boys Black,12,9,2,1,75.0,2025-01-24,2025-09-27
U-11 (2014) Boys Yuma,11,4,6,1,36.36363636363637,2024-09-07,2025-02-08
PRFC Desert Foothills 15B Predator,11,5,6,0,45.45454545454545,2024-12-14,2025-04-06
Argentina 14b,11,2,9,0,18.181818181818183,2024-10-05,2025-04-06
CCV STARS 15 Boys Orange PEO,11,4,4,3,36.36363636363637,2025-01-10,2025-03-22
PSC 2014B,11,2,7,2,18.181818181818183,2025-09-13,2025-09-27
Tuzos Chandler 2014 boys,11,2,9,0,18.181818181818183,2025-09-06,2025-10-04
State 48 FC Avondale 14 White,10,2,7,1,20.0,2025-09-06,2025-09-27
PRFC North Valley 15B Predator,10,3,5,2,30.0,2025-02-22,2025-04-06
PRFC Scottsdale 15B Predator,10,5,4,1,50.0,2024-12-14,2025-04-26
Santos 15B,10,1,9,0,10.0,2025-01-25,2025-05-25
AZSC 2014/2015B Navy,10,3,7,0,30.0,2025-09-06,2025-10-04
CCV STARS 15 Boys Orange SUR,10,6,4,0,60.0,2024-09-07,2025-03-30
Tuzos CR,10,1,7,2,10.0,2025-03-28,2025-04-06
Pima Surf Academy Boys 15,10,4,5,1,40.0,2025-02-14,2025-05-25
15B Vyas,10,7,3,0,70.0,2025-02-20,2025-04-27
CCV STARS 14 Boys Orange PEO,10,3,6,1,30.0,2024-04-19,2025-04-27
PRFC North Valley14B Predator,10,5,3,2,50.0,2024-09-14,2025-03-16
PRFC West Valley 15B Predator,9,3,5,1,33.33333333333333,2024-12-13,2025-04-13
