Team_A,Team_B,Team_A_Offensive,Team_A_Defensive,Team_B_Offensive,Team_B_Defensive,Team_A_Goals,Team_B_Goals,Date,Event
2014B West,Playmaker Futbol Academy 14B Gold,4.419753086419753,1.9753086419753085,2.2278481012658227,3.481012658227848,4,0,9/14/2024,2024-25 MaxinMotion Open League Season 1
Phoenix Premier FC 14B Black,2014B West,3.1686746987951806,3.3493975903614457,4.419753086419753,1.9753086419753085,2,3,9/8/2024,FSC Champions Cup (Boys - 2024)
Southeast 2014 Boys Blue,2014B West,3.3513513513513513,2.2837837837837838,4.419753086419753,1.9753086419753085,4,1,9/7/2024,FSC Champions Cup (Boys - 2024)
2014B West,Playmaker Futbol Academy 14B Gold,4.419753086419753,1.9753086419753085,2.2278481012658227,3.481012658227848,5,3,9/7/2024,FSC Champions Cup (Boys - 2024)
2014B West,Tuzos Academy Mesa 2014,4.419753086419753,1.9753086419753085,3.0675675675675675,3.2432432432432434,5,0,9/1/2024,Phoenix Rising Cup 2024
2014B West,Playmaker Futbol Academy 14B Gold,4.419753086419753,1.9753086419753085,2.2278481012658227,3.481012658227848,6,1,8/31/2024,Phoenix Rising Cup 2024
PRFC Scottsdale 14B Pre-Academy,2014B West,4.333333333333333,1.8533333333333333,4.419753086419753,1.9753086419753085,5,8,8/31/2024,Phoenix Rising Cup 2024
2014 Elite,Southeast 2014 Boys Blue,5.0,1.1,3.3513513513513513,2.2837837837837838,3,0,9/28/2025,The Derby 2025
2014 Elite,Tuzos Royals 2014,5.0,1.1,2.560747663551402,2.046728971962617,9,0,4/13/2025,Rivalries Cup 2025
Southeast 2014 Boys Blue,2014 Elite,3.3513513513513513,2.2837837837837838,5.0,1.1,0,10,4/13/2025,Rivalries Cup 2025
AZ Arsenal Pre-ECNL B14,2014 Elite,4.012345679012346,2.074074074074074,5.0,1.1,1,8,4/12/2025,Rivalries Cup 2025
2014 Elite,Southeast 2014 Boys Red,5.0,1.1,2.7083333333333335,1.9895833333333333,7,1,4/12/2025,Rivalries Cup 2025
14B GSA,2014 Elite,4.601503759398496,1.962406015037594,5.0,1.1,1,1,3/30/2025,Tuzos Challenge 2025
2014 Elite,Legends FC AZ 14B Black,5.0,1.1,3.0,2.5,1,0,3/23/2025,2025 Phoenix Cup - Boys Weekend
2014 Elite,Tuzos Royals 2014,5.0,1.1,2.560747663551402,2.046728971962617,4,0,3/22/2025,2025 Phoenix Cup - Boys Weekend
Playmaker Futbol Academy 14B Black,2014 Elite,2.9080459770114944,2.4827586206896552,5.0,1.1,3,1,2/8/2025,Desert Classic 2025
14B GSA,AZ Arsenal Pre-ECNL B14,4.601503759398496,1.962406015037594,4.012345679012346,2.074074074074074,0,3,9/28/2025,The Derby 2025
Southeast 2014 Boys Green,14B GSA,3.032258064516129,2.032258064516129,4.601503759398496,1.962406015037594,6,0,9/27/2025,The Derby 2025
2014B West,14B GSA,4.419753086419753,1.9753086419753085,4.601503759398496,1.962406015037594,0,0,9/26/2025,The Derby 2025
2014B West,14B GSA,4.419753086419753,1.9753086419753085,4.601503759398496,1.962406015037594,7,0,9/7/2025,FSC Champions Cup (Boys - 2025)
14B GSA,PRFC North Valley 14B Predator,4.601503759398496,1.962406015037594,2.263157894736842,3.263157894736842,1,0,9/6/2025,FSC Champions Cup (Boys - 2025)
AZ Arsenal Pre-ECNL B14,14B GSA,4.012345679012346,2.074074074074074,4.601503759398496,1.962406015037594,3,4,4/13/2025,Rivalries Cup 2025
Southeast 2014 Boys Red,14B GSA,2.7083333333333335,1.9895833333333333,4.601503759398496,1.962406015037594,1,2,4/12/2025,Rivalries Cup 2025
14B GSA,Southeast 2014 Boys Blue,4.601503759398496,1.962406015037594,3.3513513513513513,2.2837837837837838,5,3,4/12/2025,Rivalries Cup 2025
Madison FC 14 Gold Boys,14B GSA,3.7160493827160495,1.5061728395061729,4.601503759398496,1.962406015037594,3,3,3/9/2025,2025 Ostrich Festival
AZEV B2014 (NAVY),14B GSA,3.8095238095238093,1.5,4.601503759398496,1.962406015037594,8,4,3/1/2025,2024-25 MaxinMotion Open League Season 2
14B GSA,PRFC Southeast Valley 14B Pre-Academy,4.601503759398496,1.962406015037594,2.1636363636363636,3.727272727272727,7,1,2/8/2025,2024-25 MaxinMotion Open League Season 2
East Valley NSFC 14 Boys Aguirre,14B GSA,2.63768115942029,2.681159420289855,4.601503759398496,1.962406015037594,1,8,2/1/2025,2024-25 MaxinMotion Open League Season 2
14B GSA,Southeast 2014 Boys Red,4.601503759398496,1.962406015037594,2.7083333333333335,1.9895833333333333,4,2,1/26/2025,2025 AZ Soccer Clash hosted by Phoenix Premier FC
14B GSA,Phoenix Premier FC 14B Black,4.601503759398496,1.962406015037594,3.1686746987951806,3.3493975903614457,7,1,1/25/2025,2025 AZ Soccer Clash hosted by Phoenix Premier FC
2014B West,14B GSA,4.419753086419753,1.9753086419753085,4.601503759398496,1.962406015037594,3,6,1/24/2025,2025 AZ Soccer Clash hosted by Phoenix Premier FC
14B GSA,14B Engilman,4.601503759398496,1.962406015037594,2.4918032786885247,2.9344262295081966,4,1,1/11/2025,2024-25 MaxinMotion Open League Season 2
14B GSA,2014B West,4.601503759398496,1.962406015037594,4.419753086419753,1.9753086419753085,1,4,12/8/2024,Christmas Angel 2024
