Date,Team A,Team B,Score A,Score B,Result A,Result B,Event,Competition,Division,Venue,Location,Match ID,Original Team ID,Original Team Rank
2024-03-23,Phoenix United 2014 Academy,CCV Stars 14 Boys South Pre-ECNL,4,1,W,L,2024 Copper State Challenge,Copper State Challenge,U10B 10u Boys Piestewa Peak,Arizona Athletic Grounds,"1 Legacy Drive, Mesa, AZ 85212",15048127,128663,650
2024-02-25,Octane FC 14 B,CCV Stars 14 Boys South Pre-ECNL,2,5,L,W,2024 Max Shacknai Invitational,Phoenix Rising FC Tournaments - Max Shacknai Invitational,U10B U10B SUPER - 7v7,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",14384296,128663,650
2024-02-24,CCV Stars 14 Boys South Pre-ECNL,Next Level Soccer 2015 Boys Black,3,3,T,T,2024 Max Shacknai Invitational,Phoenix Rising FC Tournaments - Max Shacknai Invitational,U10B U10B SUPER - 7v7,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",14384299,128663,650
2024-02-24,EV-NSFC 14 Boys Perez(1),CCV Stars 14 Boys South Pre-ECNL,0,8,L,W,2024 Max Shacknai Invitational,Phoenix Rising FC Tournaments - Max Shacknai Invitational,U10B U10B SUPER - 7v7,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",14384301,128663,650
2024-01-14,CCV Stars 14 Boys South Pre-ECNL,Las Vegas Impact 2014 Red,6,4,W,L,CCV Stars Champions Cup 2024,CCV Stars Champions Cup,U10B Boys U10 Gold - 7v7,Reach 11 Sports Complex (CCV STARS),"2425 E Deer Valley Rd , Phoenix, AZ 85050",13843940,128663,650
2024-01-13,CCV Stars 14 Boys South Pre-ECNL,14 Boys Navy,8,1,W,L,CCV Stars Champions Cup 2024,CCV Stars Champions Cup,U10B Boys U10 Gold - 7v7,Reach 11 Sports Complex (CCV STARS),"2425 E Deer Valley Rd , Phoenix, AZ 85050",13843936,128663,650
2024-01-12,CCV Stars 14 Boys South Pre-ECNL,AZ Inferno 14 Boy Black,10,0,W,L,CCV Stars Champions Cup 2024,CCV Stars Champions Cup,U10B Boys U10 Gold - 7v7,Reach 11 Sports Complex (CCV STARS),"2425 E Deer Valley Rd , Phoenix, AZ 85050",13843934,128663,650
2023-12-10,14 Boys OMolina,CCV Stars 14 Boys South Pre-ECNL,2,4,L,W,RSL-AZ Holiday Classic 2023,Holiday Classic,U10B U10 Boys Qatar,Snedigar Sports Complex (RSL- S),"4511 S Alma School Rd, Chandler, AZ 85248",13649625,128663,650
2023-12-10,CCV Stars 14 Boys South Pre-ECNL,14 B. Blue East 1,3,3,T,T,RSL-AZ Holiday Classic 2023,Holiday Classic,U10B U10 Boys Qatar,Snedigar Sports Complex (RSL- S),"4511 S Alma School Rd, Chandler, AZ 85248",13649613,128663,650
2023-12-09,CCV Stars 14 Boys South Pre-ECNL,15 Boys Clay,6,0,W,L,RSL-AZ Holiday Classic 2023,Holiday Classic,U10B U10 Boys Qatar,Wild Horse Pass,"19593 South 48th Street , Chandler, AZ 85226",13649623,128663,650
2023-12-08,PRFC Desert Foothills 14 Boys Pre-Academy,CCV Stars 14 Boys South Pre-ECNL,3,4,L,W,RSL-AZ Holiday Classic 2023,Holiday Classic,U10B U10 Boys Qatar,Snedigar Sports Complex (RSL- S),"4511 S Alma School Rd, Chandler, AZ 85248",13649615,128663,650
2023-11-05,CCV Stars 14 Boys South Pre-ECNL,PFA 14 Boys Gold,7,0,W,L,2023 Rush Cup ,2025 Rush Cup ,U10B U10B SILVER,Scottsdale Sport Complex ( Rush Cup),"8081 E Princess Dr , Scottsdale, AZ 85255",13337770,128663,650
2023-11-04,2014 Tuzos Academy FV,CCV Stars 14 Boys South Pre-ECNL,2,1,W,L,2023 Rush Cup ,2025 Rush Cup ,U10B U10B SILVER,Scottsdale Sport Complex ( Rush Cup),"8081 E Princess Dr , Scottsdale, AZ 85255",13337766,128663,650
2023-11-04,CCV Stars 14 Boys South Pre-ECNL,AZ Arsenal 14 Boys Teal 4,7,0,W,L,2023 Rush Cup ,2025 Rush Cup ,U10B U10B SILVER,Scottsdale Sport Complex ( Rush Cup),"8081 E Princess Dr , Scottsdale, AZ 85255",13337764,128663,650
2023-10-15,CCV Stars 14 Boys South Pre-ECNL,FC ARIZONA 14 FISCHER,4,0,W,L,2023 Ahwatukee Classic Soccer Tournament,Ahwatukee Classic ,U10B BU10 SUPER PRO,Scottsdale Sports Complex (FC Arizona),"8081 E Princess Drive , Scottsdale, AZ 85255",13255154,128663,650
2023-10-14,CCV Stars 14 Boys South Pre-ECNL,AZ Inferno 14 Boys Black,3,0,W,L,2023 Ahwatukee Classic Soccer Tournament,Ahwatukee Classic ,U10B BU10 SUPER PRO,Scottsdale Sports Complex (FC Arizona),"8081 E Princess Drive , Scottsdale, AZ 85255",13255152,128663,650
2023-10-14,14 Boys Mendez GSA,CCV Stars 14 Boys South Pre-ECNL,1,1,T,T,2023 Ahwatukee Classic Soccer Tournament,Ahwatukee Classic ,U10B BU10 SUPER PRO,Scottsdale Sports Complex (FC Arizona),"8081 E Princess Drive , Scottsdale, AZ 85255",13255148,128663,650
2023-09-17,CCV Stars 14 Boys South Pre-ECNL,PRFC North Valley 14B Copa - Garrish,2,1,W,L,2023 Cactus Kick Off,Cactus Kick Off,U10B U10 Boys France,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",12911424,128663,650
2023-09-17,PRFC North Valley 14B Copa - Garrish,CCV Stars 14 Boys South Pre-ECNL,1,0,W,L,2023 Cactus Kick Off,Cactus Kick Off,U10B U10 Boys France,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",12911419,128663,650
2023-09-16,14 Boys Marin,CCV Stars 14 Boys South Pre-ECNL,2,5,L,W,2023 Cactus Kick Off,Cactus Kick Off,U10B U10 Boys France,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",12911421,128663,650
2023-09-16,CCV Stars 14 Boys South Pre-ECNL,Brazas 2014 Boys Gold Pacifico,1,0,W,L,2023 Cactus Kick Off,Cactus Kick Off,U10B U10 Boys France,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",12911422,128663,650
2023-02-19,CCV Stars 14 Boys South Pre-ECNL,Rayados AZ 2014,3,6,L,W,2023 TMSFC Jacob's Classic,TMSFC Jacob's Classic,U9B Belize,Kino South,"2343 E. Tournament Way , Tucson , AZ 85714",9865756,128663,650
2023-02-19,Gunners FC 14B,CCV Stars 14 Boys South Pre-ECNL,2,1,W,L,2023 TMSFC Jacob's Classic,TMSFC Jacob's Classic,U9B Belize,Kino South,"2343 E. Tournament Way , Tucson , AZ 85714",9865758,128663,650
2023-02-18,Phoenix Premier FC 14B CG,CCV Stars 14 Boys South Pre-ECNL,5,4,W,L,2023 TMSFC Jacob's Classic,TMSFC Jacob's Classic,U9B Belize,Kino South,"2343 E. Tournament Way , Tucson , AZ 85714",9865753,128663,650
2023-02-18,CCV Stars 14 Boys South Pre-ECNL,Next Level Soccer 2015 Boys Black,6,3,W,L,2023 TMSFC Jacob's Classic,TMSFC Jacob's Classic,U9B Belize,Kino South,"2343 E. Tournament Way , Tucson , AZ 85714",9865751,128663,650
2023-01-15,14 Boys Omar,CCV Stars 14 Boys South Pre-ECNL,0,8,L,W,CCV Stars Champions Cup 2023,CCV Stars Champions Cup,U9B Boys U9 Croatia - 7v7,Reach 11 Sports Complex (CCV STARS),"2425 E Deer Valley Rd , Phoenix, AZ 85050",9547679,128663,650
2023-01-14,CCV Stars 14 Boys South Pre-ECNL,Thunderbird FC U9 Boys,3,2,W,L,CCV Stars Champions Cup 2023,CCV Stars Champions Cup,U9B Boys U9 Croatia - 7v7,Reach 11 Sports Complex (CCV STARS),"2425 E Deer Valley Rd , Phoenix, AZ 85050",9547676,128663,650
2023-01-14,PRFC North Valley 15B Rivas,CCV Stars 14 Boys South Pre-ECNL,6,4,W,L,CCV Stars Champions Cup 2023,CCV Stars Champions Cup,U9B Boys U9 Croatia - 7v7,Reach 11 Sports Complex (CCV STARS),"2425 E Deer Valley Rd , Phoenix, AZ 85050",9547672,128663,650
2022-12-11,14 Boys Marin,CCV Stars 14 Boys South Pre-ECNL,5,4,W,L,RSL-AZ Holiday Classic 2022,Holiday Classic,U9B U9 Boys Iran,Snedigar Sports Complex (RSL- S),"4511 S Alma School Rd, Chandler, AZ 85248",9295089,128663,650
2022-12-10,AZ Arsenal 14 Academy Boys Teal 2,CCV Stars 14 Boys South Pre-ECNL,3,3,T,T,RSL-AZ Holiday Classic 2022,Holiday Classic,U9B U9 Boys Iran,Snedigar Sports Complex (RSL- S),"4511 S Alma School Rd, Chandler, AZ 85248",9295087,128663,650
2022-12-10,CCV Stars 14 Boys South Pre-ECNL,PRFC Southeast Valley 14B Gonzalez-K,2,2,T,T,RSL-AZ Holiday Classic 2022,Holiday Classic,U9B U9 Boys Iran,Snedigar Sports Complex (RSL- S),"4511 S Alma School Rd, Chandler, AZ 85248",9295086,128663,650
2022-10-09,CCV Stars 14 Boys South Pre-ECNL,Phoenix United 15 A,4,2,W,L,2022 Scottsdale Cup,Tournaments Powered by Rated Sports ,U9B Super Pro U9B,Scottsdale Sports Complex (Rated Sports),"8081 E Princess Dr , Scottsdale , AZ 85255",8892390,128663,650
2022-10-08,CCV Stars 14 Boys South Pre-ECNL,Next Level Soccer 2014 Boys Black,1,3,L,W,2022 Scottsdale Cup,Tournaments Powered by Rated Sports ,U9B Super Pro U9B,Scottsdale Sports Complex (Rated Sports),"8081 E Princess Dr , Scottsdale , AZ 85255",8892385,128663,650
2022-10-08,Madison FC 14 Boys Gold,CCV Stars 14 Boys South Pre-ECNL,3,5,L,W,2022 Scottsdale Cup,Tournaments Powered by Rated Sports ,U9B Super Pro U9B,Scottsdale Sports Complex (Rated Sports),"8081 E Princess Dr , Scottsdale , AZ 85255",8892382,128663,650
2022-09-18,14 Boys Clay,CCV Stars 14 Boys South Pre-ECNL,13,0,W,L,2022 Cactus Kick Off,Cactus Kick Off,U9B 2014 Gold,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",8758343,128663,650
2022-09-18,Next Level Soccer 2014 Boys,CCV Stars 14 Boys South Pre-ECNL,9,0,W,L,2022 Cactus Kick Off,Cactus Kick Off,U9B 2014 Gold,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",8758344,128663,650
2022-09-17,CCV Stars 14 Boys South Pre-ECNL,Legends FC AZ B2014 FC,1,2,L,W,2022 Cactus Kick Off,Cactus Kick Off,U9B 2014 Gold,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",8758341,128663,650
2022-09-17,CCV Stars 14 Boys South Pre-ECNL,14 Boys Ryan,1,2,L,W,2022 Cactus Kick Off,Cactus Kick Off,U9B 2014 Gold,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",8758339,128663,650
2025-04-26,Northwest 2014 Boys,Phoenix Premier FC 14B CG,1,6,L,W,2025 Arizona Presidents Cup,Arizona Presidents Cup ,U11B 11U Boys Silver - Driven by Desert Ford Dealers,Reach 11 (ASA),"2425 E. Deer Valley Rd, Phoenix, AZ 85050",19923022,506850,651
2025-04-13,Northwest 2014 Boys,PRFC Scottsdale 14B Predator,2,3,L,W,2025 Arizona Presidents Cup,Arizona Presidents Cup ,U11B 11U Boys Silver - Driven by Desert Ford Dealers,Reach 11 (ASA),"2425 E. Deer Valley Rd, Phoenix, AZ 85050",19923007,506850,651
2025-04-12,U-11 (2014) Boys Pre Academy,Northwest 2014 Boys,8,1,W,L,2025 Arizona Presidents Cup,Arizona Presidents Cup ,U11B 11U Boys Silver - Driven by Desert Ford Dealers,Reach 11 (ASA),"2425 E. Deer Valley Rd, Phoenix, AZ 85050",19922993,506850,651
2025-03-30,Next Level Soccer Southeast 2015 Boys Red,Northwest 2014 Boys,3,0,W,L,2025 Arizona Academy Cup | Powered By Rated Sports,Tournaments Powered by Rated Sports ,U11B GOLD - U11,Reata Sports Complex,"9809 E. McDowell Mountain Ranch Road, Scottsdale, AZ 85260",20183320,506850,651
2025-03-29,Northwest 2014 Boys,CCV STARS 14 Boys Orange LAV,1,1,T,T,2025 Arizona Academy Cup | Powered By Rated Sports,Tournaments Powered by Rated Sports ,U11B GOLD - U11,Reata Sports Complex,"9809 E. McDowell Mountain Ranch Road, Scottsdale, AZ 85260",20183318,506850,651
2025-03-29,Legends FC AZ 14B FC,Northwest 2014 Boys,2,0,W,L,2025 Arizona Academy Cup | Powered By Rated Sports,Tournaments Powered by Rated Sports ,U11B GOLD - U11,Reata Sports Complex,"9809 E. McDowell Mountain Ranch Road, Scottsdale, AZ 85260",20183315,506850,651
2025-03-22,Northwest 2014 Boys,CCV STARS 15 Boys Orange PEO,0,1,L,W,2025 Phoenix Cup - Boys Weekend,Tournaments Powered by Rated Sports ,U11B BU11 Premier,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",19917356,506850,651
2025-03-22,PRFC Scottsdale 15B Predator,Northwest 2014 Boys,1,3,L,W,2025 Phoenix Cup - Boys Weekend,Tournaments Powered by Rated Sports ,U11B BU11 Premier,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",19917352,506850,651
2025-03-21,Northwest 2014 Boys,Next Level Soccer Southeast 2014 Boys Blue,0,3,L,W,2025 Phoenix Cup - Boys Weekend,Tournaments Powered by Rated Sports ,U11B BU11 Premier,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",19917348,506850,651
2025-02-23,PRFC Southeast Valley 14B Pre-Academy,Northwest 2014 Boys,4,3,W,L,2025 Max Shacknai Invitational,Phoenix Rising FC Tournaments - Max Shacknai Invitational,U11B U11B SILVER (CLASSICS) - 9V9,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",18996487,506850,651
2025-02-22,CCV STARS 14 Boys EAV,Northwest 2014 Boys,2,5,L,W,2025 Max Shacknai Invitational,Phoenix Rising FC Tournaments - Max Shacknai Invitational,U11B U11B SILVER (CLASSICS) - 9V9,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",18996484,506850,651
2025-02-22,Northwest 2014 Boys,PRFC North Valley 15B Predator,8,0,W,L,2025 Max Shacknai Invitational,Phoenix Rising FC Tournaments - Max Shacknai Invitational,U11B U11B SILVER (CLASSICS) - 9V9,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",18996476,506850,651
2025-02-09,AZSC 15B Navy,Northwest 2014 Boys,3,1,W,L,Desert Classic 2025,Desert Classic,U11B U11 Boys Silver 1,Arizona Athletic Grounds,"1 Legacy Dr., Mesa, AZ 85212",18969213,506850,651
2025-02-08,Northwest 2014 Boys,Central 14B Select I,0,6,L,W,Desert Classic 2025,Desert Classic,U11B U11 Boys Silver 1,Arizona Athletic Grounds,"1 Legacy Dr., Mesa, AZ 85212",18969211,506850,651
2025-02-08,Legends FC AZ 14B Gold,Northwest 2014 Boys,4,1,W,L,Desert Classic 2025,Desert Classic,U11B U11 Boys Silver 1,Arizona Athletic Grounds,"1 Legacy Dr., Mesa, AZ 85212",18969208,506850,651
2025-01-19,Tuzos Royals 2014,Northwest 2014 Boys,3,0,W,L,2025 Rated Cup,Tournaments Powered by Rated Sports ,U11B GOLD - U11,Reach 11 Sports Complex ,"2425 East Deer Valley Road , Phoenix, AZ 85050",18644604,506850,651
2025-01-18,Madison FC 14 Gold Boys Storm,Northwest 2014 Boys,5,2,W,L,2025 Rated Cup,Tournaments Powered by Rated Sports ,U11B GOLD - U11,Reach 11 Sports Complex ,"2425 East Deer Valley Road , Phoenix, AZ 85050",18644603,506850,651
2025-01-18,Northwest 2014 Boys,West Valley 2014 Boys Martinez Pre-Elite64,3,2,W,L,2025 Rated Cup,Tournaments Powered by Rated Sports ,U11B GOLD - U11,Reach 11 Sports Complex ,"2425 East Deer Valley Road , Phoenix, AZ 85050",18644601,506850,651
2025-01-12,Northwest 2014 Boys,PRFC North Valley 14B Predator,1,1,T,T,CCV Stars Champions Cup 2025,CCV Stars Champions Cup,U11B Boys U11 Silver - 9v9,Reach 11 Sports Complex (CCV STARS),"2425 E Deer Valley Rd , Phoenix, AZ 85050",18604654,506850,651
2025-01-11,14B Jimmy,Northwest 2014 Boys,4,1,W,L,CCV Stars Champions Cup 2025,CCV Stars Champions Cup,U11B Boys U11 Silver - 9v9,Reach 11 Sports Complex (CCV STARS),"2425 E Deer Valley Rd , Phoenix, AZ 85050",18604648,506850,651
2025-01-10,AZEV B2014 (NAVY),Northwest 2014 Boys,1,0,W,L,CCV Stars Champions Cup 2025,CCV Stars Champions Cup,U11B Boys U11 Silver - 9v9,Reach 11 Sports Complex (CCV STARS),"2425 E Deer Valley Rd , Phoenix, AZ 85050",18604649,506850,651
2024-12-15,15B NMarkette,Northwest 2014 Boys,1,2,L,W,RSL-AZ Holiday Classic 2024,Holiday Classic,U11B U11 Boys Spain,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",18439238,506850,651
2024-12-15,14B Castro Rueda,Northwest 2014 Boys,1,2,L,W,RSL-AZ Holiday Classic 2024,Holiday Classic,U11B U11 Boys Spain,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",18439236,506850,651
2024-12-14,Next Level Soccer Southeast 2014 Boys Green,Northwest 2014 Boys,1,4,L,W,RSL-AZ Holiday Classic 2024,Holiday Classic,U11B U11 Boys Spain,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",18439231,506850,651
2024-12-14,Northwest 2014 Boys,15B NMarkette,1,2,L,W,RSL-AZ Holiday Classic 2024,Holiday Classic,U11B U11 Boys Spain,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",18439234,506850,651
2024-12-08,Next Level Soccer Southeast 2014 Boys Blue,Northwest 2014 Boys,1,2,L,W,The Open (2024) SuperCopa & SuperCopa+ Qualifier,The Open,U11B Open Boys U11,Bell 94 Sports Complex,"9390 E Bell Rd, Scottsdale, AZ 85260",18423418,506850,651
2024-12-08,Northwest 2014 Boys,Boys- B2014 Grey,0,5,L,W,The Open (2024) SuperCopa & SuperCopa+ Qualifier,The Open,U11B Open Boys U11,Bell 94 Sports Complex,"9390 E Bell Rd, Scottsdale, AZ 85260",18423420,506850,651
2024-12-07,Legends FC AZ 14B Gold,Northwest 2014 Boys,0,2,L,W,The Open (2024) SuperCopa & SuperCopa+ Qualifier,The Open,U11B Open Boys U11,Bell 94 Sports Complex,"9390 E Bell Rd, Scottsdale, AZ 85260",18423415,506850,651
2024-12-07,Northwest 2014 Boys,Next Level Soccer Southeast 2014 Boys Blue,1,5,L,W,The Open (2024) SuperCopa & SuperCopa+ Qualifier,The Open,U11B Open Boys U11,Bell 94 Sports Complex,"9390 E Bell Rd, Scottsdale, AZ 85260",18423412,506850,651
2024-12-06,Tuzos Academy Mesa 2014,Northwest 2014 Boys,1,2,L,W,The Open (2024) SuperCopa & SuperCopa+ Qualifier,The Open,U11B Open Boys U11,Bell 94 Sports Complex,"9390 E Bell Rd, Scottsdale, AZ 85260",18423413,506850,651
2024-11-30,2014B White,Northwest 2014 Boys,6,1,W,L,2024 Desert Super Cup,Tournaments Powered by Rated Sports ,U11B SUPER BLACK - U11B,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",18327427,506850,651
2024-11-30,Northwest 2014 Boys,2014 Tuzos Academy FV,0,3,L,W,2024 Desert Super Cup,Tournaments Powered by Rated Sports ,U11B SUPER BLACK - U11B,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",18327430,506850,651
2024-11-29,Northwest 2014 Boys,Fury FC B2014,0,6,L,W,2024 Desert Super Cup,Tournaments Powered by Rated Sports ,U11B SUPER BLACK - U11B,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",18327424,506850,651
2024-11-24,Northwest 2014 Boys,Legends FC AZ 14B Gold,1,3,L,W,2024 Heritage Cup ,Heritage Cup,U11B 11u Boys Silver West,HC- Crossroads Park,"2155 E Knox Road , Gilbert, AZ 85296",18181910,506850,651
2024-11-23,Northwest 2014 Boys,AZSC 14B Perez,3,6,L,W,2024 Heritage Cup ,Heritage Cup,U11B 11u Boys Silver West,HC- Crossroads Park,"2155 E Knox Road , Gilbert, AZ 85296",18181902,506850,651
2024-11-23,14 ECNL #2,Northwest 2014 Boys,4,0,W,L,2024 Heritage Cup ,Heritage Cup,U11B 11u Boys Silver West,HC- Crossroads Park,"2155 E Knox Road , Gilbert, AZ 85296",18181906,506850,651
2024-11-10,2014B West,Northwest 2014 Boys,7,0,W,L,Kick for the Cure 2024,Kick for the Cure,U11B U11 Boys Tillmann,West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",18148342,506850,651
2024-11-09,AZSC 14B Perez,Northwest 2014 Boys,5,0,W,L,Kick for the Cure 2024,Kick for the Cure,U11B U11 Boys Tillmann,West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",18148337,506850,651
2024-11-09,Northwest 2014 Boys,Excel Soccer Academy 15 Red,2,4,L,W,Kick for the Cure 2024,Kick for the Cure,U11B U11 Boys Tillmann,West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",18148340,506850,651
2024-11-03,AZ Arsenal 15 Boys Teal 1 JZ,Northwest 2014 Boys,2,1,W,L,2024 Rush Cup ,2025 Rush Cup ,U11B U11B SILVER,Rose Mofford (Rush Cup),"9833 N. 25th Ave. , Phoenix, AZ 85029",18072114,506850,651
2024-11-02,Tuzos Academy Mesa 2014,Northwest 2014 Boys,3,6,L,W,2024 Rush Cup ,2025 Rush Cup ,U11B U11B SILVER,Rose Mofford (Rush Cup),"9833 N. 25th Ave. , Phoenix, AZ 85029",18072123,506850,651
2024-11-02,Northwest 2014 Boys,14B Engilman,1,1,T,T,2024 Rush Cup ,2025 Rush Cup ,U11B U11B SILVER,Rose Mofford (Rush Cup),"9833 N. 25th Ave. , Phoenix, AZ 85029",18072119,506850,651
2024-10-27,Northwest 2014 Boys,PRFC Desert Foothills 14B Pre-Academy,1,4,L,W,Phoenix Rising Fall Classic 2024,Phoenix Rising FC Tournaments - Fall Classic,U11B U11M Super - 9v9,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",17979975,506850,651
2024-10-26,Next Level Soccer Northwest 2015 Boys Black,Northwest 2014 Boys,7,1,W,L,Phoenix Rising Fall Classic 2024,Phoenix Rising FC Tournaments - Fall Classic,U11B U11M Super - 9v9,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",17979971,506850,651
2024-10-25,Northwest 2014 Boys,2014 Timbers Elite,0,4,L,W,Phoenix Rising Fall Classic 2024,Phoenix Rising FC Tournaments - Fall Classic,U11B U11M Super - 9v9,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",17979973,506850,651
2024-10-20,Northwest 2014 Boys,FC Elite Arizona 2014 Boys,1,2,L,W,2024 The Fiesta Cup ,The Fiesta Cup ,U11B B-U11 GOLD,Bell 94 Soccer Complex (FC Arizona) ,"9390 E Bell Rd , Scottsdale , AZ 85255",17993636,506850,651
2024-10-19,Legends FC AZ 14B Gold,Northwest 2014 Boys,3,1,W,L,2024 The Fiesta Cup ,The Fiesta Cup ,U11B B-U11 GOLD,Bell 94 Soccer Complex (FC Arizona) ,"9390 E Bell Rd , Scottsdale , AZ 85255",17993643,506850,651
2024-10-19,Northwest 2014 Boys,Next Level Soccer Southeast 2015 Boys Red,1,5,L,W,2024 The Fiesta Cup ,The Fiesta Cup ,U11B B-U11 GOLD,Bell 94 Soccer Complex (FC Arizona) ,"9390 E Bell Rd , Scottsdale , AZ 85255",17993641,506850,651
2024-10-13,PRFC North Valley 14B PreAcademy,Northwest 2014 Boys,2,2,T,T,Arsenal Challenge 2024,Arsenal Challenge,U11B 11U 2014 Boys Gold,Arizona Athletic Grounds (AASC Tournaments),"6321 S Ellsworth Rd , Mesa, AZ 85212",17857943,506850,651
2024-10-12,Northwest 2014 Boys,Brazas 2014 Boys Black Marcos,3,4,L,W,Arsenal Challenge 2024,Arsenal Challenge,U11B 11U 2014 Boys Gold,Arizona Athletic Grounds (AASC Tournaments),"6321 S Ellsworth Rd , Mesa, AZ 85212",17857939,506850,651
2024-10-11,AZ Arsenal Pre-ECNL B14,Northwest 2014 Boys,13,0,W,L,Arsenal Challenge 2024,Arsenal Challenge,U11B 11U 2014 Boys Gold,Arizona Athletic Grounds (AASC Tournaments),"6321 S Ellsworth Rd , Mesa, AZ 85212",17857934,506850,651
2024-09-28,AZ Arsenal 14 Boys Teal 1,Northwest 2014 Boys,1,1,T,T,The Derby (2024),The Derby,U11B Gold U11 Male,Bell 94 Sports Complex,"9390 E Bell Rd, Scottsdale, AZ 85260",17816292,506850,651
2024-09-28,Northwest 2014 Boys,14B GSA,0,6,L,W,The Derby (2024),The Derby,U11B Gold U11 Male,Bell 94 Sports Complex,"9390 E Bell Rd, Scottsdale, AZ 85260",17816287,506850,651
2024-09-27,AZ Arsenal Pre-ECNL B14,Northwest 2014 Boys,4,0,W,L,The Derby (2024),The Derby,U11B Gold U11 Male,Bell 94 Sports Complex,"9390 E Bell Rd, Scottsdale, AZ 85260",17816282,506850,651
2024-09-15,Northwest 2014 Boys,14B Engilman,3,1,W,L,2024 Cactus Kick Off,Cactus Kick Off,U11B U11 Boys Chile,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",17674377,506850,651
2024-09-15,Northwest 2014 Boys,Legends FC AZ 14B Gold,2,3,L,W,2024 Cactus Kick Off,Cactus Kick Off,U11B U11 Boys Chile,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",17674375,506850,651
2024-09-14,14B OMolina,Northwest 2014 Boys,0,3,L,W,2024 Cactus Kick Off,Cactus Kick Off,U11B U11 Boys Chile,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",17674371,506850,651
2024-09-14,Northwest 2014 Boys,PRFC North Valley 14B Copa,10,3,W,L,2024 Cactus Kick Off,Cactus Kick Off,U11B U11 Boys Chile,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",17674369,506850,651
2024-08-31,PRFC Scottsdale 14B Predator,Northwest 2014 Boys,3,0,W,L,Phoenix Rising Cup 2024,Phoenix Rising Cup,U11B U11 Boys Silver - Weah,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",17372461,506850,651
2024-08-31,PRFC North Valley 14B Predator,Northwest 2014 Boys,3,3,T,T,Phoenix Rising Cup 2024,Phoenix Rising Cup,U11B U11 Boys Silver - Weah,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",17372464,506850,651
2024-08-30,Northwest 2014 Boys,East Valley NSFC 14 Boys Aguirre,2,3,L,W,Phoenix Rising Cup 2024,Phoenix Rising Cup,U11B U11 Boys Silver - Weah,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",17372457,506850,651
2025-09-21,VSC 2014 Boys Green,CDO 14B Elite,2,2,T,T,46th Annual Wolfgang Weber FC Tucson Cup,Tournaments,U12B U12 Silver ,Kino Sports Complex,"2343 E. Tournament Way, Tucson, AZ 85713",22693368,295846,714
2025-09-20,VSC 2014 Boys Green,14B Negrete Pre MLS Next,2,2,T,T,46th Annual Wolfgang Weber FC Tucson Cup,Tournaments,U12B U12 Silver ,Kino Sports Complex,"2343 E. Tournament Way, Tucson, AZ 85713",22693361,295846,714
