Game_ID,Team_A,Team_B,Team_A_Match,Team_B_Match,Reason,Date,Event
16745229,PRFC North Valley 14B PreAcademy,14 ECNL #1,PRFC North Valley 14B PreAcademy,,Unmatched team(s),10/20/2024,2024-2025 ASA Advanced Leagues
16745186,CCV STARS 14 Boys Orange LAV,PRFC North Valley 14B PreAcademy,,PRFC North Valley 14B PreAcademy,Unmatched team(s),9/29/2024,2024-2025 ASA Advanced Leagues
16745244,PRFC North Valley 14B PreAcademy,14B Flores,PRFC North Valley 14B PreAcademy,,Unmatched team(s),9/22/2024,2024-2025 ASA Advanced Leagues
16745183,14B JCFresquez Pre-MLS Next,PRFC North Valley 14B PreAcademy,,PRFC North Valley 14B PreAcademy,Unmatched team(s),9/21/2024,2024-2025 ASA Advanced Leagues
22769773,AZEV B2014 (NAVY),BRAZAS FC 2014 Boys Black,AZEV B2014 (NAVY),,Unmatched team(s),9/27/2025,2025 Arizona Cup AYSO United
19606464,AZEV B2014 (NAVY),CCV STARS 14 Boys Orange LAV,AZEV B2014 (NAVY),,Unmatched team(s),3/9/2025,2025 Ostrich Festival
18566358,14B Jimmy,AZEV B2014 (NAVY),,AZEV B2014 (NAVY),Unmatched team(s),2/22/2025,2024-25 MaxinMotion Open League Season 2
18566342,AZEV B2014 (NAVY),Legends FC AZ 14B Gold,AZEV B2014 (NAVY),,Unmatched team(s),1/25/2025,2024-25 MaxinMotion Open League Season 2
18604646,14B Jimmy,AZEV B2014 (NAVY),,AZEV B2014 (NAVY),Unmatched team(s),1/11/2025,CCV Stars Champions Cup 2025
18181944,CCV STARS 14 Boys Orange LAV,AZEV B2014 (NAVY),,AZEV B2014 (NAVY),Unmatched team(s),11/23/2024,2024 Heritage Cup 
20827676,Cimarron FC,Madison FC 14 Gold Boys,,Madison FC 14 Gold Boys,Unmatched team(s),5/31/2025,Coronado (San Diego) 25
20827675,Madison FC 14 Gold Boys,South County Fury B2014,Madison FC 14 Gold Boys,,Unmatched team(s),5/31/2025,Coronado (San Diego) 25
19922991,Madison FC 14 Gold Boys,14B OMolina,Madison FC 14 Gold Boys,,Unmatched team(s),4/12/2025,2025 Arizona Presidents Cup
19917339,Madison FC 14 Gold Boys,Phoenix United 2015 Elite,Madison FC 14 Gold Boys,,Unmatched team(s),3/23/2025,2025 Phoenix Cup - Boys Weekend
19609905,14B JCFresquez Pre-MLS Next,Madison FC 14 Gold Boys,,Madison FC 14 Gold Boys,Unmatched team(s),3/8/2025,2025 Ostrich Festival
18561878,Madison FC 14 Gold Boys,15B NMarkette,Madison FC 14 Gold Boys,,Unmatched team(s),2/15/2025,2024-25 MaxinMotion Open League Season 2
18561864,Madison FC 14 Gold Boys,14B OMolina,Madison FC 14 Gold Boys,,Unmatched team(s),1/11/2025,2024-25 MaxinMotion Open League Season 2
17064548,Madison FC 14 Gold Boys,U-11 (2014) Boys Pre Academy,Madison FC 14 Gold Boys,,Unmatched team(s),9/28/2024,2024-25 MaxinMotion Open League Season 1
17479107,Madison FC 14 Gold Boys,U-11 (2014) Boys Pre Academy,Madison FC 14 Gold Boys,,Unmatched team(s),9/8/2024,FSC Champions Cup (Boys - 2024)
22795914,AZ Arsenal Pre-ECNL B15,15B AChacon Pre-MLS Next,AZ Arsenal Pre-ECNL B14,,Unmatched team(s),9/28/2025,The Derby 2025
